用户,是否看过,评分,评论时间,有用数,评论
？者,看过,推荐,2020-01-06 15:28:58,3202,国内文艺片导演好好学学，长镜头不是单单拿来装逼的
卿如晤,看过,推荐,2020-01-12 06:39:08,2514,这个水准的长镜头只能是这个时代的产物。我觉得他已经超越了传统的所谓镜头移动和调度的技法，因为从那种角度看这个长镜头根本不可能实现。这个长镜头就是单纯地在创造现实。我还有一种感觉 — 那个电影里唯一的镜头切断之后的剧情整个就变得有些超现实。那太阳一般的照明弹，地下室里圣母一样的姑娘，满是尸体的河，士兵上阵前听的思乡之曲，以及那战壕前面的狂奔。这一切都过于梦幻以至于我都怀疑主角是不是其实已经死在了切黑的那一枪下。
gia,看过,力荐,2019-12-31 15:04:52,2707,长 壕沟长 镜头长 卷福的脸 更长
LORENZO 洛伦佐,看过,推荐,2020-01-07 07:05:50,1029,摄影很美，但能不能不要无意义的一镜到底，本该有的叙事节奏因为“没有”剪辑，导致时空转换的长度和跨度都畸变，走两步就换了世界，场景切换显得不真实，格局像第三人称独立战争游戏。不过战争的残酷倒也在小格局里别样体现：落英缤纷之处亦能尸横遍野。部分文戏也老套廉价，英法情谊那段尤其出戏。但烈火废墟太美了吧，燃烧的教堂像末日的2049，漂流戏也调度惊人，可能是这几年最美的战争电影。
小玄儿,看过,推荐,2020-01-01 05:38:53,946,现在觉得所有有本尼迪克特·康伯巴奇的电影，都会起到让观众出戏的效果。所以门德斯把他放最后，士兵终于到达终点了，完成任务了，观众也两小时辛苦了。给你看一眼本尼吧！观众看到他转身就笑场的效果，真的是没谁了！第一个观众熟知的角色塑造太好的副作用吧！
同志亦凡人中文站,看过,推荐,2020-01-09 10:54:35,797,门德斯很可能拍出了千禧年后最“美”的战争电影。前半段的战争是惊悚片，后半段的战争是古典乐，中间还有一个转场过渡，主题不够深刻但技巧极尽完美。一镜到底不但没有限制视野，反而让人获得环绕的沉浸式体验，看到了发青的尸体也看到樱花飘飞阵地。暗夜燃烧的末日教堂太美了，有种美到忘记战场残酷的视觉冲击...（本质上和“敦刻尔克”都是在拿战争片做实验，拍出新意才是第一）
Rui,看过,力荐,2020-01-07 01:02:39,1506,"魂牵梦绕的一镜到底，带我越过大江大河，抵达人生的理想国。21世纪最美的战争片，技术与艺术的完美统一。
四刷后发现一个点睛之笔:主人公被打中钢盔，晕厥，然后切黑屏20S，以为主人公再也醒不过来了，然而萨姆·门德斯用了一个极其高超的共情手法:用水滴滴在脸上的声音来唤醒主人公和观众们的意志，然后切亮屏，虽然银幕亮了，却因为刚刚的剧作手法温柔而强悍地打破了银幕的壁垒，让观众们和主人公的意志绑在了一起，实现了观众即主角的荡气回肠之美，实在是惊艳不已。
第92届奥斯卡最佳影片金像奖提前锁定。得了奥斯卡最佳影片我就去求婚。萨姆·门德斯牛笔。"
红蓝色的风雨夕,看过,推荐,2019-12-05 14:37:35,519,啊这才是我心目中《托尔金》应该拍出的样子!!!一战战场上的丑陋的美感。穿越无人之地那里是死亡沼泽的腐臭，飘扬的白色樱花瓣让我想起双塔里面国王的花冠，夜里火光映天的断壁残垣，感觉像是横跨安都因河的欧斯吉利亚斯废墟。片尾是门德斯向祖父的致敬，感谢他给我们讲的故事，一下子就让我想起了“倘若你出乎意料，又回到生者之地，我们能坐在墙角下晒着太阳，回顾往事，对过去的悲伤放声大笑，到了那时，你再告诉我吧。”果然选角太让人出戏了，我知道BC在里面，然而还有Andrew Scott？托曼大帝和罗柏演兄弟？每次这些明星脸一出现就跟我的同伴扶额……
潋 | Béatrice,看过,推荐,2019-12-26 13:57:07,378,【在3.5和4星间徘徊】19.12.15 limited screening。离五星有很大距离，意图、定位和表达方式都让人感觉吞了一碗夹生的饭。要么往写实方向推，要么往诗意表达的方向走，但实际结果是带着写实的轮廓但是用诗意的方式讲故事，变得既不够深刻又不够真实。但是！这大概是我今年见过的最高级的camera movement了！技法高超到已经融入了角角落落分分秒秒却让人毫无觉察，运镜自然如人眼，又弥补了人眼的视野不足，能再给roger deakins一座奥斯卡吗！全片看完，当然有身处无人之境的苍茫悲怆感，但剩下的风一吹就散了。三星的剧情，四星的表演，五星的技术。
成濑川小鹰,看过,力荐,2019-12-27 11:20:42,1208,终于在2019年留下不让自己讨厌的泪水——当Schofield坐在卡车车厢里，身边围绕着别人的兄弟时，他晃神之间眺望渐远的村庄，这几乎是2019最令人心碎的时刻了。
我爱罗宾,看过,力荐,2019-12-29 17:44:35,655,今年最有奥斯卡最佳影片相的竟然是这部。一镜到底的长长长镜头鬼斧神工地将战场的残酷和忧愁渲染出来，搭配精心的构图色彩和场景细节，整部电影充满了沉浸与享受，仿佛是R星出了一款一战沙盒游戏
凌睿,看过,推荐,2020-01-29 13:11:38,321,"花香掩盖了尸体的恶臭，掩盖不了战火的呛味。
铁丝扎破了手心，扎不破和平的向往。
匕首插进胸膛，鲜血浇灌土壤，就结出了和平的果实。
倚靠大树，翻开家人照片，就看到了回家的希望。
他讨厌回家，因为回家就是离别的倒计时。
但他更讨厌战争，讨厌在冲天炮火奔跑，讨厌在尸体之河漂流，讨厌被乱石活埋，讨厌被敌人追赶，讨厌送走一个又一个兄弟。
于是，他用勋章交换美酒，大醉一场。
因为醉梦里没有以人肉为午餐的老鼠，没有在尸体上栖息的乌鸦。没有从天而降的飞机，没有满是尸体的河流，没有恩将仇报的敌人。没有瑰丽璀璨又恐怖得让人窒息的火光，没有不知道是否会降临的明天。
醉梦里，他看见布雷克和哥哥解甲归田，在果园采摘果实；
看见自己回到了家乡，父母和妻子早已在门前等待；
看见不知道姓名的小女孩向他跑来，感谢他的牛奶……"
YoyoRan🔒,看过,力荐,2019-12-27 19:07:46,595,看完一路开车听soundtrack并没有缓过来。回家坐在澡盆里了突然在想：我很幸运，出生在和平年代，应该珍视现在拥有的生活。
kusicat,看过,推荐,2020-01-10 23:46:15,120,确实很像通关游戏，观众有类似沉浸式体验。故事过于简单使得深度有所欠缺，但是技术方面实在太给力了，配乐、场面调度很震撼，有几场如梦境。我最近也是很脆弱了，看啥都哭。
桃桃林林,看过,推荐,2020-01-27 20:27:00,84,本质上仍是话题型电影，没办法，你永远无法绕开这个长镜头的噱头，并在观看过程中，一直在琢磨其间一些难度镜头是如何拍摄的。同时，迪金斯大神确实是厉害，夜景的燃烧弹狂奔以及最后的总攻狂奔，都是爽到让人不行的运动镜头。影片整体呈现了一种游戏感，恍惚间总觉得路上遇到的角色好似NPC，等着你来和他说话。为了这个一镜到底的噱头，剧情方面确实有点太赶与太过于随机了。好处在于，确实是一路带观众走进了残酷的战争。
张小北,看过,推荐,2020-02-06 21:37:14,38,战争电影发展到如今，如何在视觉奇观层面更上一层楼，变成了一个大难题。而本片这一次给出的答案令人惊喜，不过这种方式没法复用，谁第二个用就变成东施效颦，第三个用就成烂大街的俗套了。
