用户,是否看过,评分,评论时间,有用数,评论
曲奇酱酱,看过,推荐,2019-12-01 16:51:59,5725,建议广大姐妹带男朋友去看这个，看完凡事觉得小题大做的建议当场分手。
成语,看过,推荐,2019-10-23 16:00:21,4750,非常好地还原了书里的内容。弟弟问爸爸智英姐姐喜欢吃什么，爸爸说红豆面包。弟弟买了一袋红豆面包给姐姐送去之后，姐姐说：红豆面包？红豆面包不是你最喜欢吃的吗？我喜欢的是奶油面包。那个时候我觉得我比金智英还要难过。
Sabrina,看过,力荐,2019-12-03 22:21:33,6967,金智英已经算是在韩国这个男权社会拿到上上签的女性了吧！原生家庭就很好了，父亲那种只是轻微的重男轻女，并不是刻意的对女儿不好。有个能干的妈妈，有个女权姐姐，弟弟也不错。所以她遇到了孔侑这样的好丈夫就结婚生子了。金智英也没有遇到婆家逼迫赶紧要生个男孩儿，不生出男孩儿就不领证，也没有跟婆婆住在一起。更没有遭遇丈夫孕期出轨，更没有家暴，丈夫更是要自己来休假让妻子去上班，这个在中韩现实环境中几乎都是不可能出现的了。没有直接的压迫，除了喝咖啡时候被骂妈虫，她已经是处境不错的妈妈了。但就是这样，她好想被抽取了生气，颓废的活着。
亦可寻陳,看过,推荐,2019-10-23 21:13:34,3080,之所以座位四周的女性都在抽泣，是因为她们都是男尊女卑时代达到顶峰的亲历者。生而为人，换位思考和将心比心难与否？说难也难，小说出版和电影上映后，韩国广大男性依然在网上展开无休止的谩骂，韩男深入骨髓的劣根性显露无遗；说易也易，即使性别站在女性的对立面，也能感受电影每一分钟的痛楚，无关性别的人类共情同样实现。诚然，电影和书籍都是一面镜子，能照出时代的落后、社会的不公和女性的伤疤。而我则愿为人如鲁迅所言：能做事就做事，能发声就发声，有一份热，发一份光。同时，由衷地期盼世界上每一位女性，都可以怀抱更远大、更无限的梦想。
说我名字太长了,看过,力荐,2019-10-26 20:09:48,2755,论为什么韩国的出生率突破了0
唧唧基基鸡鸡,看过,推荐,2019-10-25 08:50:54,2717,戏剧上我最喜欢智英变成外婆时，对母亲的道歉，张力十足而且将这长久的无力凸显。但我总是回忆起的台词却是，智英在阳台上说自己成为某个人的妻子，某个人的母亲，也有开心的时候……像被打了一拳，愤怒回击却发现打在了一团棉花上，没人能回应我的愤怒，也没人承认是谁先对我动的手。电影里的每位女性，是你，是我，是他的母亲，姐妹，还有女儿。女性为什么总不是她自己？该看这部电影的，根本不是在电影院泪流满面的女孩子，而是后排哭的超大声的大哥，还有所有既得利益获得者。
miss lee,看过,推荐,2019-10-23 22:10:02,2496,我男友韩国人，观影期间，一直在叹气，事后问他，他说社会还是有一些男人不知道社会对男性的优待，不知道女人的艰辛，但是也在慢慢的改变。
既挽,看过,力荐,2019-12-04 18:27:05,2583,没想到，看到智英变为外婆和母亲对话，眼泪就下来了。东亚三国手牵手，谁先平权谁是狗。
Justina,看过,力荐,2019-11-07 22:10:51,2170,"检票时候，阿姨说的是:“金智英可以入场了”。没错，我们都是金智英。就像电影宣传的slogan:""你和我的故事""。金智英为什么有的时候不像她自己，因为她身体里困住了千千万母亲，姐姐，妹妹。金智英每一次变成妈妈，外婆的时候，影院里都是各种抽泣声。我喜欢的是奶油面包，不是红豆包，迟到几十年的钢笔，只能是这个世界给我的补偿答案。"
木子内,看过,力荐,2019-10-24 22:17:38,1871,金智英节日回丈母娘家用自己母亲的口吻说出我心疼我女儿我也很想我女儿的时候真的太难过了 想起妈妈以前跟我说你以后嫁人了才知道谁都没有你爸妈更心疼你 平平凡凡的金智英 是你是我 所有人都有可能是金智英 但并不是谁都会像金智英一样有美好的结局且爱她为她着想尊重她的丈夫 现实往往比电影更加残酷
糖醋金瓜,看过,推荐,2019-10-24 10:29:51,2389,愿每一位女性都能以一个独立的人格存在并且可以获得尊重
K.A.R.D  🍞 🍰 ,看过,推荐,2019-10-28 07:30:26,1396,改编的比较温和 不知道是不是因为怕太一针见血而顶不住社会压力 总之电影里还是美化了男性这个群体 现实要更比这残酷 绝大多数女性根本就没有这种老公 整体效果和小说有些出入 但是内容也足够唤醒女性 看女性想不想醒了
重忆小窗纱,看过,力荐,2019-10-26 15:36:22,1269,在电影院哭成泪人。电影比小说更加丰满，其实男性跟女性一样被困在传统偏见的桎梏中，电影中已经展现了当代年轻男性对女性困境的共情与理解，但是老一代两班们真心没救。PS：看来男性洗碗和育儿在南韩依然不被接受。
作姨,看过,还行,2019-10-25 16:58:04,4132,所以韩国男性对这片生气的原因是啥呢？孔侑扮演的老公太完美了吗？
Elven小轩,看过,力荐,2019-12-03 23:37:25,1009,影片先是塑造一个温柔体贴完美到简直不可能在现实中存在的丈夫形象，然后再把这个所谓的温柔打破，让你觉醒那所谓的温柔体贴不过是他本就应该做的。为什么一个男人做他应该做的育儿和家务叫帮忙和牺牲，而女人育儿叫休息？为什么爸爸笨手笨脚带孩子还觉得莫名萌，偶尔能做点他该做的事就夸上天了，而妈妈就都得是超人？为什么女儿就要早早出来赚钱供哥哥弟弟上学，儿媳妇在婆家各种被使唤干活。为什么大家理所当然接受了这些不公，改把他们包装成狗屁美德。当我们觉得这个丈夫形象完美的时候，其实就是该审视自己的时候，这就是性别刻板印象啊。
曹屎蛋,看过,还行,2019-11-06 00:23:43,2384,选角失败，世界上并没有孔刘这种完美老公。
