用户,是否看过,评分,评论时间,有用数,评论
caecs,看过,推荐,2019-09-30 19:01:34,18281,咱也不知道关晓彤是干啥来的 咱也不敢问啊
cccddw,看过,还行,2019-09-28 22:29:52,0,"事故发生时的紧张感重现得很好，惊心动魄。

所以不建议近期要坐飞机的人看。

有些地方还是略显煽情，不过最后危险解除，张涵予拿起广播话筒的时候，以为他就要大煽特煽了，结果只是简单地道了下歉。这个处理好评。"
凌睿,看过,较差,2019-09-30 00:13:38,4633,"开拍前刘伟强第一时间去洛杉矶找了当初给《萨利机长》做特效的公司，就是为了避免被当成山寨版《萨利机长》。
态度是端正的，但是力不从心，拍出来比《萨利机长》差太多了。
《中国机长》就是一部灾难片，没有剧情，没有深度，除了特效什么都没有。
《萨利机长》空难只占了电影很小一部分，更多的是空难背后的故事，探讨制度和人性。
《中国机长》唯一的“空难背后的故事”，就是航天爱好者对空难的反应，但是这段剧情太多余了，没有任何意义，去掉也不会有任何影响。
当然，《中国机长》也不是一无是处，当初就很敬佩刘传健等机组人员，看了电影更敬佩他们了。
但正是因为他们如此专业，更加显得这部电影配不上他们。
原型人物这么牛逼，原型事件这么牛逼，你们就拍了一部中规中矩的特效大片，你们对得起他们吗？"
Evangelion_7,看过,推荐,2019-09-30 18:58:48,12748,关晓彤的戏份真是多余……
加斯珀哥哥,看过,力荐,2019-09-28 21:18:02,3321,好几个演员李现 焦俊艳等坐着演完了这部电影。
Peter Cat,看过,很差,2019-10-07 23:07:42,159,一个天然适合做类型片标准模板的素材，本是一次极好全民科普航空常识，且可以做的非常有技术含量的电影……结果是，水分鸡汤含量高达60%以上的灾难片，扎堆明星，释放下情绪，潦草圈钱片。导演毫无追求犬儒至此，那也就一星为敬吧。
渡口无边,看过,还行,2019-09-28 20:56:32,10635,真实事件本身从起飞到备降仅仅42分钟，而电影化的展开明显提现了编剧的黔驴技穷，用非常中国式的煽情和新闻联播脸谱化的配角群像去努力拼凑时间。其实用纪实性手段去还原事件本身就能足够震撼（开篇一些很专业的行业术语其实就很恰当），但非要加入雷暴这种完全不符科学常理的奇观设计，完全是在画蛇添足，更别说关晓彤这种每一秒钟都能剪掉的支线。原本事件的真实感被削弱殆尽，成了一个编剧主导的类型片，可惜了真实题材。
潇潇🐰,看过,推荐,2019-09-30 19:04:18,9172,关晓彤的戏份可以没有，完全没必要啊
阿暖,看过,较差,2019-09-28 17:35:00,2371,一直感觉这部电影缺乏高潮，前后都太冗长，全片都在强调民航的专业素养，真正到了过雷雨的猛戏，居然不拍机长的神操作 ，反而开始用爱发电了？？回来一查真实事件，原来就这部分是虚构的……好的，露怯了……打扰了。
不良生,看过,还行,2019-09-28 22:33:12,6912,袁泉的眼睛里真的有一种柔韧、硬净、清定的光。
