用户,是否看过,评分,评论时间,有用数,评论
老潘,看过,力荐,2019-10-19 06:43:06,1828,妈妈转过儿子的头让他一定要睁眼看到这个世界的丑陋，和美。
KREJERK,看过,推荐,2020-01-07 17:17:03,1664,有的时候真不得不为作为中国人身份当观众这件事感到自豪，别国观众看吧就会觉得奇幻呀童话呀的电影，咱们看还真能看出特别强的现实性来，比如这部咱们就可以叫它《乔乔：一个小粉红的觉醒》
饮歌,看过,力荐,2019-09-12 00:38:35,852,这可能是今年最催人泪下的喜剧。杰出的喜剧，永远拥有一个悲伤的内核；杰出的悲剧，永远拥有让你泪中带笑的魔力。从孩子的视角出发并不是什么新奇的路数，但这部电影依然用这个方法，搭配孩童般的笑点，浑然天成地将战争描绘的如此逼真，将爱描绘的如此动人。
同志亦凡人中文站,看过,推荐,2019-10-24 15:27:07,1051,当“美丽人生”遇见“月升王国”，又温暖又悲伤的反战童话。前半段色彩斑斓得就像韦斯·安德森附体，后半段温柔撕开糖衣包裹的真实世界。不但有影史最人畜无害的希特勒，还有最让人心塞的寡妇姐。做一只乔乔兔，经历人性的美丽与恐怖。
舌在足矣,看过,还行,2019-11-21 10:07:28,1208,13岁以上观众应在儿童陪伴下观看本片 #小粉黄NM$L
Sylvia,看过,力荐,2019-09-10 00:41:31,565,"除了Taika牛逼以外不知道该说什么。
又hilarious又sad
无谓战争中希望与光芒。斯嘉丽和那个教官的角色太棒了。后小半段眼泪哗啦啦。"
凌睿,看过,推荐,2019-12-31 09:00:53,919,"一个从小被洗脑的男孩，偶然之下发现整个世界都是一个谎言。
犹太人就站在秘密警察面前，秘密警察居然认不出来。
那一刻，他对身边的一切产生了怀疑。
也许他狂热追随的纳粹并不是正义的化身，也许人们口中邪恶扭曲的犹太人和其它人没什么区别。
然而最难的不是被蒙在鼓里，而是知道真相后的抉择。
你可以随波逐流，假装什么都没发生；也可以逆流而上，和黑暗抗争到底。
正如母亲和克伦森多队长在时代洪流中保持清醒，没有迷失自我。
有一分热，发一分光，就令萤火一般，也可以在黑暗里发一点光，不必等候炬火。
他终于自我意识觉醒，从前辈手中接过责任和担当的接力棒，和过去的自己挥手告别，投入自由的怀抱。
要跳舞，不要战争。"
Rocrw,看过,推荐,2019-09-09 23:15:24,648,首映后全场起立鼓掌，两个多小时笑声就没停过。风格太塔导了，片子以一个小男孩的角度，用诙谐欢快的方式来讲述二战时期纳粹与犹太人的故事。从小朋友的视角来看世界上的偏见与歧视显得尤为讽刺，你可能觉得有些情节很可笑，笑过之后却意识到这就是现实。
____anybody,看过,力荐,2019-09-16 12:18:28,567,人民选择奖有我投的一票哈哈哈哈哈！！！奥斯卡BP预定，毕竟世界和平这个愿望还是非常刚需的！！！
LORENZO 洛伦佐,看过,推荐,2019-10-13 04:18:40,409,以儿童+喜剧的角度来讲二战和德国人/犹太人的渊源很令人耳目一新，加上导演本人演希特勒和儿童对话的形式更是笑点频出，讨喜之余不忘用寡姐和山姆叔叔各自煽了个大情，该有泪点的时刻一击即中。台词智慧绵密，片子本身质量过硬，起承转合流畅无比，颁奖季目测有奖。
桃桃林林,看过,推荐,2019-12-05 23:48:25,377,影片以儿童视角切入二战以及纳粹题材，并以略童话，恶搞喜剧的方式处理，难怪有不少人会提起《美丽人生》，当然，也不一样。影片其实非常塔伊加·维迪提的风格，才会在这样一个严肃题材如此的胡闹与肆意疯癫。表面是恶搞喜剧，骨子里却又是伤感的。故事并不深，重要的还是孩子的视点很容易让大众共鸣吧。几个配角表现其实更出色，斯嘉丽·约翰逊的服装和发型都美呆了，完全看不够；山姆·洛克威尔则用仅有的几场戏证明着自己的表演才华。属于整体很娱乐，却又暗暗伤感的电影，也是因为这种元素混搭，才会让观众在看完后的情绪会非常复杂，很难用好笑抑或感动的单一情绪来描述。虽然，我一直不是特别能领悟导演的笑点。另外，这片配乐才是亮点啊，各种经典摇滚乐，太舒服了。
伪装的甘党,看过,力荐,2019-09-12 12:12:22,287,历史的反派是出产黑色幽默的宝矿，荒诞滑稽的台词反讽极端邪恶，轻快的节奏下布局有力的最重音，俏皮童趣和严肃现实来回切换，哭哭笑笑的让人说不出基调是欢愉的还是悲伤的；妈妈和Captain K等正面人物的设置很重要，内核其实和所有二战片相同：要有希望，相信正义会最终胜利
丰老,看过,较差,2019-11-01 06:35:32,126,口碑高盛的平庸之作，剧本立意低屋建瓴，终究浪不到哪里去。在顶级团队的协助下，整体质量的确工整，但与去年似乎同样工整的《绿皮书》比，缺欠了坚实人物关系间的情感深度／支撑。在不尴不尬的揶揄中试图博取遥渺的些微感动，不过是比较低级的左派作风。
ZLSU,看过,力荐,2019-09-11 12:23:34,195,TIFF 19 #3. 孩子眼中的世界，笑过后又觉得有些感伤。历史可笑，当下却仍在重复。
影志,看过,力荐,2020-01-30 19:32:00,93,要花三星期接受祖父不是金发碧眼、沉迷于万字而努力证明自己是狂热分子的乔乔，拥有四个睾丸和吃着独角兽的希特勒，陷入莫名的墨西哥僵局，以及带眼睛的屋顶、一遍遍重复的“希特勒万岁”…一切都嘲讽的如此可爱又到位，哭笑不得。今年颁奖季的意外惊喜，2019《月升王国》x《阳光小美女》x《美丽人生》x《无耻混蛋》…韦斯·安德森式戏谑浪漫，最悲伤的喜剧莫过于此。“外面危险吗？非常危险”、“如果自由了，你要做的第一件事就是跳舞” 帮妈妈和因加系鞋带，是这个异想世界最真实的两道弧光。“今天，尽力而为吧” 没有什么是一成不变的，活着就是正义。
匡匡,看过,力荐,2020-01-12 13:34:19,118,在童话里面，这就是最好的那一卦了。这样还说“立意低”，还神马“比较低级的左派作风”，真不知道如此高级的人类，还是不是一撇一捺了？有些写影评的，使劲使得差点没把眼珠子憋出来。
阿哲系,看过,力荐,2019-10-08 00:17:47,76,"#28/LFF，真是哭笑并行，节奏感超强，不同于《美丽人生》，从小孩子视角切入，呈现的荒诞和疯狂具有喜剧效果和同时能够进行辛辣讽刺，结合近期的东西两边垄断情绪，让人沉浸同时感到不安，不经意间我们又到疯狂的时刻。戏里戏外的疯狂中保持理性和勇敢（戏外顶着压力支持伍迪）的斯佳丽·约翰逊，穿戴圣母玛利亚群青色大衣简直头顶光芒，圣母再现啊。小的遗憾是同性元素可以再运用好一些，captain K的转变稍显不自然。
如果漫威能敛财同时把一小部分资金，部分卡司持续投入拍此类片，对其继续收敛没啥意见。"
白虎野的娘,看过,力荐,2019-09-09 22:51:09,71,TIFF.目前为止整个tiff里最喜欢的电影。
鼻尖碰见高音咪,看过,力荐,2019-10-06 05:28:16,53,"#LFF P&I# 孩童视角审视二战如《美丽人生》，纳粹童子军有《月升王国》的调调，甚至还看到《无耻混蛋》的一些影子，却仍是相当“瓦伊提提”风格的一部影片，语带机锋（当然还需要二刷深入感受），而且在自己导演的片子里，表演也完全放开（男孩脑内浮夸希特勒）。
寡姐美丽优雅一如往常，还有就是，为什么又让我寡承包所有泪点？想掀桌了！"
椰椰,看过,推荐,2019-10-15 10:27:09,270,从小孩视角放进纳粹无理性狂欢并不稀奇，但是导演本人出演的希特勒是最出彩的最具waititi作者性的，从一开始精神领袖到后来在jojo饥寒交迫时享受饕餮的分歧，在贡献笑料的同时表现的是jojo对于纳粹身份的自省和反思。片中可以看出Waititi在美学调度上的进化，玩弄景框内的元素，像是妈妈的鞋，和屋顶的眼睛。值得一提的是，jojo经常出现在框内，虽然故事中Elsa被困在墙里不见天日，但是jojo才是那个被框在体制内的人。剧本质量非常不错，有荒诞幽默也有措不及防的悲伤，Scarlett Johansson和Sam Rockwell各自都有不少高光戏。(nouveau cinema)
kiki204629,看过,力荐,2019-12-28 23:25:44,21,她说“我爱我的国家，可是我憎恶战争”。和《美丽人生》一样用喜剧和儿童视角来讲述关于二战的故事，10岁的乔乔脑洞里住着一个非典型逗比元首，寡姐演绎的母亲努力呵护着乔乔五彩斑斓的童年，这个小小极端纳粹分子和犹太女孩相遇相知及母亲的离去也渐渐让他看清楚法西斯的真面目，盟军攻城后，胖助教的丑恶嘴脸让纳粹的恶行昭然若揭，K上尉的舍命相救真的是泪点，最终乔乔战胜了希魔这个心魔，与犹太女孩沐浴在阳光下轻舞，是的，如果自由了那就跳舞吧！
mumudancing,看过,推荐,2020-01-09 18:20:43,23,我们现在不过是动动手指写下影评，可他们那一代的童年是真的在尸体或柜子里度过的。男孩演技满分。
何阿嵐,看过,很差,2020-02-06 10:31:33,19,納粹何時可包容猶太人里爾克的詩？Waititi 標誌式80年代鄉愁感強行搬演到二戰，David Bowie 的Heroes 建立在還未有圍牆的柏林之上，最具挑逗性的竟然是納粹軍官是同性戀，而且是全片中相當具人性又可親。不是浪漫化和童話化，納粹符號的亂用只突顯出他的玩笑，只觸及淺層表象，原作者中男主角的殘缺如《鐵皮鼓》的侏儒一樣，換來的希特拉心魔不只是下下之策，更是無法將重心視覺化的證據，如果童心是蒙混過關的掩眼法，那就不只是如何凝視歷史的問題了，主創者走入主流而同時失去自我，更是作者風格與文本產生衝突，媚俗又不大膽的結果。
Z星驰007,看过,推荐,2020-01-12 18:30:47,23,jojo，十岁半，遇到一个让自己怦然心动的小姐姐，还有一个可爱又忠诚的小胖子朋友，感受家、国、种族的意义，这是多么完整、有趣、厚重的童年。
