用户,是否看过,评分,评论时间,有用数,评论
无耻不混蛋,看过,推荐,2019-12-31 19:22:01,110,年度走心、暖心治愈片。尤其是对每一个在外打拼的人来说，真的挺戳心的。对太多人说，2019年，可能是我们最难的一年；但是2020年，我们也不能怂啊。白百合与张子枫可以说是国内最好的两代“小妞电影”女演员，演技自然、真诚。“亲爱的，新年好呀”，跨年的时候，请你给你身边的人，无论何人，一句这样的问候。
正义B胜,看过,还行,2019-12-31 16:37:45,106,三星都给白百合。朋友圈10w+文章还知道编点细节呢，这片子只剩下扯着嗓子大喊口号。
皮卡丘,看过,推荐,2019-12-31 14:00:56,154,丧中带暖的片子，前期白树瑾各种惨真实到致郁，后面当白树瑾喊出“我不怂”的那一刻，真的有种想和她一起嚎的赶脚，无论经历多少，坚持梦想这本身就是一种励志，我要为每一个坚持梦想的北漂鼓个掌！
不玩豆瓣,看过,很差,2019-12-27 16:02:35,507,张子枫拉开在遂道里奔驰着的车窗，探出小脑瓜子，我想大事不好了，不是要开始喊了吧……，别啊，出息点！结果，pose摆得足足的，运足足气，然后使出吃奶的劲，声撕力竭：“北京，我来了！！”…我的妈呀……你可以数数张子枫在里面，各种场合（住房天台餐厅、酒吧里、酒店大门口、大马路上、过山车上……大喊大叫了几多回，年纪轻中气特足，嗓门尖利刺耳（这里埋了给设定）她喊完，白百何接棒接着喊……嗓子疼吗？快去医院瞧瞧吧！灾难性场面一个接一个…#从你的全世界路过look#，应该是上个世纪的装X方式了吧。都2020了，得换一换了，姐。同样讲北漂，这次是女性角度，和《半个喜剧》就是云泥之别，此篇简直是女性励志鸡汤矫情咪蒙公众号10万+写作爆款的代表作。本来就想去看白百何的，她也是演得很辛苦。给她一星。
老袁,看过,还行,2020-01-03 18:03:13,73,白百何在女明星里独一无二。真的想不明白王珞丹和白百何两张这么相似的脸，一张写着“我是行走在都市的死鱼”；另外一张脸则是“揍啊，把我揍碎了，我也能把自己一块一块拼起来。”白百何只差一个好导演，别再跟丁丁张瞎鸡儿混了，好团队好导演看向白百何吧。
张咏轩Wayne®,看过,很差,2019-12-31 18:15:54,313,这破电影稀巴烂，千万不要因为契合节日就去看，充满矫情又做作的笔墨，几乎没有故事可言，女性视角的北漂生活，感情铺满谎言和无情，工作和家庭搞得焦头烂额，拿着一份常年热搜的北漂命题，各种伪记录和假设定，闹市租房精装修出门代步车，还一副苦中作乐的北漂受害者，雨天落汤鸡标配，街头发泄呐喊，天台抒情仰望，白百何和张子枫的角色被强行代表北漂生活的困境，但是处处明摆着的无病呻吟，细节就更不能看，前一秒下雨后一秒飘雪，时间线切分就跟玩儿似的，硬赶上这跨年的档口，生拉硬拽环扣片名，快被导演这毫无调度的叙事手法和情绪戏处理以及这一把自以为是的“矫情美学”恶心的口吐白沫了，最后还来一招土炮反转，以张子枫的角色映衬十年前的白百何，二人的对手戏其实是十年前后两头的个人对话，充满着意淫式的自我怜悯和关照，无比下作和低廉。
南风吹木,看过,较差,2019-12-25 23:52:58,113,嗯，挺难看的，各种尬。——2019.12.25. 成都太古里百丽宫影院
蓝白毛衣可爱多,看过,还行,2019-12-30 23:52:42,186,“每一个珍贵的你，都值得一句新年好。”电影前面有点散，故事线不是很清楚，后面好了很多，而且生活里的琐碎细节特别抓人。在跨年这个时期上映，十分应景。面对新的开始，与过去的自己达成和解。白百何演技真的特别厉害，不能被低估。张子枫和魏大勋也不差，三个人特别带劲。
小融资,看过,很差,2019-12-31 10:33:41,83,既然描写北漂生活 一个刚毕业的就住的起北京这么好的房子 这不是找笑话吗
好好地,看过,较差,2019-12-25 22:06:55,60,合生汇对面啥小区两居室次卧两千还有那么大客厅啊？北京啥时候能在三环放烟花了啊？女主你一直喊一直喊嗓子不疼啊？以及导演你拍的这啥玩意儿啊？两星半
