用户,是否看过,评分,评论时间,有用数,评论
Elvina,看过,推荐,2019-11-17 19:26:42,128,虽然设定走向都很套路，但是演出来真的暖心又好哭。只有天真无邪的孩子们能消弭大人之间的仇恨。也为圣诞老人的传说找到了一个起源。最后看到克劳斯年复一年的老去，妹妹开始发出伤心的声音，但好在这个处理让他走向神化。我说他成了真正的圣诞老人，去给全世界的孩子们送礼物了。每年的圣诞，他都会降临。PS：场景美术大赞。
康报虹,看过,推荐,2019-11-21 17:42:07,101,"①如果说《凯尔经的秘密》是一本盛装饰的爱尔兰古籍，那本片更像是编织好梦的睡前童话，创作者们用精致细腻的手绘画面逐帧勾勒出一群群可爱的孩子和一段段爱的故事。
②友善让人与人之间的敌意消弭于无形，关怀让冰冷阴暗的表现主义小镇重现迷人的北欧情调，孩子的笑容让世界变得不同。当一个落寞孤独的普通樵夫“意外”成为了小岛的“圣诞老人”，创作者们最终又让他走入风雪中，变回孩子记忆和北欧传说中圣诞老人的样子（去神化—神化）。
③1900说他“永远无法走下这艘船”，因为弗吉尼亚号就是他的全部世界；贾斯帕却说“任何人都能下船”，因为被自由环绕的人可以走遍世界的每个角落，被爱包裹的人永远能找到灵魂的归宿。"
恶隐息烙,看过,力荐,2019-11-16 12:03:27,211,哭很惨。很羡慕这种鼓励向善的文化基底。是3D动画，但转描成了2D风格，同时没有失去3D的丰富阴影与细节。插曲都非常好听，画风+歌简直有迪式动画的味道了。感谢Netflix，今年的圣诞来得很早。
AaronSSA,看过,力荐,2019-11-15 21:23:34,184,这部电影让我明白了为什么很喜欢外国人才过的圣诞节，圣诞节在我看来就是：家人、童年、亲人、朋友、高中时候的观影，这些点点滴滴美好的回忆构成了圣诞节（包括春节），12月就要回家！年度最佳再入一部I AM COMING HOME!!!!!!
蒙奇D,看过,推荐,2019-11-21 15:51:17,54,今年网飞的申奥动画片。剧情不复杂，不过很敢编。圣诞节大家都知道怎么来的，圣诞老人在这天送给小孩子礼物的传统是怎么来的呢？这部电影就编了这么一个故事，关键这个故事编得还跟真的一样，有头有尾，完完整整。圣诞老人是个失去妻子、没有子女，热爱做玩具的单身老头。他活着的时候和邮递员一起给小镇的孩子送玩具，死了之后变成圣诞老人把玩具送给全世界的孩子。圣诞老人的由来原来这么心酸，很感人的一部电影。小镇两大家族之间打了几百年的架还挺酷的。
雨夜飞行,看过,力荐,2019-11-16 20:49:23,160,冰冷诡异的开始，却是温暖感人的结局，兼具老派动画的夸张，和新派动画的精致。看完禁不住让人怀念起过去寄信往来的时光，奈何现在知道的地址只有自己家和公司
Pronoia,看过,力荐,2019-11-21 13:51:40,74,我哭惨了
旺仔小王子,看过,力荐,2019-11-15 18:50:29,46,美梦与魔法最搭了/好温馨的故事/不知道为什么动画片的国语配音相比真人电影的国语配音，更好接受一些，没那么出戏
色烈芬_,看过,力荐,2019-12-24 10:13:13,28,有剧透#想象力爆棚的满分佳作！个人年度十佳电影！剧情那么出乎意料又恰到好处的精妙！浑浑噩噩的邮递员鬼使神差地让开战多年的两个家族和好这立意太棒了！好孩子才能收到礼物于是大家都好好建设小镇、礼物太多马儿运不动了于是换了驯鹿、出意外驯鹿车飞起来了让小朋友看到错以为是飞翔的驯鹿车等等等等，如何让本想完成任务的Jasper真心实意为大家付出是这电影的核心 看到最后他下了船坐在马头山的样子我就觉得我爱了我哭了 当所有的善良都处于本意当所有的奉献源于真心 这一切就太美好了！我在想如果掉下去的礼物刚好挂在了那条鱼骨头圣诞树上那更好哈哈哈 特喜欢Margu小天使虽然听不懂她说的啥 他们家里人都是红色的好好看好有爱！还有配乐那首《Insivible》好好听！
隔岸之雨,看过,力荐,2019-11-18 21:03:51,15,带给他人幸福 这件事本身就是最大的幸福啊 无限美好
