用户,是否看过,评分,评论时间,有用数,评论
同志亦凡人中文站,看过,还行,2020-02-22 09:24:31,37,缺少时间厚度、平铺直叙的肥皂剧。可能真是情人节特供吧，结局突然甜腻，让人想问两人中途兜来绕去到底在干什么呢~~~~~~~（get到了男生穿粉红也可以美美哒）
Janus,看过,力荐,2020-02-16 23:10:39,23,"昨晚十一点坐下来 打开freeform 连上hulu tv. 有种过分真实的感觉 人在芝加哥 看一个芝加哥爱情故事. 最后一个镜头 远处的streeterville 他们散步走过的地方 我经常经过. 电影看了一半 和朋友跑去boystown的sidetrack喝到三点关门. 回来瘫倒在床上 看完了剩下的一半. 做了一晚的梦吧. 关于polarized的评分: when viewing art, we tend to be moved by what we lack. 能在一部cheesy rom com的评分里看到低分评论 I’m happy for you guys!"
淋,看过,还行,2020-02-25 11:57:52,23,不看都没感觉，原来我的感情洁癖这么严重。我要是男主，男二这个贱人都不知道死多少回了...
SundanceKid🌈,看过,推荐,2020-02-23 02:16:50,16,3.5 粉红泡泡配星星眼的肥皂剧。两个男生都穿上粉色西装，就像熟了的桃子好想咬一口。Jake真是块小甜饼，搭戏都能碰上最辣的异趣风情男
亵渎电影,看过,较差,2020-02-26 02:14:52,6,如果片子专心做《当哈利遇到莎莉》同志翻版的话，肯定比现在强，或者干脆把一路九个小时的车程展开，也会是一部不错的爱情片。像现在这样，依旧是哈利和莎莉不能做朋友的主题，情节上依旧是两个人各自在经历不同的感情，只是碍于哈利用双性恋自我欺骗这个设定，还有把青春片常见的各自好友助攻搅进三角关系的愚蠢设计，让中间的时间过渡和情感线变成了一团乱麻，哈利的人设也跟着崩了，最后什么都没有展开，编剧已经被片长推到HE的情人节定制款结局面前，有点可惜了。
锤哥,看过,还行,2020-02-22 22:57:55,11,"果然，不管什么电影，只要是打着“情人节特供”这个牌子，那都不是什么好片子...剧情也太拖欠了，也没感觉到多浪漫...全片最温馨的地方也就最后一幕俩人养孩子了...
ps.男二看上去太狂野了..."
梵目,看过,还行,2020-02-26 23:23:50,10,这电视剧般的画风、这浮夸的演技，这狗血的剧情，都表明这是一部美国很常见的平庸网大。
Hungerkunstler,看过,还行,2020-02-22 23:01:31,10,弱智片子，剧本像是女中学生写的同人文，再说 harry 懂演戏不？俗俗俗。
恶隐息烙,看过,还行,2020-02-25 23:44:41,7,难以定夺。有一些适应年轻观众的新东西，比如连续的场景跳跃，片段之间的过渡并没有强关联和硬逻辑。但更多的还是非常老的小妞电影。fab5和qaf5都下来站台有点诧异，在某些瞬间也呈现了超出小成本gtm一般水平的质感。剧本的打磨还欠火候，选的主题太老套单薄，连90min都撑不住，最后直接写飞了（结尾这个春梦式的两男一娃简直胡闹）。泛性恋设定解决了角色之间关联性的问题（不然还真不好把闺蜜搅进来），但整体故事的保守真是配不上这个设定，这么着急地去挂靠工作、婚姻这些子题，现在的年轻人到底是多不酷了啊。部分镜头直接扑街，比如婚礼上环拍的接吻和事后清晨床上的打光，上帝啊。另外近几年流媒体是特产这种长相还行但演技捉急发音慵懒的演员吗？而且狂奔的一瞬间看到他发际线有点捉急啊……
sweet tea,看过,推荐,2020-02-23 16:18:59,33,剧本贼烂，两个人中间绕来绕去的不知道在干嘛，没有时间跨度，没有真正意义的阻碍，又没有好的切入点注定只能弄出这种糖水，but，再烂的剧本也没有阻挡住我疯狂上扬的嘴角，有几个场景俗的我笑到失声
陆支羽,看过,还行,2020-02-28 19:13:22,2,3.0。
∮3alloon,看过,较差,2020-02-26 15:14:11,7,想要获取快乐的时候，值得选择。真的是糖里有💩/💩里有糖的典型，导演久违甚至都没在片中看出来扮演了房东，故事完全没有参考性，糖衣炮弹朋友们看看就好。
某J。624,看过,还行,2020-02-26 01:24:12,0,比起电影，更像肥皂剧。校园霸凌+浪子回头的童话小甜饼，还能相信Harry的男主真的很有勇气。以往这类都很喜欢先滚床单再纠结，多颗星给这次终于是先走心最后才走肾。
Panda的阴影,看过,还行,2020-02-25 23:38:53,1,之前看片名和海报就莫名一股《爱你，西蒙》+《当哈利遇到莎莉》的预感，如今看正片，萨姆和哈利一开始是借由搭顺风车的契机久别重逢地结缘，而后两人的分分合合乃至探讨“基佬成了朋友就再没法发展更亲密的关系”的话题等等，都不禁让我有种同志版《When Harry Met Sally...》（“男人和女人可以成为真正的朋友么？”）的错觉，中间好友与闺蜜搞在一起的转折挺刻意，套路的HE结尾又仿佛之前的蛮多剧情在做无用功。P.S.：哈利说他最爱的电影是《Up 飞屋环游记》；萨姆在炮夜的几天后半躺在沙发上看《Bridget Jones's Diary BJ单身日记》。
Dioretsa-Z,看过,还行,2020-02-26 05:36:11,0,wtf 9弯18拐傻白甜神剧情，更多惊喜于Karamo和“Emmett”的参演，后看演职表才发现导演竟然是Emmett！难以置信。我还以为是哪个新生代的腐女小导演。。
luerdelphic,看过,还行,2020-02-29 02:50:18,0,想掐死男一，然后大喊一声，Harry，冲我来。。。😂😂😂
施舍翅膀,看过,很差,2020-03-02 02:49:32,0,为了Peter Paige而看，五倍速，建议观看年龄16岁以下。PS.船戏在74min，只露了上半身；Peter也老了啊
bohegao,看过,还行,2020-02-27 23:56:16,0,Harry确实很帅，不过太直了，扭捏的男主演技还行，只是他们的感情戏很别扭。就是普通的青春剧，刚刚及格吧。
北京病人,看过,推荐,2020-02-17 01:49:09,13,302。嗷嗷嗷这个阵容！！！花栗鼠真的好乖好可爱～男二长得不错～卡拉莫打了个酱油～Peter(对于我来说就是艾美特）依然那么天使！看到他们同框真的好开心啊～发糖发的不算很密集，但是浪漫喜剧甜就对了！
资深低阶路人,看过,还行,2020-02-26 05:29:05,0,一般水准的基佬言情片，桥段不高明，不过有一些年轻一代的特色，能看吧
傻乐的猫,看过,较差,2020-02-25 15:24:33,1,when harry met sally无数徒子徒孙又一部，这次连名字都保留了。花栗鼠穿着高领毛衣念对白的时候心里就在幻想着自己是梅格瑞安吧.....但，最好的浪漫喜剧通常都不是由身材辣脸蛋美的男主角出演的。
半甜的太阳雨,看过,还行,2020-03-07 02:51:22,0,自己人fuck自己人
马 夋,看过,还行,2020-03-04 20:47:33,0,粉红系
AlanX,看过,力荐,2020-02-24 00:08:50,13,在真正找到爱之前也许不只会搞砸一次，但只要是真爱，就算每一次都搞砸，总会再一次坚持来弥补，来证明我愿意，你值得。（情人节上映的电影就该有这样的HE，虽然剧情确实是硬伤，但甜就够了）
飞驰吧江江,看过,力荐,2020-02-22 01:12:15,7,I lost U twice. 爆哭
ryan,看过,还行,2020-02-25 13:36:45,1,7分吧  整体蛮好看 就是一些自己作死的问题 还有最后为了逆转而制造的矛盾实在是太可怕了 转折这么生硬 头皮都麻掉了...
