用户,是否看过,评分,评论时间,有用数,评论
掉线,看过,力荐,2019-11-15 22:44:33,299,年度最佳剧本之一，自作聪明的以为猜到故事，结果还是被反转不断打脸，更在叙述了精彩的凶杀之外，用一记遗嘱对外表和睦美满，其实各怀鬼胎的家族式亲属关系，进行了充满黑色幽默的讽刺。虚伪的伦比斯家族才是真正像“小丑”一般的“寄生虫”。
恶猫的步调,看过,推荐,2019-11-29 23:47:06,99,猝不及防地cue了baby driver！？
萨库拉,看过,还行,2019-11-26 21:53:17,1578,可能最近看的和写的推理太多，所有的伏笔、 发展和反转都没有超出意料。它并没有反类型，仍然是一个古典推理的结构，甚至还留下了最脆弱的bug：一验血就知道谁有嫌疑，老头的计划全盘崩塌。作为编剧不能忍受故事建立在一个随时可以崩塌的基石上。
李ショウ毛,看过,推荐,2019-12-02 14:31:42,74,女主到底是巴拉圭还是乌拉圭还是厄瓜多尔还是巴西！不告诉我今晚睡不捉！
中国的华莱士,看过,很差,2019-09-24 15:08:23,160,一如既往的老套路，这种编故事的方法在18世纪都已经被用烂了。
张小北,看过,推荐,2019-12-01 21:10:47,46,"《利刃出鞘》这个译名和官方海报，对内地观众来说容易被误导，觉得是豪门恩怨的家长里短故事。其实这是个推理悬疑故事，开场就死人，然后出来一个侦探开始找凶手。不算很烧脑，最后真凶……也不是那么出人意料。但这个过程就是很好看，表演、摄影、氛围、节奏都是上乘之作。
作为一个圣诞节档期的电影，大基调肯定不能太黑暗了，所以我在这种故事上的阴暗心理没能得到满足。不过稍微脑补一下，就能自己嗨出一个更暗黑的故事出来。"
阿暖,看过,还行,2019-11-27 14:30:55,943,可能因为期待值太高，看完其实蛮失望的。并不“狼人杀”，大部分的家族成员也都被处理成很脸谱化的小反派，尤其故事到中后段视角完全从女主小白兔一人展开，上帝视角一开，几乎从推理变成了犯罪惊悚片。到最后谜底并不重要，重要的是，这依然是想讲一个拉美裔移民赶走美国人的反川普式寓言。这几年川总凭一人之力到底为好莱坞贡献了多少素材灵感？？？还能拍点别的吗？？？
米粒,看过,推荐,2019-11-29 12:23:22,51,很酣畅的观影感受，像是一部现代的阿加莎克里斯蒂小说，人物纷繁丰满，但没有人是多余的。不过说实话啊，塑造一个有魅力的侦探角色实在是太难了，丹尼尔克雷格很努力在塑造跟以往不同的形象，但总觉得这个主角存在感较低。早早揭示“真相”的做法稍有些风险，虽然我知道事情肯定是没那么简单啦。就这个故事这样设定的话，莱恩约翰逊肯定是要借力狂吐槽建墙的MAGA，并把虚伪的民主党和脑缺的共和党各打了五十大板，一点不浪费。安娜德阿玛斯既漂亮又很有可塑性，这两年看她不少电影感觉每部都很不一样，这次还有纳入影史惊天一吐的潜质，哈哈哈（考虑造个豆列）。
蜉蝣,看过,还行,2019-11-26 22:32:23,420,用古典影调、英式喜剧、政治讽刺、闪亮亮卡司层层包装，唯独甜甜圈最核心的部分空了一块，没有推理进行到关键时刻那轻轻一击整个人恍然大悟的快感。解谜越深入越感受到导演对于反类型的用力又无能为力，用明到不能再明的明喻带着观众兜圈，以回避只要一验血就不言自明的真相，推理迷看完失望到萎靡。
文森特九六,看过,还行,2019-11-29 18:11:41,259,没有推理迷会瞧得上这个案子吧？它的质量、体量与能量甚至都不足以支撑起一部电影。莱恩增添人物数量和支线情节进行叙事注水，一个个功能化的毫无生命的沦为道具的角色除了分散注意力与提供生硬的笑点外基本是多余的，他们真的参与悬疑和谜团的助力与搅局了吗？演员选角特点，众人登场布局，稀释了真相前的迷雾，反阿婆，但实际并未跳出传统，从《神探可伦坡》到《古畑任三郎》，太多前人早就做过无数次，最后，还是向老派推理的惯式投降。你可能会说，这片子不仅仅看罪案侦破，你更要看到它社会向的一面，不好意思，这一点，我作为一个三流影迷，更没瞧上。
鬼腳七,看过,还行,2019-11-22 12:02:06,232,放在悬疑喜剧还行，放在推理就比较勉强，当然这片本质还是为了骂川普。但是“移民都是心地善良的天使，美国人全是心肝黑透了的坏坯”这种逻辑也实在是过于惊悚，美国人看到最后一幕的时候不会觉得恐慌吗？
西楼尘,看过,还行,2019-11-21 17:44:01,157,万有引力之虹会把凶案引向真相，网飞会把血缘引向灭亡，一千把剑能揭下伪装成君子的面具，暗窗通往最深不可测的人心。想把曾祖母送到疯人院，曾祖母却旁观豪宅里的一窝疯人。想证明庄园主失心疯立了遗嘱，整个家族却都是撒谎不会呕吐的名流。在拔刀相向的豪门，最难的不是发掘真相，而是如何面对真相。
Derridager,看过,较差,2019-11-30 14:06:08,222,如果电影关注点能够落在“犯罪小说家”试图在死前再一次emplot自己的人生，大概就不会有这把观众脑袋当卡槽，剧情卡插完一张又一张，还一边说着“我们故事牛逼吗”的状况。一个写成文字不用30分钟就可以翻完的小说，我为什么花两个小时看你搬演一遍？说到底，制作出这种电影的人根本就不想让观众“看”，只是在灌输。至于那点时政讽刺，算了，都不想说。
一口吃掉小蛋糕,看过,力荐,2019-10-10 10:04:56,254,这也太好看了吧！！！我的年度三甲之一！！光影构图复古又考究，配乐小情小调拿捏到位，笑点埋的恰到好处。以为是反福尔摩斯，结果我错了。有了上帝视角的错觉，最后发现观众才是被骗最惨的那个。即便之前不小心看过结尾，也完全不会被剧透啊！130分钟的片长连看手机的空隙都不给你，眨眼时间太长都会跟不上剧情，全程反转山路十八弯啊！【谁能挡住美队的致命一击？是童真啊！】穿着毛衣的美队太杀了！
HANNAMITHD,看过,较差,2019-11-29 13:13:28,143,可能带着很高的期望去看，结果还蛮失望的。推理并不复杂，甚至很简单。本以为是人人都有嫌疑一直到最后，没想到悬念早早退场。一大家子个性鲜明的角色都没用好，基本上本电影到了一半他们就没他们什么事了。政治隐喻直白幼稚，移民女孩善良勤劳，一家子白人就是烦人的吸血鬼寄生虫。
欢乐分裂,看过,推荐,2019-11-29 15:12:24,42,4.5；这个年代还能看到一部不故弄玄虚的侦探片真是一本满足！复古味满溢，光感质感一流；剧本简直太棒，散落的零碎线头最终都不落痕迹地嵌入，万有引力之虹滑过的轨迹最终让真相落地。以中段“事先张扬的真相”为分水岭，前半部貌似常规阿婆式封闭空间+各怀鬼胎的大宅门群像（想及《高斯福庄园》），各色人物乍看较脸谱化然实则往往反套路——浪子+暗中观察的老太+上流社会家庭模式（并不遵循观众已有观影经验），因而在悬疑之余生成另一层反差幽默；后半程剧本功力全开，接连不断的“反转”抛出（通过顺应事件内部的逻辑合理性的反转），突破古典范式窠臼，毫不客气摆出政治立场+堂而皇之花式吐槽，然而最终解谜依旧建立于人心的善恶之上，在类型片领域纵横自如。
看起来兔兔的,看过,很差,2019-11-29 22:10:55,50,庸俗谋杀剧，就认为一个浮浪纨绔子弟可以瞬间想到这么精致细微的谋杀操作好了。请问他平常玩乐之余是在哪家护理学院接受的药学训练使他获得了在药物标签辨认、解毒知识和静脉推针达到了可以和多年执业的执照护士一较高下的专业素质？
哪吒男,看过,还行,2019-11-30 01:08:04,152,就还行吧，夸成这样，真不至于。是我看推理片太少，还是别人看的太少，困惑。
法兰西胶片,看过,力荐,2019-11-25 12:20:11,162,四星半。无敌的野心与实现力，巨大的脑力与情感贯彻，对标《小丑》，你独苗，我群戏，你唯表演论，我唯戏剧论，你玩无政府，我信传统道德护身。通过“自殉”达到“悲悯”，莱恩·约翰逊从《环形使者》到《星战8》的一贯主题，但这回是毫无避讳地直喷民粹、啐川普，电影越到后面，推理上越故意露出“我正在反转”的痕迹，女主最后电话“战术”极易辨识，其实是导演私心来了，智力竞赛结束，发泄观点的时刻，那啐得“九头蛇美队”这种利己主义者一脸污垢啊。所以它根本就不是烧脑片，它在逻辑上说得死死的，因为要对当下表态，古典主义让片中一切电子设备都很古怪，资本主义鸠夺鹊巢原罪到南北内战伤痕全有隐射，还有本片真正主角安娜·德·阿玛斯，当代舒淇啊，以前是看她的身条，现在看她的表演，恰好符合导演主旨立场。谁先拔出玩具刀，谁就是小丑。
大奇特(Grinch),看过,力荐,2019-10-26 17:54:53,130,四星半，剧作扎实，阿婆式推理集大成之作，人人都有嫌疑，以及功能失调的大家庭和开会解谜的方式。推理之外，重在刻画人物在接近甜甜圈中心真相时所面临的反应，几个人物在明在暗的博弈。在不同人物的视点之间切换，不断吸引着观众。故事的背景是在美国，但整体风格都深谙英国老派侦探片的味道。
王大根,看过,推荐,2019-11-30 18:08:27,26,老派的好看，边看边想着“我也好想拥有1个有钱快死老头”，后面忽然想起《金钱世界》里的有钱快死老头也是他，喜宝梦瞬间碎了
Ni,看过,还行,2019-11-29 16:18:37,74,为了反常规而反常规，通过非正常叙事达到反转OK，扭曲事件正常逻辑来达成烟雾弹不OK；梗喊得超大声如同dad joke；非要点艹政治热点，却只会在台词上喊一喊，逻辑上站不住脚还自相矛盾，明挺移民暗拆台，只会显得左派又虚伪又没用，耶我今天也骂过川普了好开心，自我陶醉。
把噗,看过,推荐,2019-12-01 18:36:33,12,为托马斯品钦+1s。
Peter Cat,看过,推荐,2019-11-30 01:04:56,18,好的推理电影是可以终结推理小说的。我指的不是不再生产推理小说，而是可以跳过小说而只是等待好的电影化改编。如果推理小说核心是对某种约定的“客观真实”，从视点、叙事方式不断遮蔽和揭示，那么这部电影大概工整得向我们说明了这一套推理小说的核心技法和动力，正是电影这种媒介经由视点、取景、剪辑这些基础电影语汇所玩弄把戏。
嘟嘟熊之父,看过,力荐,2019-11-15 22:38:56,105,如果只是真相的反转那充其量是一部高配版《看不见的客人》，但此片高明之处在于它无偿赠予的上帝视角和对上帝身份的嘲弄与破解，从而让心理感受的跌宕成几何倍数的放大。如何寻找不存在的犯罪动机？是对将来时态的揣测、证伪与洞悉；如何还原已成既定事实的犯罪现场？是对过去时态的篡改、顶替与复制。好的犯罪推理电影贵不在真相，在于哲学之力。
徐若风,看过,力荐,2019-11-25 14:54:34,79,4.5  作为一名经受过几千个推理故事洗礼的“狂热推理迷”，《利刃出鞘》还是给我带来了很大的惊喜，是一种时而轻巧灵动、时而如“过山车狂飙”式的观影体验。影片的前半部中，案件的大体面貌就已经被观众知晓，这是“一桩事先张扬的凶杀案”。没想到，真相背后还有多重真相，反转之后还有疯狂反转。看似古典质感的黑色幽默+悬疑推理的标准类型模式之下，导演莱恩·约翰逊其实大胆创新，将故事的内部逻辑与讲法都进行了解构，让人猜不到结局。无论是导演还是演员们，都在这部电影里玩得很嗨，而嗨的背后又暗藏了重峦叠嶂的美国社会问题。
假装在学习,看过,较差,2019-11-29 19:31:35,76,海报上画的是群像，宣发上又碰瓷阿加莎·克里斯蒂。阿婆无人生还，东方快车和尼罗河惨案中的每一个人物都和凶案有关，在这里倒是一群人打酱油。最后的推理论证环节更是证据拿不出，纯靠证人骗口供录音，low不low啊？还跟波洛比肩呢？再其次更别提政治隐喻了，那些要讨论和表达的东西明明白白地写在对白里了，您是不懂什么是“隐喻”吗？拿玛塔这一孤例去为移民撑腰的表达更是毫无说服力。这些缺点指出来，倒也不必在凶案的逻辑上纠结太多了。以这片口碑和票房来看，怕是又要整出一个利刃出鞘2喂屎了。
MK™,看过,较差,2019-12-02 19:35:22,36,脑洞略歪，核心trick倒像是bug，一是老混球几分钟内毫不分析就决定死，二是把所有财产留给女护士，这两点反正我是不信。
frozenmoon,看过,推荐,2019-12-01 18:05:56,18,很勇敢很自信的创作，这么老的大宅杀人模式，用的最经典的完全被写滥各种桥段，竟然翻新成得这么引人入胜。
乌鸦火堂,看过,力荐,2019-10-26 22:52:05,95,"精彩+刺激，太好看了！娱乐性颇高的悬疑喜剧。
阿加莎“乡间别墅派”侦探小说模式+希区柯克悬疑风格+布莱恩德帕尔马犯罪电影叙事，从构图到色调都致敬古典推理电影，莱恩·约翰逊用通俗化的视觉回溯和幽默情节，把这个曲折的故事驾驭的条理分明，基本上是“犬神家族”式的剧本杀大戏，真相比所见的还要复杂。全片毫无废戏，人物众多但每人都有悬念，始终在推进剧情，节奏极快，复杂但不烧脑，而是过山车般的观感。
美国南方口音的克雷格，与拉美裔移民的搭档很讽刺，美队与佐德将军对峙时我差点穿越了。"
書崎,看过,还行,2019-11-21 17:23:05,73,7.5，凶手是谁猜不到，是任何人也都不意外。结果真相真的是一场“意外”。海外评价那么高还是因为讽刺了川普的移民政策吧，移民站在白人豪宅里，咖啡杯上写着“my house，my rule，my coffee”，自黑确实没人能比得上他们。同时我又觉得把白人资产阶级写这么脸谱化的蠢和坏，没多大意思。也就主仆情触动到我了。
LORENZO 洛伦佐,看过,推荐,2019-12-05 01:50:56,16,感觉像阿婆的小说《罗杰惨案》，真是老派严谨的精彩。
