用户,是否看过,评分,评论时间,有用数,评论
肥兔子,看过,力荐,2020-01-03 08:01:47,473,郭渡元的演员生涯完美诠释就算跑龙套都要挑剧本。
方枪枪,看过,推荐,2020-02-21 20:08:18,438,你旁边不是有我吗，你就按你想的做吧。原来，从上到下，所有的领导都喜欢玩这些把戏！
松平信纲,看过,力荐,2020-02-20 00:36:52,267,"讲个没人提的冷知识，中国曾经引进过《南山的部长们》原著的第三卷，改名为《全斗焕兵变青瓦台》出版。

//02.20看完补充，李秉宪阴沉，郭度沅外显，两个性格截然不同的人物对立效果非常鲜明，演技炸裂（特别是各种特写给到的微表情）。
从剧情上看，把金炯旭在美国接受听证（事在1977）、发表回忆录（事在1979.4）到金载圭刺杀朴正熙压缩到电影里的40天内，使得故事更紧凑的同时，从朴龙阁（也就是金炯旭）视角切入金规泙（金载圭）的内心，让人在“民主斗士/弑君逆贼”的两极分化评价之外看到了一个态度渐变、脱离脸谱化的金规泙。
但是金载圭的行动力比金规泙要强——前者是那种认准了就去干的人物，未必有金规泙到最后一刻还在劝谏朴大统领的“忠臣”样子。惟其如此，在死局中还怀揣着一丝理想的金规泙才更可悲、也更动人。"
Sundance小千,看过,推荐,2020-02-19 23:10:43,328,一个革命家的抉择。青瓦台真是韩国风水最差的地方。
嘚嘚嘚嘚嘚,看过,还行,2020-02-25 18:28:11,202,为什么要革命？一百万，两百万，用坦克压吗？（之前第一第二的热评似乎被删掉了）
柯里昂,看过,推荐,2020-02-19 23:55:59,286,是历史片也是传记片，是政治片也是惊悚片。禹民镐有进步（剧本有瑕疵，但某几场戏的摄影和角色调度都很有想法）。但是，还是被李秉宪抢去风头，基本已经把第二座青龙影帝攥手上了，后半段高潮部分有一处快三分钟的长镜头，考验的不是导演/摄影的功力，而是李秉宪表演的功力（长镜头中段，踩到血迹摔倒后给摄影机让出动线，表演状态拿捏得太到位），以此段落为代表纵观全片，然后再跟奉俊昊《寄生虫》里雨中那段长镜头对比看，就会明白导演成就电影和演员成就电影的区别。
二师兄,看过,推荐,2020-02-20 13:00:36,301,李秉宪演技可以啊，特别最后的那个长镜头，相当精彩。影片讲述大政治背景下的一个悲剧的个人英雄传记电影，韩国这类政治电影拍的确实好。李秉宪饰演的金部长不惜牺牲自己结束了一个黑暗时代，殊不知一个更黑暗的时代来了。讽刺意味十足，令人感叹不已。
内陆飞鱼,看过,推荐,2020-02-22 02:47:06,149,大韩民国历史上，类似的故事可以写一本本厚厚的书了，悲情，激昂，理想主义，蛮有太史公笔下的风骨；这个片子整体上还是平了一些，印象深刻的细节，朴部长丢了一只皮鞋的脚，安重根雕像的裂纹，金部长沾血的滑倒，金部长丢了一只鞋的脚，“阁下”爱听的老歌……最有力度的还是结尾的真实历史部分，遥远的黑白照片，不太清晰的自白录音，这个刺客有骨气！
发条橙,看过,还行,2020-02-19 22:40:55,102,氛围营造得不错，冷峻凌冽，但作为一部类型片最主要的问题还是太平太寡淡了，以及这么多大特写李秉宪又合计着想冲个影帝？！
亵渎电影,看过,还行,2020-02-22 02:20:15,53,题材很棒，羡慕韩国电影人什么样的题材都可以拍。不过这种偏重于商业性的类型化改编显得有点单薄了点，好在李秉宪这个角色的塑造很成功，又见汽车调头的人性拐点，第三幕的高潮戏也拍出了惊悚感，在这种侧重于商业性的改编上，算是导演最大的优点了吧，其他真没什么可说的。
Ellie,看过,推荐,2020-01-24 22:30:21,151,前面略微闷，不清楚韩国zz的可能会懵，中间开始渐入佳境，最后的爆发精彩！看演员们飙演技实在是过瘾，李秉宪郭度沅发挥稳定，李熙俊挺出彩的，李星民牛逼！可惜的是一个独裁者倒下了，另一个更独裁的站起来了。。。
