用户,是否看过,评分,评论时间,有用数,评论
布鲁克林大竣,看过,还行,2019-05-19 01:01:24,3452,不及白日焰火。由于镜头和叙事都太僵硬，导致优秀的布景和灯光塑造的氛围都让人觉得虚得泄气。表演一般，胡歌的角色可以演得更好，并不是沧桑扮相就能显得有演技，他的情绪传达还是有欠缺，不灵也很难动人。三星给美术，枪战，和个别不错的令人捧腹的台词。
青十,看过,力荐,2019-05-19 00:21:05,2835,开了无数枪，死了十个人。大概是这么多年最凶狠的国产片，很难得！
桃桃林林,看过,推荐,2019-05-19 02:10:23,2756,7分吧，风格很突出，华语片挺难得。某种程度上，这其实是对《白日焰火》的一次呼应，或者说，以这种方式，给《白日焰火》中的桂纶镁一次补偿。影像上则更风格化，也是最考验观众的一环，光影是黑色电影式的，非常人为的布光，各种对影子的使用，一个被阴影覆盖的城市。之前也曾考虑胡歌和廖凡角色可以互换，但还是这样更好，因为胡歌出演这个角色，才会让观众对这个角色的感情更为复杂，而非好与坏的二元对立。同时，借角色的逃亡，去环视那些光怪陆离
圆首的秘书,看过,2019-05-19 01:21:58, ,1248,刁亦男似乎把他平生所见所学一股脑堆在了电影里，但真的只是堆在了电影里。
LORENZO 洛伦佐,看过,还行,2019-05-19 03:17:52,1252,就说说个人的观感吧，优缺点都很明显：视觉很类型风格化，南方的潮湿和错杂很亮眼，动物园一幕尤其喜欢，动作暴力戏码也很有温丁风格。但成片有些粗糙，段落之间也不太连贯，剧作的细节也需要打磨，人物没有立起来，听完讲创作意图也觉得欠思考，还是有提升空间的。
倪太红,看过,推荐,2019-05-19 01:04:49,2664,电影没有沉浸在传统中国电影模式中，在美学上有创新。也被角色吸引，胡歌作为电影新人这份答卷交得不错。
郭连凯,看过,推荐,2019-05-19 01:26:15,1913,对于国内观众或许是一次挑战，但对于雷弗恩粉丝来讲，这种视觉系的视听和留白的叙事正好符合我的节奏，手部特写借鉴布列松，追踪戏看出《M就是凶手》，潮湿黑暗的环境和紧窄的巷道也是黑色电影的元素传承，另外还贡献了几场华语电影少有的情欲戏和斩杀戏。
南悠一,看过,推荐,2019-05-19 00:59:38,2037,人物与环境的关系在这部作品里变得极为重要，人物并不是扁平，而是人物被环境融化（戏剧脸谱化）了。尤其在满墙的报纸和新闻图片里，与剧情无关的旧新闻挟持了男主角的痛苦。我们不得不考虑艺术家有限的表达空间，从而肯定这部电影在强化个体和时代的关系上走出了一条新路，更或许男主角和女主角走走停停，背后或许有贾樟柯的影子的，而美丽的梭罗河又是一腔内在的姜文（黄秋生弹唱）情怀。当时代的列车在头顶上呼啸走过，桂纶镁、胡歌、你、我或者谁的“呻吟”和“呢喃”便都听不清了……
王大根,看过,还行,2019-12-01 17:55:03,914,不喜欢《白日焰火》的人大概率不会喜欢这部，胡歌付出的所有努力就是把自己给搞成了一个二手张鲁一，桂纶镁的角色更加莫名，而且整个人越来越像小男孩了（要真是小男孩那故事可能还好看点）。当然最好笑的还是黄觉，专门跑来演一场〇〇戏，上一部是廖凡这一部是黄觉，刁亦男下一部准备再找谁来〇〇桂纶镁啊
HarperDie,看过,推荐,2019-05-19 01:14:23,1788,野鹅塘湖区，一场由电瓶车引发的惨案，鼓噪出小镇一隅柔黄湿粉的浮世绘。恃凶者贪于汇聚、稽查者享于汇聚、甚至连路人都乐于汇聚其中，谁也无法置身罪案之外。刁亦男用近乎执拗的视觉光影，为暴力着上如梦似幻的脚注，更制造了专属于他的血腥奇观。
谢飞导演,看过,还行,2019-09-29 04:20:35,646,土耳其阿达纳电影节展映中，除了我的回顾放映外，就只有这一部参加过戛纳竞赛的中国电影，国内还没放，就去看了。现场对白声音小，又是说的湖北话（开始还以为是四川话），许多地方听不清，还得看英文字幕理解，没怎么看好。外国观众倒是很多，看后说像好莱坞的犯罪片。导演拍黑色犯罪片的技艺是很不错的，只是几个主要人物都单薄、空泛了些，血腥、杀戮、色情虽多，也无法给片子增加分量。
Cyril,看过,推荐,2019-05-19 01:21:36,1735,刁亦男的美学向来自成一体，这次居然更加极致，雨夜追逐可以入选年度最佳镜头。影片本身充满了导演语境下的疏离感，命运的车轮滚滚向前，所有角色的挣扎与和解都令人唏嘘。刁亦男调教演员功力令人叹服，在他的镜头之下，桂纶镁一如既往绽放着缥缈的美丽，而胡歌拥有了破碎的梦幻色彩。
我可我可我可,看过,推荐,2019-05-19 01:15:33,956,坐在电影院有那么一瞬间，我以为回了家，而不是在戛纳。电影里的街道都看见了童年
黄青蕉,看过,还行,2019-12-07 13:59:42,409,真是观感特别奇特的电影，一方面光影和镜头登峰造极，氛围奇佳，另一方面又分分钟想问导演：为啥偏偏选了这么两个人来演？大概是史上最不像逃犯的逃犯和最不像鸡的鸡，每五分钟都要分神脑补这要是曾慧美孜和廖凡就好了，一切情节都会合理化一万倍，包括那一坨口型都对不上的塑料武汉话，真的，不是演得不好，就是不合适
steven47,看过,还行,2019-05-20 03:43:29,453,在戛纳看的第一部主竞赛中国影片，但却瞄了全场的英文字幕感觉看了个外语片。故事和人物不知所云。刁导镜头风格强烈，血喷雨伞的一幕印象博得现场观众一阵掌声，但无奈胡歌演技太差，全片整体上提不起来，无高潮无起伏。
吓死了,看过,推荐,2019-05-19 01:12:21,1092,题材很有突破性，对导演和演员都是一次挑战。刁亦男上次柏林拿了金熊，今年作为唯一入围主竞赛单元的华语电影，不是没有道理的。
前排嗑瓜子,看过,推荐,2019-05-19 01:14:27,938,“如果生命注定是场失败，如果崩溃必将到来，我们便尤其赞赏那些自觉地选择了这失败并彻底承担起这一失败的人。” ——写给周泽农
木由,看过,推荐,2019-11-29 05:47:26,535,那只给面加醋让时间暂停的手，是命运对他最后的温柔。
凌睿,看过,推荐,2019-12-06 15:57:34,483,"和《无人区》《荒蛮故事》异曲同工，都是鸡毛蒜皮的小事演变成命案的故事。
本来这件事都翻篇了，黄毛还要去开一枪，不仅导致自己被爆头，还连累周泽农被追杀，才有后来的把警察看成了猫眼、猫耳将其误杀。
猫眼、猫耳是典型的不在乎杀人坐牢的人，招惹了他们，要么他们把你打死，他们坐牢，要么你把他们打死，你坐牢，赢了输了都没好下场。
宁愿吃点小亏，也不要和他们硬碰硬，这就是垃圾人定律。
要是黄毛不开那一枪，就没有后面的事了。
当然，如果不发生这件事，周泽农也不会发现所谓的义气是多么的不堪一击。
只需30万，就能让任何一个出生入死的兄弟出卖你。
被常朝出卖，被华华出卖，被刘爱爱出卖……
他知道这次逃不掉了，反正横竖都是被卖，不如卖给家人孩子。
这世界太现实了，凡事都有一个价格，甚至连人命都明码标价，想想就让人不寒而栗。"
蛋堡的波特,看过,推荐,2019-05-18 02:00:22,715,琢磨不定的迷離感与時代裹挾的宿命感，感覺今年四大洲的神棍片齊聚戛納，可能比較兩極化的影片。
水怪,看过,力荐,2019-05-19 00:26:09,2786,比预期还惊艳，绝对要看最好的大银幕！塑料城市CBD幕下的城中村飞地挽歌，极其绝妙而高级的双层猫鼠互文游戏。如果说白日焰火是对逝去年代的悲情感怀，那南方车站则是聚焦最为当下的，被驱逐的，多余的人与事，堪称非遗性的影像保护。
unlords,看过,还行,2019-05-19 00:56:16,312,3.5星: 感觉像贾樟柯拍的武汉，廖凡很帅武汉话也正。过于迎合戛纳的taste了，尤其是结尾那个shot…音乐一响起，end。总之，冲着片名来的，没想到名字比电影本身出彩。
老末,看过,很差,2019-05-19 01:35:31,714,#Cannes72#主竞赛第四场。我看完了很难受，我在自我怀疑是不是自己审片能力差到该转行。“但是兄弟，喜欢就是喜欢，特别不喜欢就是特别不喜欢。”世界电影可以讨论的格局如此先进的今天，请停止跪舔欧洲。
萨库拉,看过,较差,2019-05-19 00:43:40,1540,从语言到故事都没有实感，玩镜头，堆符号，各种做作的设计，在《白日焰火》之后是种倒退。
Kimberly,看过,力荐,2019-05-19 00:41:10,1683,感恩戛纳！我跟胡歌看了同一场世界首映！放映结束后一波波的掌声不断，来自世界各地的掌声，中国电影真的又进一步！
斯大凌,看过,较差,2019-05-19 01:01:33,1525,目标受众绝对不是中国观众，用各种各样的奇观元素堆砌出一个猎奇的南方城市。在这样一部只有角色没有人物，只有剧情没有故事的电影里，能看到的只有外媒想看到的中国景观。
木卫二,看过,力荐,2019-11-22 22:15:25,659,夜行动物的低徊趣味。从开场的高架桥墩柱，到车站候车室，再到人头蛇身美女的空房间，周泽农和刘爱爱转悠了许多地方，从城中村到野鹅湖，终于无处可去。以高架桥段落为例，观众会跟着镜头，绕转，移动，从胡歌的脸，到桂纶镁的影子。路过的车灯，手上的烟支，洒落的雨水，挑动起观众的通感，观察，端倪，推测人物身份，拼贴事件始末。虽然伴随凶杀，但《南方车站的聚会》的趣味，像墨水稀释在水中，慢慢释放到它的环境，也就是整个电影的场——从建筑，车辆，人群，湖水到天色。它们，才是这部电影的最大主角。
FionaCheng,看过,还行,2019-05-20 04:20:09,282,看之前没看过豆瓣评价，看完之后来豆瓣发现共鸣了。真的是拍给欧洲人美国人看的，全片全面掉线连技术完成度都不达标....
MoonWingker,看过,力荐,2019-05-19 03:40:49,1049,"一部个人风格独特充满了创新的电影！镜头每一桢都精雕细琢。几乎都是夜戏，所言不虚，各种各样的灯光和布景下夜色绚丽奇幻不可思议。黑帮戏的追逐戏，打斗戏，枪战戏也有导演独特的表现方式。刁亦男在坚持自己的艺术风格实验自己独特的美学和叙事角度。
我喜欢这个故事，纠结的欲望，迷离的爱情，荒诞而又真实的故事，猝不及防的黑色幽默。
周泽农的角色随着故事渐入佳境，在最后的场景里，一头走投无路的野兽对生命最后的贪婪和不舍。如果要用一个词来形容他，就是阴郁。这个颓废，阴沉有些秀气的黑帮分子像奄奄一息的野花，却又时时露出嗜血残忍的生命力。有着野兽的本能，对于生存极度的渴望，最后反而为了人性压制了这种本能。这个角色最终脱离了演员胡歌本身而有了自己的生命。"
十九呀,看过,较差,2019-05-19 00:40:33,665,刁亦男的戏剧经验的套用导致了调度和剪辑的不契合，整个成片有一些drive的调调，大量的灯美设计很不错，摄影也算上乘，但是却被僵硬的调度和柔弱的叙事方式毁了。整体剧作，只有一个词FRAGILE，太易碎，只看到了向作者靠拢的一厢情愿。太断裂，情感毫无连续，在充满刻意的桥段里卖弄自己的把戏。
红胡子椿三十郎,看过,2019-12-06 15:56:44, ,133,整体观感不如《白日焰火》那么有余韵和回味，节奏感也一般，但像这么一部从开头出演职员字幕时就精心设计了各种字幕排列构图、时时刻刻都致力于展现电影领域的“形式即内容”的作品，能出现在内地院线还是很值得高兴。应该给不同欣赏口味的观众提供更多选择，目前的院线片种类还是太单一了，这类片依然太少。发现很多朋友平时会把“形式大于内容”当作贬义来用，其实当一百年前电影真正意义上做到“形式大于内容”的那一刻，它才成为了一种独立的艺术门类。
法兰西胶片,看过,力荐,2019-12-02 09:29:47,397,四星半。黑暗里，一切迷乱的光源都是伪造的。要不是有社会新闻作证，这出“天注定”刁亦男应该都不敢拍。导演太文人，深度怀念着早已在这个时代绝迹的伦理机制和英雄主义，以此反击城市化的肮脏和疯魔，用乔装或身份倒置，嘲讽当代人的信仰错位，莫名换上球衣全场奔跑的胡歌，戴着廉价擎天柱面具的桂纶镁，藏在柜子里就好像那里有后门一样的万茜，假扮摩的但不拉活的廖凡，真的动物园，假的马戏团。整部电影的视听很强，不仅仅是霓虹恶魔，还有幻听质感的音效，墙壁另一边夸大的混音让信息量爆棚，叙事感迅速迈进。以及好久不见的昆汀式诡谲的嗜血，在你身上种一朵伞，喷血浇灌，对于影迷来说是部爽片，过瘾得没心没肺不害臊。其实这片对欧洲来说早习以为常了，但对我们来说跟濒危物种一样，在龙门客栈里吃碗麻酱馄饨，面对疾风吧。
