用户,是否看过,评分,评论时间,有用数,评论
.Hal,看过,很差,2019-09-16 08:57:52,60,調色看得眼疼，風格不在個人接受範圍內。拍了整整兩小時，真的有必要？整片看下來，感覺自己就像最後被困著的三個人一樣，再看下去真的要瘋。
心生,看过,还行,2020-01-02 17:48:12,71,最后20分钟扳回来了一星…
哪吒男,看过,推荐,2019-12-24 00:47:46,177,飞到半空 垂直坠下 就像为了大干一场 憋了七七四十九天 结果牛仔裤太紧 随随便便就蹭射了 又爽又失落 说不清是喜剧还是悲剧
AuKeiJyu,看过,还行,2019-12-23 20:44:22,64,什麼鬼？？我覺得我全程在聽rap。毫無快感可言，如果有，只能是the weeknd出場。
CyniCyniCyniC,看过,力荐,2019-12-21 14:06:36,231,......亚当桑德勒这个角色的作死程度，扔整个电影史里也能排进前五
TWY,看过,推荐,2019-10-13 13:04:15,97,金钱、体育、钻石三点一线，制造130分钟五彩斑斓的无意义，直到最后给你重重一击，萨弗迪兄弟不再带观众漫游纽约的第三世界，而是以钻石区为中心拍了一部模糊了空间，身不由己的作品，只因一切背后仅有虚无，但无论如何，Howie的旅程留下的是使命感，并把这种感觉扩散到它整个人物网络里，在最终形成紧密的联结。
哼哼.floweray,看过,还行,2019-12-21 21:00:02,49,原来钻石就是大自然体内的结石，本质上并没有什么卵用，却可以杀人于无形之中。
Ou,看过,推荐,2019-12-25 01:33:01,92,极限时间空间内的调度，萨弗迪兄弟就是当代斯科塞斯，结合了金融片和动作片的长处。原石和非裔的血肉纽带，靠犹太人和全球贸易重新建立，在宗教式的体育比赛中发挥着似真似假的神秘力量。Howard躺在地上，似笑非笑，像是自己做的钻石娃娃。他相信什么？毕竟连尼克斯戒指都当了。
文森特九六,看过,推荐,2019-12-17 16:44:38,62,三星半。再这么玩儿下去真降不住这兄弟俩。继续接近斯科塞斯（《下班后》）和卡萨维茨（《谋杀地下老板》），甚至走向了《好时光》的反方向，由现代街头的尼古拉斯·雷转为Neo-noir。庞杂线索球团，拓展叙事迷宫，到底值不值得试探每一条线头，见仁见智，但喧闹的奔走必然是容易不耐烦的，谁也不想预见太多次死路。最好的一幕即是桑德勒的最后一搏，分割的空间、反差的人物、追赶的剪辑，三重时空的调度凝练成最纯正的Noir精神，将这出“成功的滋味”彻底逼入永不复还的宿命漩涡，流血喘息着拥抱子弹与毁灭——从未有什么运筹帷幄的失策，都是上天注定的错过。
二货云,看过,还行,2019-12-23 14:58:18,25,3.5，太聒噪了简直魔怔了，亚当桑德勒把嗜赌成命诠释到骨子里了，作死到作家了，结局真是意外
桃桃林林,看过,推荐,2019-12-29 22:34:38,46,情绪上仍然是日非常萨弗迪的，嘈杂的、混乱的、慌张的。以一种焦躁不安的氛围，去浸入角色。但是最后那几下的处理还是厉害，整个故事也提升不少。加内特的客串也是非常大的亮点，让这部电影更加虚实结合，有种神秘的力量在其中。亚当·桑德勒发挥也不错，并试着去变化了自己。
小乙哥,看过,力荐,2019-09-15 11:31:00,63,谁说亚当桑德勒只会演喜剧？人家演剧情片演技也是杠杠的。狼王是亮点
viennavirus,看过,还行,2020-01-14 21:23:12,17,聒噪得让人头疼。
小狐狸穷穷,看过,还行,2019-10-10 07:21:55,6,特别特别cut的一部电影，有昆汀的感觉。看的过程挺难受的，因为粗口太多，然后黑人口音很难懂。但结局很精彩。一个人的幸运石是另一个人的厄运石啊。
zitsunari,看过,推荐,2019-12-26 14:23:24,41,「Oscar is fucking wrong」
饱肚师叔,看过,推荐,2019-12-13 10:37:44,40,影院座无虚席，结尾小高潮让人窒息到无法呼吸，如果在家看会快进的一部电影。
樂啊樂,看过,推荐,2019-12-22 00:53:41,25,4.5，没忍住，看了提前流出DVD版，导演萨弗迪兄弟未来可期，比《好时光》升级了不少，营造了一个迷离的纽约城市和一个疯狂的人物，一块石头和钱引发的故事，看似带来的幸运，最引导向了不幸，都是欲望驱使。几段戏很紧张很抓人，简简单单的剪辑看到心惊肉跳，为主角担心着，一些运镜调度很不错，有些斯科塞斯的影子，桑德勒演技惊人，忘记了他喜剧的一面。不足之处：配乐真的算是躁了一些，很闹，影片的格局可以再大一点，虽然已经做的很好。2019十佳。
时间之葬,看过,推荐,2019-12-24 12:43:51,14,生活是一场豪赌，而你一定会输
徐若风,看过,推荐,2020-02-02 16:59:16,10,萨弗迪兄弟在视听、剧作上都有了更主流、成熟化、精细化的设计，倒反而产生了些许“招安”感。首尾互衔的结晶-身体作为全片的喻指，连带出非洲原石-珠宝行-篮球赛场-拍卖行-犯罪的资本链条，每个环节间都是“赌”这个行为，纽约因而化为一个当代的金钱原始丛林。最终的锁牢与死亡看似突发，却也经历了漫长的人物铺垫而致，是结束电影时强有力的动作。整个片概念挺好的，也是萨弗迪兄弟从主流视角而言目前最成功的一部，但就个人而言，还是比《好时光》差一点。这部面铺得太大，以至到最后一直在表象兜圈子，对全员群像极度狂躁的处理也有点用力过猛。
舌在足矣,看过,力荐,2019-11-30 04:15:44,35,当年来纽约看的第一部新片就是《好时光》，见识到了萨福迪兄弟独树一帜的狂躁。如今制作全面升级，故事也不再聚焦纽约底层，但却延续了亡命之徒的精神。不仅是亚当·桑德勒的生涯最佳，加内特的表现也令人惊喜
