用户,是否看过,评分,评论时间,有用数,评论
二十二岛主,看过,还行,2019-10-11 00:03:31,1747,很重要的是你抱着怎样的预期来看这部李安作品，你又期待在这部电影中看到怎样的李安式表达？预期不同，角度不同，获得的体验自然也不同。具体到我个人来说，也许因为之前对于技术层面已经有所领略，所以这次更多地是想看李安怎样将一个上世纪就能写出来的故事做一些全新的解构，可惜最后呈现的结果还是稍微有些失望的。影片虽然有很多有价值的主题，比如克隆反思、父权挑战、自我对立等，但整体并无什么新鲜感。剧本本身也很拧巴，尤其是养别人的克隆体做儿子，再派他去杀掉本体，这种设定感觉完全不符合逻辑。虽然反派最后强行圆场，但中间的很多细节还是很难说得通，这种时候也只能抛开故事看技术了。技术层面无可挑剔，两个威尔·史密斯的对垒极具真实感，前两场打斗戏的精细度甚至是令人瞠目结舌的。虽然本片平庸，但我仍对李安未来的作品抱有期待。
奇爱博士,看过,推荐,2019-09-27 10:00:23,1813,四星半。《双子杀手》昨天国际评分开分，不是太理想，但我坚持自己对于李安的判断：这部电影的最重要看点，并不在于拍了什么故事，而在于用什么样的方法/技术手段去讲故事。这是关心故事和奇观的观众，通常会忽视的切入点，他们不晓得，安叔要做的，以及怀揣的雄心，其实是要重生一种新的电影语言概念——它可以放置于各种传统商业类型当中，正如《比利林恩中场战事》《双子杀手》和未来的《马尼拉之战》中，并配合道道地地的李安作者风格，比如对父子关系的一贯探索。讲真，想到一种面向未来的电影语言可能由我们华人开创，我是激动的——戈达尔说，电影始于格里菲斯，终结于阿巴斯。安叔要做的，就是当21世纪的格里菲斯。
冰镇西瓜橘子水,看过,还行,2019-10-12 07:58:27,1433,热评里那一大段五星好评看的我都脸红 安叔这次确实是失手了 如果说比利林恩算讲了个好故事 那双子杀手真的不及格 剧情老套 动作场面算流畅 但是文戏太糟糕靠动作戏也补不回来了 希望早日回归华语电影 太想看到安叔拍华语电影了
Ajolote,看过,还行,2019-10-11 04:59:37,1098,哇靠这个炫技，真假史密斯的打架CG都不说了，这是一部三分之二的时间里都是弱光场景的3D电影，它不仅有120帧、甚至还有慢镜头的120帧（但整个荷兰也没有一块4K 120帧银幕，我看的只是2K 60帧。有些场景十分惊艳，例如大范围的海水、此刻尽丝滑的高速动作戏乃至摩托车上的第一人称视角镜头，令人感叹科技真的拓展了影像语言的可能性。只是这种新颖的表达的效果还十分有限，剧本和台词与其说是意料之中的烂（父子关系的内核还行），倒更有可能是对技术野心做出的妥协吧。
-,看过,推荐,2019-10-11 16:50:28,1123,明明是和自己的克隆人对话，但却处处都像是在跟自己的儿子对话。更深一层是，李安打通了故事层面和技术层面的“创造”。影片开头的高速火车狙击戏，威尔史密斯要在高速运动的无数窗户中射击某一个窗户，这就是李安自己面对每秒120帧的任务。故事中的人创造了克隆人，恐惧克隆人，接受克隆人，与此同时李安也在面对电影行业的“克隆人”。
亵渎电影,看过,推荐,2019-09-27 09:03:42,1114,不管什么样的故事，只要到了李安导演手里，都会变成李安的故事，这次讲的是“每个人都希望有再年轻一次的机会”，李安对电影整体的节奏掌控又是教科书级别！导演这次的野心不在故事上，而是继续在探索高清数字电影未来的某种可能性上，心思在新技术的尝试上，再次使用了120帧、4K、3D的高规格，和传统电影完全不一样的拍法，动作戏、摄影和打光等都有不一样的尝试，拿技术和特效为叙事服务，不是用技术打造夸张的视觉奇观，而是反其道而行之，用技术让画面更真实，细腻，有沉浸式的体验，让观众的眼睛看不出那是烧了钱的特效。把技术当作上帝的双手，用动作捕捉技术和CG特效再造了一个“23岁的威尔·史密斯”，这个全CG的角色绝对是一座崭新的好莱坞特效角色的里程碑，明年奥斯卡最佳视觉效果奖稳了！
影志,看过,推荐,2019-10-10 20:43:26,1048,加入“每个人与自我关系的困惑”、李安一直以来“父子关系的探讨”，以及120帧/60帧全程逼真和爽快的观影体验，这就不是一部普通的动作科幻片。《比利·林恩》打开了一扇门，一部分人进来了，然而技术革新并未就此普及。《双子杀手》将让更多的人踏进去，切实感受高帧带来的观影体验，进入一个从未有过的全新电影世界。在技术手段已登峰造极的今天，安叔依然能走在前沿，一次次刷新我们的观影习惯，这已经不是在看电影了，而是彻底的融入电影。
掉线,看过,还行,2019-10-18 02:26:53,914,【C】真的，身为李安粉我都不知道这片有什么值得吹的，克隆人伦理问题讨论的很深入吗？无非科幻作品老调常谈那一套。父子关系映射很有水平吗？建议您重看李安的父亲三部曲。一个连女主角都无比空洞完全工具化人物的电影（那位被炸死怒领便当的更滑稽），咱就别夸文戏了成吗？当然片子是有创新的，动作场面在高帧率形式下有了完全不一样的视觉体验，李安也特意设计了很多镜头去凸显它。但这些也就15%，剩下85%都在故作深沉，却也没深沉出什么东西。如同一位肌肉帅哥在软件上向你发来邀请，你兴冲冲得赶去酒店，结果人说其实我想找人聊聊文学，你说那好吧聊文学也可以，结果肌肉男从背后拿出一本《小时代》。大概是动作片都太无脑儿，李安拍了个中学生思辨水平的都被部分人吹上天来
桃桃林林,看过,还行,2019-10-19 16:30:42,245,实际上，评价的差异，主要源自大家的着眼点。如果从技术角度，影像探索，电影语言说，这确实是想要往前再走一步的新电影。但是，从剧情本身，这就是一个无趣、老套、甚至被有意弱化了剧情的常规动作片。大家偏向哪一边，给出的评价自然各自不同。至于我，很爱李安导演，也很尊重他的探索精神。但刷了两遍《双子杀手》，还是喜欢不来。
陆支羽,看过,还行,2019-10-18 02:56:24,140,3.5。我只想说，已然开始感叹自己老了的李安，为何要把这几年如此宝贵的时间浪费在拍这种电影上面呢？即便他真的是尽力把一部别的导演拍可能只有两星的电影拍到了四星水平。
