用户,是否看过,评分,评论时间,有用数,评论
蒜 | BOY A✎,看过,还行,2019-10-26 18:18:27,89,片名和海报是败笔，完全跟影片气质不搭，至少损失三成票房。小市民/黑色幽默/都市喜剧，发现这三种类型的电影特别适合在重庆拍，山城人民爽快耿直，魔幻的地理构造，四川方言天生喜感，这三样稳住基本上就可以奠定坚实的基础。影片最大的成功是重新塑造了柳岩，发现她居然有点李嘉欣和张柏芝的混合美感，算是一个惊喜吧
时间之葬,看过,还行,2019-11-07 22:05:20,69,虽然大鹏的妆和柳岩的舞，多少都有那么点用力过猛的假，故事的逻辑也多少有那么点无法忽视的bug（其中最关键的一点，应该是岳淼淼这样一个久经沙场又高度物质的老手，为何能如此轻易地被潦倒老实的大海骗婚），但还是要佩服宁浩的眼光，也要肯定导演的完成度。在大部分时间里，这出简单的“骗婚记”的确捕捉到了这个时代的人物质感，对大海内心的几度拷问，力道也恰到好处，而柳岩那看似不真实却极度真实的塑料口音，更是刺中了这个网络时代虚假矫饰的本质
S,看过,还行,2019-11-08 22:09:20,42,大鹏太奇妙了 演的每部电影的角色都是生活中我厌恶的男性形象
团小纸,看过,推荐,2019-11-03 22:53:50,42,虽然大鹏自嘲这是部《中年的你》，但新导演带着原创故事，演员也有新挑战，坏猴子和中国市场已经可以给出这种环境了，总归是值得鼓励的！本子我还是喜欢的，虽然哭点和笑点都不正，但爱情点是及格的，只是男性视角里的女主还是过于理想化了。
不良生,看过,还行,2019-12-26 14:45:28,47,世间并无岳淼淼，遍地皆是钟振江。
冷杉,看过,推荐,2019-11-04 22:21:31,26,标准犯罪喜剧吧。申奥的第一部院线长片，很成熟，坏猴子这批青年导演都非常厉害啊。摄影不花巧，几场追逐戏拍的好，小巷追逐那场不像是斯坦尼康，用飞猫追的？夜戏用光很扎实，视觉质感很像《火锅英雄》，肯定也有美术的功劳。那个霓虹灯招牌不错，网吧内景过于高，大，不太好控制，好在够逼真，密度和感觉都很对。剧本很巧，但是三个主要人物缺乏情感连接，吴海为什么要和钟振江交好，吴海和岳淼淼的感情到底是不是真的。可能宁浩有参与意见，至少最后处理汽车和房本的那段戏很像石头和赛车，这种处理麦高芬的手法很像。如果没猜错的话，这个剧本人物设计是对着演员写的，岳淼淼是柳岩没变，钟振江可能是王迅，而吴海原扮演者应该是黄渤。看现在这个预算水平，肯定是付不起那两位的片酬啦。
frozenmoon,看过,还行,2019-11-09 15:05:25,42,就是那种温温吞吞的东西。现在这样的风格已经成为国产院线中型故事片的基本范式了。有一点悬疑铺底，一点山寨的多线性叙事（通常还多线不起来），安排几个肚子里有点坏水但本质是好人的小人物做主角，弄个真坏人做反派，安插一些欲扬先抑的所谓人性黑暗，最后等着铺面而来的温暖光明和团圆。说实话，能做到这几点，并且故事合理，演技在线的国产院线片也都不多了。从这些标准出发去看这故事肯定及格了，更何况还得考虑外部环境的限制，但是它真的做不到它想呈现的那种凌厉。
妍春,看过,还行,2019-11-07 21:54:38,65,又是那种/开头中国电影希望/三十分钟脱力如脱肛/的影片。宁浩的给力与大鹏的努力仅停留在浅尝辄止，柳岩则全程失力、负分表现，惊喜是张子贤颇有点倪大红相貌、身段、气势的表演，摄像剪辑则过于程式化。段子式的独立场景拼接，半抄袭半致敬的高潮处理（火锅店像的士速递4、a计划，床底神似爱情呼叫转移，片尾海滩戏强拧西部片的配乐是认真的？？），恶劣人性剧本遇上xjb煽情、xjb喜剧、xjb正能量，影片的编剧基本盘已经失去了支撑性，空余一个假震慑实教育的壳子。想必是害怕遇上《天国与地狱》上映后的现象，可也应了赵丹的话“管得太具体，文艺没希望”。
隐,看过,推荐,2019-10-24 19:56:47,24,坏猴子旗下的新人还是靠谱的，类型片的完成度和成熟度都不错，有幽默感，没有新人常见用力过猛与过于刻意的编造痕迹问题。好像是第一次看到电影里有湖南普通话，柳岩饰演的网络女主播有趣、有情，难得看到电影拍直播与女主播不尬的，导演到底是年轻人，没有用猎奇的视角去演示这种实际上也是普通人的角色。
木卫二,看过,较差,2019-11-03 11:53:16,546,本该是三个骗子互相拆台的一出好戏，变成了两个傻子在一个骗子的疯狂摆布下，不得不演上一出“老婆老婆我爱你”的苦情戏。
无耻不混蛋,看过,推荐,2019-11-09 00:03:08,6,影片剧本扎实，节奏感极强，最大亮点是三位主演的表演。大鹏堪称“换脸式的演技”，透过银幕都能切实感受到，他的真诚与用心。张子贤，相对陌生，相信电影上映后，所有观众都会记住他的名字。最惊艳的是柳岩，从这一部起，我们终于可以说“柳岩是位好演员”，直播卸妆及吃辣椒大赛的戏，让人无比动容。也因此，我信了这个直播网红女爱上贫穷鳏夫的故事：他或许，是她孤独生命中最后的温柔与浪漫。
