用户,是否看过,评分,评论时间,有用数,评论
非编码Postdoc,看过,力荐,2019-12-27 09:26:44,173,终于看到了贺岁片了！笑点太密集了！笑哭了！细节太棒了！仿佛就是真人版will！荷兰弟的人设也太可爱了，一个用韩剧下中餐外卖的nerd
蒙莎,看过,推荐,2020-01-03 19:30:42,285,沃尔特坐在兰斯的大腿上………………？？？？？？
Maxine,看过,还行,2020-01-03 22:16:13,286,荷兰弟大战无人机，这个梗是过不去了
桃桃林林,看过,还行,2019-12-25 13:15:17,108,7，还挺好笑的。剧情是比较套路的特工娱乐片，一个强大且自恋的特工与一个聪明的技术宅的组合，而两个人的共通之处在于，他们都有些孤独。变鸽子之后，有不少有趣的梗。韩剧梗还是很搞笑的。史皇与荷兰弟的配音也都很符合职业套路。总之，作为一部娱乐片，还是可以的。
同志亦凡人中文站,看过,推荐,2020-01-01 10:21:31,250,黑科技改变世界。蓝天工作室还是擅长搞日常小动物的，比如说冰河世纪的松鼠又比如说这部的飞鸽。荷兰弟坐史皇大腿上演韩剧，对着动画我脑补了一下真人233333
钾碳铀氟,看过,推荐,2019-12-27 22:57:38,163,应该是这一整年内娱乐性最高的片了，从设定到角色、配音、情节、段子几乎浑然天成，全方位的有趣好玩。会下蛋的威尔史密斯，角色魅力丝毫不输灯神，圈粉到有些过分。stay weird的主题虽然挖掘不深但还是相当温暖（建议举办作家观影团，再鸽就逼他变鸽）
凹凸,看过,推荐,2020-01-05 20:29:25,135,史皇一年演了两部双子杀手 荷兰弟一年演了两部老少恋同志片
rosaline1995,看过,力荐,2019-12-28 13:00:04,98,"去之前我是拒绝的，甚至想为了逼格为了梅姨看个我不太感兴趣的《小妇人》。看完就感觉：真香！爽！太爽了！打戏的动画做得行云流水我简直边看边流口水，这得是啥样的想象力和动画技术才能把想象这么完美地表现出来啊…画面又美又流畅，笑点密集，角色的肢体和表情就足够逾越语言的障碍把剧情流畅完整地表达出来。有好多名词其实我压根儿没听懂，一些台词我也get不到在说啥，但就是好好笑啊！真的特别有意思！角色画得和Will Smith非常非常贴，甚至觉得就是主演真人在演，帅！安利！
看到电影后半段主角大功告成躺在草坪上的一幕，我突然想到，如果我要是高考前看了这部片子，恐怕就不至于对着“团结”的作文主题脑袋空空了吧……跑偏的往事啊。"
凌睿,看过,还行,2020-01-04 08:32:38,102,"和《冰河世纪》后面几部是同样的问题，完全是靠段子和笑点拼凑而成。剧本不够，笑点来凑。
从头到尾都在逗你笑，必然会有几个地方让你真的觉得好笑，但剩下的就很无聊了。
比如前后两次投影出猫来制服敌人，让人觉得很尴尬，很低幼。
很多人吐槽《银河护卫队》星爵通过尬舞打败罗南，但和本片相比都能算严肃题材了。
还有大决战时沃尔特的各种小发明也太儿戏了，这些更像是幼儿园小朋友的玩具，不像是用来对付恐怖分子的武器。
兰斯都遭到追杀了，形势那么危急，沃尔特还阻止他攻击别人，叫他不要伤人，这种思想也太圣母了。
对敌人仁慈，就是对自己残忍。
观众看的就是特工和反派的精彩打斗，就像电影开头那种以一当十。这个时候你突然说“不要杀人，要温柔和爱”，这不是很KY吗。
归根结底这部电影的定位就是面向小朋友，不适合成人看。"
小光酱,看过,推荐,2019-12-26 05:31:12,127,笑点密集要素丰富老梗新玩，非常适合假期放松观看(顺便吃中餐外卖看韩剧这个梗真是笑中带泪…
