用户,是否看过,评分,评论时间,有用数,评论
OCT IO≯,看过,还行,2019-12-14 17:51:25,2369,一杯白开水……
王大根,看过,较差,2019-12-19 22:26:32,2214,从前的日子慢，从前的日子好，从前的女人知道自己活不长也还是愿意跟着老公在偏僻小镇开十五年中餐馆。女主角自己的愿望呢？也就是看个鲸鱼吧，你们又不是住在撒哈拉是住在新西兰，愣是得把女主熬死了才抱着骨灰坛去看，边撒骨灰还边感动上了，她到死，到死都没有看上鲸鱼好吗？？？中老年男人还在缅怀从前“相濡以沫的爱情”，但不好意思，当代女性想要的是大江和大海
是我刀马旦,看过,力荐,2019-12-20 02:26:26,1501,不是很明白为什么这么多差评，可能剧情不够对人口味就给一星两星，每一秒平淡的叙述都不是多余的，烂片多才显示出冯小刚的功底，自己做不到就说故事假，根据真人故事改编看不见？感觉有点可惜
凹凸,看过,2019-12-14 17:18:58, ,669,很负责任地告诉大家，身为我司客户，新西兰旅游局并没有赞助这片子。
蒜 | BOY A✎,看过,推荐,2019-12-08 17:50:29,1785,这将是一部备受争议的爱情电影，如果你还相信纯真的爱情，影片将把你带到一个远离尘嚣的世界，体验心底的渴望。这也是一部极度私人化的电影，我们在这个强烈需要爱与安全感的现实世界，往往最容易迷失方向，电影会让你的泪从心里流出来，而不是脸上，“心脏周围是没有神经的”，它往往最容易受伤，而且难以察觉。这部电影会击中你最敏感的地方，当然你得先卸下内心的防御，让理性和逻辑休息一下，感受自己温暖的内心。原来它充满了渴望与力量，看电影的时候一直都在想你，“我想要的安全感从来都不是钱和房子，我想要的只是你”
Chaall,看过,还行,2019-12-08 20:28:25,379,就，很单纯很纯粹的平庸
二十二岛主,看过,推荐,2019-12-15 11:01:54,1428,前半段看似平淡，但情绪积累起来到了后面才会发现之前的每一幕都是具有力量的。体会隋东风与罗芸的爱情，需要一些人生阅历，也需要一些对于爱情的感悟。只要全身心投入到这个故事里的人就会有强烈的共鸣，并相信他拍的就是我们的生活。在这个年纪，冯小刚回到了他最初拍电影时的初心，只是单纯地想讲好一个能打动人的故事，没有那么大的野心了，这是件好事。有机会真的很想去新西兰看看。
亵渎电影,看过,较差,2019-12-18 19:26:26,1091,“比悲伤更悲伤的故事2”，冯小刚导演竟然拍了一部癌症死的纯爱片，虽然是真实事件改编，但创作的角度也够low的，编剧把故事写的毫无生活感，一段相濡以沫的爱情被中年人怀旧视角和中产阶级审美提纯成了明信片，上面写满了心灵鸡汤和人生感言，单薄空洞像一朵塑料花，简直就是新西兰旅游宣传片，而且全程配乐超负荷滥用，有多煽情就有多矫情。片子都这么矫情了，你不哭还是人吗？
坏牧羊人,看过,力荐,2019-12-17 21:50:12,651,这是一部温暖的电影，我想和最爱的人再看一次，虽然我知道他会拒绝，我也好想告诉他，我爱你❤️ 很流畅应该也想做笑中带泪的效果吧，喜剧的效果被隐了，这样柔情和百转千回，我们要一直不断地克服恐惧，面对死亡和离别，看到blue的每一秒，都想哭 黄轩的表现还是那么棒👍
西帕克,看过,推荐,2019-12-19 23:30:22,724,冯小刚的“归园田居”，拍的也是他向往的生活与爱情。不可避免有一些纯爱片的套路，但冯导开篇即明义，邀请你静下心来，慢慢走完一场追忆之旅。与其说是一生只够爱一个人，不如说是一生只够懂一个人。随着倒叙的展开，曾经的“不懂”，也更充满淡淡的遗憾。去除冲突，描绘真实，这样的创作心态，让人尊敬。
