用户,是否看过,评分,评论时间,有用数,评论
乌鸦火堂,看过,还行,2019-12-20 12:03:53,2262,到此为止吧，已经是为赋新词强说愁。模式照搬叶问2，情节粗放+强行收尾，编不下去了一场打斗全都解决了，港片通病。又把个人强弱上升到阶级层面，但观点很割裂，一方面练武是要与啦啦队同台表演，另一方面还要代表民族分出胜负，这不是闹呢，感觉这是编导的高级黑。动作场面依然是最大看点，叶伟信调动观众情绪的功力十足，让几场对决热血贲张，观感起码不错。PS，李小龙的角色是客串，但在故事层面上是错位的，依照情节安排，最终一战应该小龙哥上才对
法兰西胶片,看过,还行,2019-12-20 21:55:50,1451,先说喜欢的四场打戏。1、受伤的叶问用揪耳、掐鼻、拍屁股三招稳如泰山地教育不良少年，很前辈，很大家；2、李小龙右手前伸控制敌人攻击距离，左手从右腋下向身后顺势接住对方抡空的双截棍，右手此刻再化拳弹开对手，酷炫夺棍达成；3、叶问和万师父比武，走的是《精武英雄》风的击打回合制（《功夫之王》也是），分不出胜负，突然旧金山发生大地震，两大武林宗师狼狈躲进桌下，切磋结束，都是凡人而已；4、终极对决，叶问左臂、肋骨均受重创，看上去他快被打死了，不得不用败形脚连续踢对方要害，解围后用标指刺喉，天呐，不可能再有宗师功夫片这么拍了。虽然角色古怪逻辑（吴建豪）、民族主义脸谱和《叶问2》套路都是扣分项，但，对我而言，真的，及格了。
桃桃林林,看过,还行,2019-12-23 13:04:52,1074,硬桥硬马，一通乱打，动作戏还是好看的。也是要跳出背景来看，要不叶问的年纪似乎有点大啊。以及，看这片的感觉是：整个中华武林，除了叶问之外，没一个能打的，也是很心寒了。
舒小简,看过,力荐,2019-12-20 13:01:34,5585,"许《好莱坞往事》美国人打李小龙，就不许《叶问4》叶问去打美国人吗？？
豆瓣er是怎么了？
“叶问是练武之人，遇到不公义的事情，一定要站出来。”
这句台词真让人听了血热。"
KellyWu凯利吴,看过,力荐,2019-12-20 02:53:31,1302,"（90/100）年度最佳动作片，年度前十预订。也许剧情单薄，人物行为逻辑生硬缺乏说服力，但仅仅凭借打戏和最后打木桩的闪回镜头，个人觉得绝对值五星。
最精彩的三段打戏，来自李小龙教训洋人，叶问擂台挑战空手道师傅，叶问与海军陆战队的最终决战。呈现出三种截然不同的风格，李小龙贯彻天下武功唯快不破的截拳道理论，阿金斯饰演的军官大开大合空手道结合收放自如的旋风腿，绝对是动作片里一道特别靓丽的风景线，叶问则是一边见招拆招，一边寻找对方攻击的空隙，利用快准狠的标指和日字冲拳，重新诠释咏春拳即杀人拳的真谛。
这是甄子丹最后一部古装功夫片，不得不承认的事实就是，丹爷真的老了，功夫片也老了，丹爷带着叶问4就像天边划过的一颗流星，虽然短暂，但也足够璀璨。伴随着叶问系列的终结，功夫片也该寿终正寝，逐渐地消失在人们的视野中去"
天下无狗,看过,推荐,2019-12-20 12:58:16,3759,珍惜吧，以后拍功夫片的人越来越少。虽然故事和第二部有点雷同，但不错了，李小龙的打戏加分
蓦兰,看过,还行,2019-12-20 02:16:48,595,叶问：能打败我的只有疾病！
cccddw,看过,推荐,2019-12-17 22:10:05,2615,"出乎意料的好看，特别是打戏，拳拳到肉，很过瘾。

剧情也比预期的好，返璞归真了，没有太夸张的剧情。按照之前的套路，本来以为这集会越编越离谱的。

父子线的感情戏也处理得挺好，最后一场电话戏还挺感人的。

结尾小彩蛋（对前三部的闪回）同样加分不少。

最后，叶问毫无疑问就是甄子丹最好的角色。"
家辉猫789,看过,推荐,2019-12-19 23:29:50,1804,全片没什么尿点，相对前面三部激情多了很多，打斗不断，开场直接开始燃，一直高潮不断，李小龙跳出来的时候后面赛博朋克的色调让我眼前一亮，最后在说出自己有癌症的时候让我泪目，煽情时间不长，不脱节奏，整部片很饱满，感谢一代宗师。
麻绳,看过,还行,2019-12-20 15:51:00,145,纯粹的民族情绪出气筒，无缘无故的仇恨，反正就是不打不舒服斯基。黑人反歧视靠斗争靠运动，华人反歧视靠打架，这是自黑吗？动作设计还凑合，反正就是一帮饭桶衬托一个叶问。功夫片这个濒死的片种，看一部少一部了，烧个香，多打一星。
