用户,是否看过,评分,评论时间,有用数,评论
凹凸,看过,推荐,2019-07-18 21:38:41,25688,邓超救不起这暑期档，哪吒可以。
⎝丁凯乐⎠,看过,力荐,2019-07-16 13:43:25,30741,"实名反对最赞说烂片的评论，这是人类无法逃脱的真香定律！
看完觉得不值票钱可以来快乐星球砍我！"
凌睿,看过,推荐,2019-07-18 13:53:20,24275,"看到海报和预告片，人们第一反应就是：哪吒太丑了。
觉得丑就对了，因为本片讲的就是打破偏见。
正如很多人一看这是国漫，就不看了；或者去看了，看了觉得还不错也要自动先扣20分。
电影之中，骂哪吒是政治正确，只要你说哪吒是妖怪，就会有人跟着说；
电影之外，骂国产片、国漫也成了政治正确，只要你骂它，就会有人给你点赞。
其实哪吒不是妖怪，他也想降妖除魔洗清骂名；
国漫也不都是烂片，也有人想拍一部佳作证明自己。
比如这部《哪吒》。
山河社稷图一幕真是天马行空，震撼无比，将曾经只存在于想象中的物品具象化，也将中国神话的无穷想象力展现得淋漓尽致。
那些耳熟能详的故事，不再只是故事，而是能看到，能听到，能享受一场视觉盛宴。
今年有《哪吒》，明年有《姜子牙》，封神电影宇宙即将开启。
是时候以电影的形式让中国文化走向世界了。"
嘟嘟熊之父,看过,力荐,2019-07-13 17:17:05,19734,卧槽居然看哭了，这才是货真价实的国漫新希望，终于不再是假大空的中国风堆砌，而开始借神话寓言塑造真正的“小人物”。背负原罪的出身，命中注定的死期，对存在的笃定和身份的动摇，竟指向《刺客聂隐娘》的内核：一个人，没有同类。完整的世界观构建，父子母子师徒兄弟友敌，每一段关系都处理的有血有肉全无敷衍。美术剪辑配乐动作设计，处处都是亮点，就连喜剧部分也绝非装疯卖傻而存在无数细节作为支撑。海边夕阳踢毽和社稷图虚幻仙境两部分堪称绝美段落，飞驰想象力和一流制作实力的结合，值得一刷再刷。严格说是四星电影，但愿意加满五星狂推鼓励！
天马星,看过,力荐,2019-07-14 18:12:22,15549,年度最佳动画，不，年度最佳影片，剧作上的成熟应该让同档期的《狮子王》跪下来叫爸爸，起承转合水到渠成且饱含情感力量，这种成熟度不管是在动画这种形式里还是脱离动画都值得所有国产商业电影学习。整部影片看下来，在形式上非常现代化，包括笑点台词都贴近现代网络化的生活，是谓形散，但是影片把握住了哪吒这个神话人物的内在精神：我命由我不由天，并且自始至终都贯彻下去，是谓神不散，包括反派敖丙及申公豹都人物弧光饱满，在非我族类其心必异的人类世界里，《哪吒之魔童降世》是为所有异类书写的颂歌，这部片子就如同蔡依林在金曲奖上说的：献给那些曾经认为自己没有任何机会与选择的你，请你一定要记得选择你自己，支持你自己。
谢谢你们的鱼,看过,力荐,2019-07-17 21:22:38,10793,牛逼！牛逼！牛逼！4年前翻着白眼看完了《大圣归来》，4年后热泪盈眶地看完这部《哪吒之魔童降世》。没想到2019不仅仅是中国科幻大片元年，本片更是和《白蛇：缘起》一块儿创造了国产动漫作品前所未有的高潮。扎实的故事，生动的角色，饱满的情绪，炸裂的场面，这一切都构成了110分钟云霄飞车式的、畅快淋漓的观影体验，表面上是哪吒的传奇，骨子里面是《绝代双骄》+《悟空传》，毁天灭地的逆天气势更是燃破天际，好一曲震撼人心的“冰与火之歌”！都给老子去看！
亵渎电影,看过,推荐,2019-07-13 23:20:07,11400,技术上还是当下国产动画电影的水准，但在剧作的完成度上，却是第一次这么成熟，这么优秀！以前大圣大鱼或者白蛇这些剧本有先天缺陷的庸常之辈，都被称作是国产动画电影的良心之作，直到这部哪吒，才算是做到了剧本层面上的优秀，兼顾了喜剧元素和主题深度，还为之后的封神宇宙开了一个好头，大家以后可以忘掉大圣了。导演把哪吒的故事做了颠覆性的改编，逆天改命的主题在哪吒身上爆发了耀眼的人物弧光，最后哪吒直接对着电影院里的观众说，今天是我生日宴，你们谁都不准哭，这一刻的泪点实在是太可怕了。第一次给国产动画做自来水，在这个萧条的暑期档，这部肯定会是爆款。
阿珂,看过,推荐,2019-07-19 11:38:43,6538,这个夏天还有比“藕饼”cp更火的吗？
明安,看过,推荐,2019-07-28 22:05:56,3609,“所有龙把鳞片扣下来的时候，我真的感觉敖丙压力太大了。”“我们全村可就指望你一个人去考大学了啊，一定要上清华啊。”“就算把其他报清华的人都杀掉你也一定要考上啊！”
徐若风,看过,推荐,2019-07-18 21:23:14,3775,客观上的确是目前国产三维动画中的最佳。和年初的《白蛇》一道，富足想象力之下的经典魔改，在人物、情节和视听呈现上都冲着一股劲。不夸张地说，这部作品在今年全球范围动画中比，都可以排到最前列。但还是有些遗憾，双生的概念没有做得更加复杂深刻、部分低俗笑料虽有趣但跳线。可能是我期待太高了。
掉线,看过,推荐,2019-07-18 22:55:23,2002,【B】这才叫真正的国漫崛起！美术，制作，人物塑造，立意都比大圣归来更好。最重要的是你真的能感觉到创作者不故步自封的力求突破，也终于在国漫里看到了一直缺少的“想象力”存在（虽然只是在场景，物件设定上这些较为基础的部分，但未必不是个好的开始），缺点是整体风格略显杂糅，笑点像港式无厘头，战斗场面像日漫，有的地方又有仙侠和好莱坞动画的影子，但最后个效果居然不错，而且对于仍处于摸索阶段的国产动画来说这完全能理解。另外，一个动画片的父子情都比隔壁《银河补习班》更真实动人，邓超和俞白眉请出来挨打。
居无间,看过,力荐,2019-07-13 20:52:13,9933,牛逼了！没想到国产动画能把故事内核写得这么成熟，远超《大圣归来》。好几场戏被震撼到，必须五星鼓励了。将“水淹陈塘关”的故事元素打碎了重构，人设和剧情完全依照阴阳哲学来做。太极生两仪，混元珠分为魔丸（火）和灵珠（水）。太乙真人与申公豹，哪吒与敖丙，皆是一体双生。命运的偏离带来了秩序的倒错，于是，善与恶的边界变得越加复杂起来，耐人寻味。每个主要角色都带着宿命感，向死而生，阴阳相合打破命运。哪吒形象很颠覆，华语电影里也是难得一见，最重要的反叛精神立住了。导演想击打全龄观众，而那些嬉笑段落在关键时刻也催生出了悲情，让人泪目。高潮部分的场面戏够燃够磅礴，而且情绪饱满。以后再出国产动画，都将和它比较。
影志,看过,力荐,2019-07-14 21:19:36,7008,“不成，功变成仁”、《神仙的自我修养》、“申公公”、内服外敷效果都一样的解药…前面快笑死；指点江山笔、英气的敖丙、猪鼻子倒带器…中间各种神来之笔；“人心的偏见是座大山，你是谁只有你自己才说了算”、父母面前的生离死别…结尾又被感动得一把老泪。老妈的性格更立体，老爸李靖对哪吒说你的真实身份其实是…时，生怕他说出个“蛋”，这是这部毫不正经却又硬气热血至死的片子能干出来的事。集丧逼和燃于一身，在哪吒面前，没人帅的起来！锁定今年最佳国产动画。
