用户,是否看过,评分,评论时间,有用数,评论
松果果,看过,力荐,2019-09-14 06:56:46,1311,我老公在这里面跑了龙套！！他是国王来的时候面目不清的升旗手哈哈哈哈哈哈
梓然,看过,还行,2019-12-03 02:34:56,1131,麦格教授和乌姆里奇完成了历史性的和解！
芦哲峰,看过,推荐,2019-12-07 07:39:39,932,皆大欢喜版的英伦红楼梦，虽说皆大欢喜，但一想到再过几年，二战就要来了，还是挺为他们担心的（我真是咸吃萝卜淡操心啊）。
不良生,看过,推荐,2019-11-29 19:41:44,881,所有人都找到了河流的入口。我们也都过上了后来的生活。日子就这样一页一页翻了篇下去。
The 星星,看过,推荐,2019-11-30 15:07:36,523,这回真的是单身的只剩狗了
Luna,看过,推荐,2019-09-13 22:30:19,506,四星全部给多年的感情。剧情真的是又平又cliche了。但是downton abbey真的让人觉得尽管全世界都在越来越人性化越简洁，但是有一些传统与沉淀下来的美，还是那么美
peter,看过,力荐,2019-09-12 18:47:21,862,Tom命怎么那么好啊
把噗,看过,推荐,2019-11-28 10:33:01,392,老粉抹泪，三小姐和大表哥真的不能复活了吗？
打少,看过,推荐,2019-09-12 23:15:04,243,强行塞糖依旧甜
Jue,看过,推荐,2019-12-05 00:58:55,242,看这个电影的感觉就像一个很好的朋友叫你去她家玩，你没有任何期望，因为知道和她一起会有good time. 果然，你们渡过了一个平平无奇的夜晚，但这有什么关系呢？你们还是很好的朋友呀！
钱串子,看过,力荐,2019-09-13 23:51:20,556,一场巨大的Happy Ending，每一个人都找到了爱情or归属，包括托马斯。真的看的人感觉好柔软。但是老夫人和大小姐的那段对话看的我差点泪洒电影院。虽然知道生老病死是人之常情，可我仍旧不想面对任何的道别，即使是在一段故事里也是。不要再拍了，我都差不多知道如果继续下去下一次的故事会有一场告别。不过无论如何Downton will always be standing.
沉因,看过,推荐,2019-09-16 16:05:40,173,极宴娱心意，戚戚何所迫。
萌禽,看过,还行,2019-09-22 06:40:27,610,我的确不能接受阶层的不平等。茶会、晚宴、舞会是上层人士的特权，下层人民永远在忙忙碌碌。看着两队仆人为了伺候主人勾心斗角，好讽刺啊。本来唯一让我眼前一亮的那个把遗产留给女仆的太太，结果真相大白女仆其实是自己的私生女，大失所望。
唐玉小业,看过,推荐,2019-12-01 11:47:05,161,终于在这里补上了贾府接驾。
phoebe,看过,还行,2019-10-20 11:42:42,600,"故事情节是:因为王室来省亲，林之孝能力不足，所以敏Mary快刀除宿弊,去请赖大重新出山。接着尴尬人难免尴尬事，勇Tom速破刺杀局，懦伊迪不问夫君事，老太太异兆发悲音……（我编不出来了）"
贱草,看过,2019-09-22 12:38:47, ,141,这种粉丝片就不参与打分了。但这确实是电视剧大电影的正确拍法—通过一场突发事件多年后给剧中所有主要角色一个各得其所的交待。
巨米雨,看过,推荐,2019-10-03 17:03:52,121,唐顿的好就在于展现了人性中的力量和道德准则，我们需要它的屹立是需要普世价值的闪耀。
飞翔的茶壶,看过,推荐,2019-09-26 06:18:54,106,二小姐丰满了之后真的美，粉雕玉砌的漂亮人儿，大小姐的着装好优雅，短发很适合她。摒除一些诸如“仆人们难道就没有一秒钟考虑过反抗自己生来即为仆的命运吗”的无产阶级思路，片子还是很养眼的。同性拥吻场景让影院里的观众纷纷基动了一把。结局不知道是烟雾弹还是演员退场的预示……longlive the grandma，老太太要健康啊~
doskevin,看过,力荐,2019-09-13 13:22:32,390,Barrow 曾经是我在唐顿庄园里面很不喜欢的角色，因为他阴毒冷漠。从第四季起编剧开始加大Borrow的篇幅开始展现他与常人相同的感情，甚至他的脆弱与卑微。电影版里Borrow动情拥吻的时候，那种内心对于亲密情感的期待如同命运感召一般崩发出来。我觉得这就是唐顿庄园，或者编剧Julian的厉害之处，因为他总是在诉说着人与人之间的相爱，互助，信任，支持与理解。
