用户,是否看过,评分,评论时间,有用数,评论
哪吒男,看过,还行,2020-02-07 20:04:46,201,站在神坛就是圣人，身在牢狱就是恶鬼，身份是人的原罪。
话匣子老霍,看过,还行,2020-02-03 11:22:46,71,Daniel的眼睛时而像无辜的小鹿、时而像虚脱的毒鬼、时而像虔诚的孩子；宗教不在于你被谁拯救而是你自己能不能拯救你自己
小月,看过,推荐,2020-02-06 13:50:03,47,竟然是真实事件改编。一开始想到了2017年的冒牌上尉，但后来剧情的发展更多展现了一个更接地气的“神父”，其实他的做法更接近一个善良的少年的所作所为，与宗教无关。而更加人性化恰恰应该是神应对人类宽恕的吧。一个犯过错的人，我们是否该原谅，是否能原谅，这是个无解的问题，因为一个人的发展谁都不能预料。清冷的天色和这样一个闭塞的小镇真的容易制造出惊悚的白色恐怖气氛。男主角的眼睛特别有神，外貌很有特征，这已具备一名成功演员的潜质。
徐若风,看过,推荐,2020-02-09 15:24:19,35,强设定现实主义、激烈的宗教议题设置，能保证冲突一波三折停不下来。但剧本纵深度不足，拍到最后感觉就是很顺溜地把这些事给拍了，缺乏更上一层的跳板。另外整体有点太依赖于“演技show time”，男主角身份的轮番切换和鲜活的少年感，他的表演宛如一块透亮的多棱镜，几乎撑起并成就了这部电影。
华盛顿樱桃树,看过,推荐,2020-02-06 10:55:49,51,可能是海报选的太好了，观影过程一直在海报所传达的氛围里，哪怕只是那一秒的定格。终要向神依托，但神却不要你。假扮的神父不是恶魔也不是天使，只是芸芸众生的困境，到底回到原点。
梵目,看过,还行,2020-02-08 05:14:36,34,越往后看越明白这电影和宗教根本没有关系，一个人心境、情感、性格的变化，无外乎外部环境的所看所听所知所感，和宗教并无关系，这里的宗教只是一种具象的宣泄。
欢乐分裂,看过,推荐,2020-02-10 17:17:39,23,被忽视的奥外，然而实则实力强劲，波兰学院派的清冷画风一派稳泰扎实，宗教题材与社会事件的糅合相当妥帖，找寻到一个将两者缝合至同一层面的支点，褪去“古典式”的庄严肃穆，完全以现实笔触去书写所谓「宗教」如何在一个普通人（甚至是一个有犯罪前科的人）生命中占有的绝高位置，如何在一个面临分裂的小镇上以精神感召的形式让人们在破碎中寻到慰藉、宽宥与平静；在完成两条叙事线推进的同时，不忘交代众人前史，以及完成群像之间微妙的关系架构，除了结尾，剧本整体是相当可以的。去奇观化的「圣人」，乃是产生于我们中间的血肉之驱，比宗教更能引渡心灵的是对善的信仰。
lixunhuan,看过,推荐,2020-02-08 22:33:31,23,这个剧作太扎实了。某程度上算得上前几年《冒牌上尉》的反转版本：同样是换了一身皮，一个可以从小恶到大恶，一个从恶到善，相当有意思。而B线关于冒牌神父行善的叙述也没有太分散，而是聚焦于小镇车祸的和解。这个切入点也相当有戏味，一方面对于这个社区来说是一件非常重大的时间，另一方面这也很适合宗教介入的救赎意味。至于隐喻波兰社会现状这块，不熟悉国情的国际观众自是不懂，但也完全不影响电影的艺术价值。
Enjolras,看过,力荐,2020-02-08 23:52:11,54,个人挺喜欢这种冷冽克制的风格，很戏剧性的故事被推进得很平缓。不要觉得这个带着典型的错位艺术的故事太过魔幻，事实上在波兰曾经屡次发生有人冒充神职人员的乌龙事件，既现实又讽刺。对宗教有一定的戏谑，单单是主人公轻而易举的冒充，靠手机搜索一下就能学会主持弥撒，就已经摆明了“神父这活儿啥人都能干”了。何况主人公在社区内所解决的矛盾，几乎全是依靠心理层面上的疏导，与神学教义并无有效关联。我深深为男主角的表演所吸引，尤其是他那双空洞却又锐利的眼睛，当真是演绎出了“睁眼如魔、垂眼如佛”的两极效果，其苍白瘦削的面容也和影片的影像风格十分契合。
胤祥,看过,力荐,2020-01-24 03:09:24,22,#49th IFFR# Voice-Limelight.威尼斯日+多伦多→奥斯卡，[修女艾达]的配置！相当可以的片子，奥斯卡提名妥妥的，至少也是柏林主竞赛的水准（怎么就掉到威尼斯日了……）。主题是“上帝通过各种形式与我们对话”，这个半吊子年轻神父的“freestyle”弥撒还真是不错呢。A故事比较容易预期走向也没什么惊喜（而且还是个道德焦虑式的故事结构，但一点儿都不道德焦虑也是太棒了），但B故事（解决小镇车祸悲剧）写得相当好，成就成在这里。恰巧处理得是后冷战东欧国家之“无主的空间”问题(跟[聋哑部落][秘密原料]要连起来看），后来读到资料说是波兰总统坠机的隐喻，那就干脆加一星吧。
亵渎电影,看过,推荐,2020-02-10 02:08:09,15,三个优点，故事的走向很有趣，片子整体的节奏很稳，再就是波兰的男人都很好看，导演太会挑这些男演员的型了吧。
谢飞导演,看过,还行,2020-02-13 10:29:11,18,奥斯卡国际电影五部提名之一，波兰新电影知性、唯美影像风格超浓。两条叙事线缠绕并进，有些过于复杂、含蓄。每个人都既是天使又是魔鬼的主题，表现得并不透彻。
桃桃林林,看过,推荐,2020-02-08 18:01:07,15,东欧电影在技术上是真稳
嘟嘟熊之父,看过,还行,2020-02-07 19:58:43,15,“神父”的双重身份：隐瞒真相与揭示真相。环环相扣的扎实剧作，设计感过重，依靠巧合与反差推动叙事的手段值得商榷。影像上有想法，遗憾偏技术流，以冷光与薄雾营造压抑冷峻的氛围，固定镜头着力呈现安稳的情绪，多视点/机位的剪辑方式逆向传递着怀疑与惶恐。
AshBoydSwan,看过,还行,2020-02-02 23:48:30,6,3.5 有些地方处理略随意，尤其是从假扮神父到车祸之谜悬疑片的转换。这光打得，好像我经常用的一个呲色的PSD..男主嘴巴好好看
发条橙,看过,还行,2020-03-05 19:30:01,2,我抽烟，我喝酒，我嗑药，我滥交，但我依然是个好“主教”，即使拯救不了糜烂的肉身，但仍能慰藉迷失的灵魂。
陆支羽,看过,推荐,2020-02-08 14:51:26,10,4.0。男主角很有戏感，想起前年那部《冒牌上尉》。
柏林苍穹下,看过,力荐,2020-02-07 14:46:36,10,没有圣人，没有圣迹。
Février,看过,力荐,2020-02-07 21:21:47,3,"""I killed. I killed in my thoughts. I killed in what I failed to do. I killed in what I did."""
蝠蝠,看过,还行,2020-02-09 23:41:33,2,神早就离人们远去了，只抛下依旧笃信不已的人类，在名为教堂与忏悔室的庇护所内苟延残喘着最后的信仰。
有寂,看过,力荐,2020-02-21 02:04:51,2,九二年的编剧吗？杀了我吧
jj73浅之,看过,推荐,2020-02-23 22:59:08,3,为结尾和摄影加星！
fire,看过,推荐,2020-02-16 18:34:20,0,故事挺有意思的，也很有讨论性
feeling,看过,推荐,2020-02-06 13:05:29,1,影2064：暗黑的背后，每个人都是有罪的，上帝会拯救么？我们不要去憎恨，要去原谅！
Panda的阴影,看过,推荐,2020-02-08 19:56:21,3,"2020年第92届奥斯卡金像奖最佳国际电影提名名单：《寄生虫》韩国、《痛苦与荣耀》西班牙、《蜂蜜之地》北马其顿、《悲惨世界》法国、《基督圣体》波兰。——
 可惜在金球奖、英国电影学院奖等提名最佳外语片的同是法国电影的《燃烧女子的肖像》因一个国家/地区只能选一部电影而错失评选入围机会。—— 本来还担心宗教题材的《基督圣体》于我会沉闷无趣，结果观感却好于预期，故事与根据真实故事改编的《冒牌上尉》有点异曲同工之妙。"
一实,看过,还行,2020-02-26 13:57:44,0,封面以为奥巴马😅  。无处救赎
幽灵不会哭,看过,推荐,2020-02-19 16:51:08,4,4.5作为一部宗教电影却将宗教变为了配角，上帝最后的退场与主人公在血腥格斗中幸存告诉观众抗争的意义，宗教只是工具，他利用宗教让村民放下偏见接纳“杀人犯”，而不是封闭在自己的小世界中固执地活着，最后年轻女孩的离去也是抗争的逃离，如果这个社会不能让人变得更好，不能让善良存在，同流合污是简单，而抗争则是勇敢的选择，头破血流、脱下那虚伪的服装，我们都需要诚实地面对自我，女人最后说出了真相，也放下了恐惧、仇恨、嫉妒和疯狂，但世界上的恐惧、仇恨、嫉妒和疯狂却不会消失，男主角拯救了村民，却无法改变少管所，所以结尾的索多玛之火掩盖了这些丑陋，导演聪明地将一个冒充神父的戏剧性的故事延伸向更加广泛的现实，爱与希望如何在这片土地上安放？如何在一个人的身上安放？如何在一群人的身上安放？
星魂,看过,还行,2020-02-26 22:17:58,2,"宗教的主题不太好评论。但是这部电影似乎完全在揭露宗教的伪善。仁慈、宽容之类的都是教义，但是为什么不能容忍犯错？真神父对冒牌的神父直接上手打，而且是在看到冒牌神父收到礼物，看到了他受人爱戴的情况之后！这一点很说明了这里宗教的形式压倒性地大于内容实质！再看一下逃避出去的老神父，多年来都私下酗酒，神职人员的存在本身就是一个很大的问题。小镇的车祸事件缘由是啥不重要，最后终于化解了，讽刺的是，冒牌神父用监狱里的一套发泄了群众的抑郁，揭露了真相达成谅解的。最后教堂里两个敌对的妇女和解，教堂只是起到了形式作用！唯一一个看穿所有事实的妹子最后选择了离开小镇。

男主的长相真奇怪，感觉去演惊悚片都不用化妆吧，忽而圣洁、忽而诡异，倒是极其符合这个故事的需要。"
iriselite,看过,推荐,2020-02-09 18:10:21,1,罕见的以基督教为背景的少年犯故事，宗教真的可以救赎人们吗？真实与虚伪，人性与伪善。当光明降临不久后，黑暗再度侵袭而来。没有绝对的善与恶。
风雨，后夕阳,看过,推荐,2020-02-17 23:30:32,1,比同为宗教题材的《教室的承继》好看太多了，故事非常的有吸引力，丝毫不俗套，男主角也演的很好。
空曲成歌,看过,推荐,2020-02-21 18:37:20,1,"站在神坛就是圣人 身在牢狱就是恶魔 男主在善与恶之间摇摆 假扮神父时他就如同天使 把内心最大的善意到给小镇上的人  
《圣经》中说 我们生来就是罪人 我们生而为了赎罪 人无完人 每个人都是不完美的 上帝并不能阻止人的死亡 但却可以救赎帮助人获得重生 或许这就是信仰最大的意义 整片其实与基督教关系不太大 更多的是反应人性 身在基督教家庭能看到有此题材的片子还是很欣慰的（8.5/10）"
probe,看过,推荐,2020-02-18 14:45:25,2,涵义挺丰富，悬疑的类型因素也有效融入了人性反思的主题。既可以从宗教外的立场视角来反思形式化的天主教文化是否真的是引导与解救人灵魂的出路，甚或成了人性虚伪愚昧的庇护所？也可以从天主教语言结构内，通过男主角的自我践行与耶稣进行对照，把宗教概念与主客体对象通过此片来重新定义，以达到一种内部归正的目的意义。结局决斗的手持长镜头设计的挺巧妙，很有逼真感，男主最后拖着伤体的迷惘灵魂也意味深长，人性与信仰的角力还远没有分出胜负。
Lia,看过,推荐,2020-02-16 18:59:36,1,误入歧途犯了错却又善良的人不过想要一件神袍当作一个重新来过的机会。
SELVEN,看过,推荐,2020-02-18 23:31:55,0,72/100 一场盛大的基督cosplay秀，叙事是东欧电影点到为止的风格，初看了解一个大概，很多故事的碎片还是要反复观看才能有更深的理解。实际上少年神父顿悟的说服力是不够的，这使得一群被救赎的民众的戏剧感没有很好的展现出来。不过依靠清晰的结构，我们也能理解其中的意味。人对于身份的跨越的难度和环境决定命运的残酷性。
锐利修蕊,看过,还行,2020-02-08 12:59:40,0,和《阳光普照》对照着看，讽刺的不是罪孽本身，而是社会（或小部分集体）对好人和坏人辩证接受的偏见，就像是头顶标识的身份标签，已经成为了社会象征的某种外化展现。最后他赤身裸体从教堂走出去，人们已经忘记了他做过什么“好事”，但那些曾经的过错又是被记住的。但电影结尾部分推向的“无解”，还是不够高明，处理起来难免感觉泄气。
天猛公胡安,看过,推荐,2020-02-15 20:56:33,0,似乎是🇫🇷十年前类似片子的🇵🇱版本，当然，结尾上要更阿迪达斯一些
metaphor17,看过,还行,2020-02-09 22:00:00,0,偏类型化的叙事还是挺让我意外的，结尾感觉没有立住
