用户,是否看过,评分,评论时间,有用数,评论
Dioretsa-Z,看过,较差,2020-02-11 23:55:53,1,简单无脑的迪士尼风味儿童片，钢铁侠荷兰弟再合作。
变形的文科生,看过,较差,2020-02-15 23:42:32,1,sooooooo boooooring
少年派的崛起,看过,较差,2020-02-22 21:15:39,1,无聊又低幼的剧情，小罗伯特唐尼选片也太随便了吧，不用带脑子的儿童电影
令希丰,看过,还行,2020-02-15 23:19:01,0,话有点多
Dr.Ray,看过,很差,2020-02-17 16:19:56,2,大失所望，一次毫无意义的翻拍，德普化的唐尼也不能为这部片子带来一点惊喜。非常低幼敷衍的情节堆砌上大量特效而成的作品，既感受不到奇幻色彩又没有深刻或精彩的故事，可以说是很久没看过如此无趣的作品了。
kiki204629,看过,还行,2020-02-12 14:34:55,0,小动物们挺有趣。故事就。。。
楚翰彻,看过,较差,2020-02-12 15:40:30,1,作为听配音猜明星的游戏还是不错的......
Elizabeth,看过,还行,2020-01-18 16:44:41,1,为RDJ买票，其实称之为小烂片也无不可。试图造一个儿童版加勒比海盗，结果倒像胡桃夹子一样赶场子敷衍了事。荷兰弟加铁人摆了明蹭热度嘛。而妮妮啊我仍然可以。CG和大场面挺多的，投资怎么也两亿。首周末全场坐满的都是孩子。
横丫肠,看过,还行,2020-02-12 23:22:01,0,動物都蠻風趣的。
ericchung,看过,2020-01-26 01:49:34, ,0,兒童加勒比海盜電影，只看了視頻影評~略~
雪国之熊猫,看过,较差,2020-02-12 18:38:52,3,很低幼。
花岛仙藏,看过,还行,2020-03-01 23:51:14,0,剧情不堪一击...但是Cheech Yoshi可爱！Barry可爱！都没听出来原来恁多大咖😍
牛奶很忙,看过,较差,2020-02-12 01:07:10,1,太次了吧，儿童片还不如直接拍动画片
sickboy,看过,还行,2020-01-26 11:31:05,0,電影院
哆啦Z梦,看过,还行,2020-02-20 22:02:54,0,平庸
46562002,看过,较差,2020-02-12 17:39:32,1,"论一个弱智导演，是如何毁掉一部电影的…
特效烂对白烂…对戏的时候感觉怪异…天啊，这是一部多烂的特效片啊！"
我爱罗宾,看过,较差,2020-02-14 12:39:34,2,环球拍了一部非常神似迪士尼的烂片。剪辑是从抖音上请的吗，这情节发展我以为把一部40集电视剧剪成了100分钟
DeadOnArrival,看过,还行,2020-01-18 21:37:20,3,故事就是那种能猜到结局的治愈童话故事，但是动物们的演技完爆了《猫》和《狮子王》
joemayxu,看过,还行,2020-03-01 21:14:22,0,多有趣的题材多沉闷的电影
给你我最亲爱的,看过,较差,2020-02-15 04:40:28,1,真的太糟糕了
xiangkaiad,看过,较差,2020-02-22 00:10:52,1,10岁小孩子看看拉到吧！太肤浅，一路障碍打怪无新意1
LOIS,看过,还行,2020-02-23 18:46:09,0,为啥不是德普来演…………
有心人。,看过,较差,2020-02-16 20:19:49,2,唐尼卸任铁人之后首部作品，幼稚，低龄的童话故事，俗套且无聊，更适合小孩子观看。这个阵容，这个成本，再看成片，简直就是典型的浪费钱浪费演员系列。还有，给龙清肠是个什么鬼操作！！
老晃,看过,较差,2020-02-11 20:53:26,1,太蠢了
YthguaN,看过,较差,2020-02-12 13:45:20,1,小朋友看了都想睡觉
大奇特(Grinch),看过,很差,2020-02-08 16:06:17,1,我们似乎生活在这样一个时代，对经典的重塑以及对保留旧故事的渴望，但接受先人的观念并扭转观念方面并没有什么新意。
星尘战场,看过,较差,2020-02-15 15:05:53,1,动物好可爱啊，然后没了。
GarethL,看过,较差,2020-01-18 05:34:47,2,美国什么时候也开始搞春节档无聊到毫无特色的合家欢电影了？台词、故事、剪辑和特效都不大行，但是靠动物卖萌逗逗小朋友开心还是可以的。Aflac和可口可乐该去找电影收鸭子和北极熊的版权。
导演摄像路人,看过,较差,2020-02-21 13:52:47,1,？？？
Lily Liu,看过,较差,2020-02-21 22:30:03,1,确实扑街了，二星全给动物特效。
鬼腳七,看过,很差,2020-02-13 00:25:34,1,这种在创意阶段就应该被直接否掉的项目竟然能最终拍出来也是很神奇了
蒙奇D,看过,较差,2020-02-14 19:41:56,2,今年最期待的一部烂片。如果不是小罗伯特·唐尼演的，我也不会看。一直说这部电影很烂，各种特效不过关，各种补拍什么的。我都以为这是我今年看的第一部一星片呢，结果还是失望了，仅仅两星而已。你说寡姐从漫威下来拍了两部新片，两部提名奥斯卡。唐尼同样是结束了漫威电影征程，结果演了这么一个玩意……希望《大侦探福尔摩斯3》不会扑得太狠。对了，还是说一下电影，幼稚、无聊、套路，动物们还是可爱的，特效没有想象中差（我期待真的很高）。
我不绝望,看过,较差,2020-02-17 16:11:56,0,"Sorry, Tony."
马 夋,看过,较差,2020-02-22 18:56:32,1,无聊
qi神马,看过,较差,2020-02-11 15:23:09,1,我年纪太大了，已经对这种省略太多的童话提不起兴趣了
愛喝可樂咖啡君,看过,很差,2020-03-07 18:30:47,3,"其实压榨经典IP都是在重复老梗，但至少大多数同行都有着源自当下的活力和生机，但这次大手笔的维多利亚排场却如此得老气横秋，用事实证明了，一部过亿投资的商业大片如果片长少于两个钟头，要么是料多馅足，要么就是出了乱子烂得没话说, sadly, Dolittle显然属于后者，即使处于阵痛期的唐尼不愿去承认，可那抓耳挠腮的劲头竟然有了努力装猴六老师的迷惑憨劲，实在是失态"
神哥,看过,很差,2020-02-03 08:14:37,1,2500万美元的分筹我都能去演，只能说这太诱人了！特别浅显无聊的故事，适合没上学的小朋友观看。
無 念。,看过,很差,2020-02-12 02:58:21,1,配音阵容可真强大啊，不过唐尼演这片的时候会不会觉得自己是精分？
华盛顿樱桃树,看过,很差,2020-02-12 14:12:44,1,？？？低龄到幼儿园的孩子们都翻白眼吧！请问你们的客户群里到底是？？
EpicurE_17,看过,很差,2020-02-19 06:22:57,1,a. 适龄观影群体：学龄前儿童 b. 形象教学把钱都花在大牌演员而在制作上一毛不拔是怎么样的后果 上一次感受这样的音效和视效可能是在蓝猫淘气三千问
hexdiad,看过,还行,2020-02-17 01:48:45,0,"用儿童片眼光来看，三星。
跟喜洋洋灰太狼比起来有一拼。"
好风,看过,很差,2020-02-11 13:56:25,2,"24/100
12岁以下儿童电影，真是抱歉误入一个魔幻治愈世界，请了那么多大牌配音和唐尼就拍出来这种水准的片子，要笑点没笑点，要视效没视效，高潮还是为恐龙做个治疗来阔谈人与自然，友情，必然亏本的模子制片人看不出来吗，可能还抱有复刻奇幻森林cg成功的盈利，真不知道这么久的老套牌怎么立项的"
突然粉碎,看过,还行,2020-02-23 21:01:36,0,艾玛女爵拉米喜娜的声音很有辨识度，辛妈演了个美丽废物，妮妮不怕戏路重复吗傲娇侦探没几年又来个傲娇医生，但咱看的就是他，心智15岁以上请自动放弃
┢落┦,看过,较差,2020-02-11 21:35:30,1,今天忽然发现已经可以看了，赶紧看。我果然喜欢看无脑片。
芬芬达,看过,还行,2020-02-11 20:13:50,0,期望越大失望越大，love you 2999
陈赖汉,看过,较差,2020-02-14 19:06:25,1,强撑了半个小时，放弃了……太难看了……
HarperYug,看过,较差,2020-03-07 11:29:53,1,也没有说的那么糟糕，至少当儿童剧来看还是可以看下去的，没头没尾的本子谁来也救不了，只是可惜了这个阵容~
Aさん要娶润宝,看过,较差,2020-02-11 23:11:35,1,"太过低能，但是小朋友看应该很开心.
加勒比海盗加阿拉丁剧情"
Zizi在十年前,看过,较差,2020-03-02 21:25:42,1,好幼稚……真的好幼稚……故事很烂，特效真的好假，一股绿幕味儿，而且演技也很拙劣。唐尼你要是被绑架了你就眨眨眼。真的不好看。
Cheuk,看过,还行,2020-01-20 08:16:54,1,槽点多到。小帅哥很可爱以及可以。是最近几年最奇怪的镜头和节奏了。配音差到连RDJ自己的声音都不贴自己的脸。从头到位都猜不出来荷兰弟到底配了哪个角色……
熊能能脚不沾地,看过,还行,2020-02-13 00:20:37,0,技术上精良，故事是真低幼…
