用户,是否看过,评分,评论时间,有用数,评论
九只苍蝇撞墙,看过,推荐,2019-09-17 23:48:21,1222,4.5。终于看到了一个在情绪构成上彻底逆反好莱坞的昆汀。为什么皮特爬上房顶要搭配放唱片和大背挎李小龙的闪回？为什么小李在和主角闲聊的过程中要插播B片片段？塔特走进影院看自己的片就是为了秀美腿么？当皮特真的发现活乔治躺在床上的时候，是不是所谓危机叙事和悬念心理就垮塌了？看上去它是B片桥段大杂烩，但昆汀在处理时故意将连贯的动作反应锁链扭向断裂。影片并没因为观众期待心理的落空而平庸，相反升腾起一股碎玻璃无序拼凑反射而形成的交叉闪烁光芒。最后三十分钟才好看的说法其实是对它的差评，它从一开始就是精彩绝伦的时代氛围情绪追忆。把波兰斯基和李小龙都刻画成绝世大傻冒更是对那个美国梦大爆发的世俗名利场的精彩点缀：一切都是庸俗又华丽的梦幻大卖场上的畅销货而已，而昆汀用温柔又感伤的喜剧笔触刻画了这个浮华的人肉市场。
水怪,看过,推荐,2019-05-22 06:43:31,1307,大概是一部对影迷有着极高知识储备要求的电影，的确堪比泛影史意义上的终极之战。备考不足如我，仅看最后三十分钟也是酣畅淋漓的，就是前面梗若接不住大概就会酿成不少尿点，以及直觉上李小龙段落反而在内地或有风险。
小油飞,看过,还行,2019-07-26 14:02:24,2919,一如既往有让人非常不舒服的种族和性别问题。昆汀跟波兰斯基关系很好吧，这意淫都让人有点感动了。但是他跟李小龙到底什么仇什么怨，那满满的恶意都要溢出来了…
谋杀游戏机,看过,推荐,2019-05-22 02:42:22,715,看到最后半小时才确定，这仍然是我们最熟悉的那个狂想天才昆汀，在酣畅淋漓之下铺一层温柔的底色，也难怪他要防剧透。小李和皮特这对片中好基友都很可爱，带着我们像孩子一样游历在1969那个放荡无序、礼崩乐坏、焦虑又美好的年代。很多梗，很多美足，很多老朋友，很出彩的表演，期待能被热烈讨论的那一天，可能会稍有点影迷门槛。小李癫狂可爱依旧，皮特让我又找回了初中对他心动的感觉。
桃桃林林,看过,力荐,2019-05-22 01:16:24,1316,如果你也是个影迷，一定会感动的，这就是给影迷的礼物！我爱死《好莱坞往事》了！！！！！果然不能剧透，虽然有预感，但没想到……最后真是止不住眼泪。昆汀又一次，嗯，又一次。这就是我爱电影的原因啊！小李演技很不错，皮特超硬汉，玛格特罗比超可爱！这里仍有昆汀对电影、对暴力、以及对美足的热爱。昆汀继续牛逼！爱死这片了，哭了！！
十九呀,看过,推荐,2019-05-22 06:38:01,491,光怪陆离下的苍凉质感，这就是我对电影的热爱。
凌睿,看过,推荐,2019-11-27 15:21:34,429,"假如曼森杀人案没有成功，莎朗·塔特没有遇难，波兰斯基没有性侵幼女，没有四十年如一日的逃亡生涯，而是和妻子、孩子共享天伦之乐。
假如瑞克结识波兰斯基，千里马遇伯乐，迎来事业第二春。
假如瑞克不再经济窘迫，也没有解雇克里夫。
假如……
世上没有假如，但是昆汀给了我们另一种答案。
用瑞克和克里夫的经历纪念曾经还没有被商业侵蚀的好莱坞；
用迷影瞬间、致敬桥段作为写给电影的情书、献给影迷的礼物；
用颠覆现实的故事给曼森家族迎面重击，报杀人之仇。
昆汀用电影改写历史，转悲剧为喜剧，为我们展现了一个和记忆中不一样的1969年。
不再追求血浆四溅、残肢断臂，取而代之的是浓浓诗意，屡屡柔情。
不再追求暴力，取而代之的是发生在平行时空的美好童话。
以虚幻的故事抚慰现实的伤疤，以怀旧的镜头追忆往昔的岁月，这就是电影的力量。"
混世魔王,看过,较差,2019-07-30 17:27:38,961,导演对李小龙有偏见吗？把他塑造成这样
南悠一,看过,推荐,2019-05-22 03:53:46,421,当向往六十年代好莱坞时会想到什么？喧闹快节奏的宣传片、盛大的明星访谈，这便是影片的开头。当然还有生机勃勃的美国精神，永动的趴体、镁光灯、车载广播声、旋转的留声机、名利场和人情交往……在昆汀眼中，光怪陆离的好莱坞如西部那般广袤、包容，表面上人性苍凉，内里有复杂的情感交织，每个人都可以追逐电影梦想。昆汀用迷影梗，用怀有电影梦的明星和他替身司机的故事，拼凑出和西部片质感和西部精神相通的好莱坞旧梦，讲这样一个“拍西部片”的故事。他像是借着缅怀过去，对好莱坞的现状表达不满，像是带着不收敛的情绪喊，“这些才是好莱坞啊，你们这些恶魔究竟想搞什么？” 如果影片极致，背后的导演就会愈发理智；如果导演情绪化，那影片大多也没那么极致了。3.8
刘昊然,看过,还行,2019-07-25 22:40:58,1845,布拉德皮特开车能看路吗
