用户,是否看过,评分,评论时间,有用数,评论
Forever Parker,看过,力荐,2019-06-22 07:16:17,591,男特工可以是帅哥，女特工也可以是超模
秀山鲤鱼,看过,推荐,2019-09-11 00:41:45,5909,7分，美国人拍间谍片，苏联人都是傻逼；苏联人拍间谍片，美国人都是傻逼；法国人拍间谍片，美国人和苏联人全是傻逼。
Peter Cat,看过,推荐,2019-07-03 06:54:32,1220,不要有期待，忽略那些低级bug，享受超模。
影迷劳拉,看过,推荐,2019-07-25 21:38:51,861,是我向往的感情生活。
瓦斯,看过,力荐,2019-06-28 10:42:39,437,女性大爽片，好看到飞起，妹子版邦德合辑，简直想推荐给所有不反对porn的妹子！
邰思,看过,推荐,2019-08-06 14:42:58,697,同样的KGB背景下，这才是红雀该有的样子——冷漠、美颜、克制，九头身女特工不需要演技爆发，不需要太多情感流露。凯伦米勒和墨菲锤哥还弥补不了演技缺口的话，如何体现女主的弱小无助楚楚可怜又暗地自成一派的刚强呢。该享受美好肉体的时候你在讨论演技，我觉得这在亵渎我的视觉功能。
ANNA,看过,推荐,2019-07-06 13:40:15,398,俄罗斯大长腿版尼基塔，真超模带您领略正版红雀风采（此处无diss大表姐）。男配撸哥和墨菲都是我菜，女爵一如既往优秀所以看得还挺开心。我只有一个问题。90年的手机？笔记本电脑？贴身剪裁西装？？？这是平行世界831的90年？？
魔法炼金术士,看过,推荐,2019-06-23 04:47:15,234,大爽片！吕克贝松可以啊！
晚安、本杰明,看过,力荐,2019-09-11 13:36:03,387,"碟中碟中碟中谍
好看的人真是没头发都好看"
sisimint,看过,力荐,2019-09-14 22:13:13,273,两个男人都靠不住，这部剧说的是忘年交的girl power💪
楚恻,看过,推荐,2019-06-25 09:24:27,171,第一次在豆瓣评没有上映的片子，但是的确是看了，台湾真好。吕客贝松真是厉害，什么片子都能拍那么好看
同志亦凡人中文站,看过,还行,2019-06-20 18:34:04,1040,吕克·贝松估计是看了“红雀”后被大表姐的身材恶到了，才会找个美艳冰霜逆天长腿的名模来把红色间谍的故事再拍一遍。前3/4静静看你扯淡，最后1/4反转才真的好玩。基本上这个故事就是：没有什么能够阻挡，老娘我对自由的向往啊啊啊~~~~~
苍穹的幻想,看过,推荐,2019-09-12 00:28:18,122,渐入佳境的一部电影，毛妹特工睡了KGB后又睡了CIA，深谙国际象棋的她决定不做棋子，为了获得获得自由身变成一根人形搅屎棍，搅的美苏情报部门阵阵腥风血雨；结尾一再反转，让人拍案叫绝！吕克贝松虽然近几年执导能力有所退步，但是在女主角的选择上一如既往的保持了高水平，几场激情戏把法式风情、浪漫和狂野展露的淋漓尽致！
张小北,看过,推荐,2019-09-16 14:51:14,66,我还是怀念那个当年说自己这辈子就拍 10 部电影的吕克贝松。
独行侠杀手阿何,看过,力荐,2019-09-10 23:59:28,35,KGB VS CIA，我们中出了个叛徒。超能杀姬，女版John Wick，名字轴对称的Anna。女主到底拥有何方福气？？？？！！！可以同时与Luke Evans和Cillian Murphy发生性关系？？？！！！！！以及Alexander Petrov！！！！！《速激》母子变上下属，疯狂跳跃的时间点稍微令人不适，不合时代背景的高科技产物如笔记本和U盘又让人瞠目结舌，但反转再反转的戏剧性剧情足以证明Luc Besson的水准从未下降过！！！轮番变装秀的俄罗斯超模Sasha Luss，身段颀长，摇曳生姿，步步生风，高冷美艳又柔婉动人，超模气质满溢毕显，酷似《女孩》里雌性同体的男主小哥，看得人魂魄都被勾去了！！！！！！[9.8看的]
[Deleted],看过,还行,2019-06-21 09:29:40,1045,生命诚可贵，爱情价更高；若为自由故，两者皆可抛…
江未,看过,力荐,2019-07-22 01:21:26,32,我被女主迷倒了
選凝,看过,力荐,2019-06-15 21:25:00,17,沒有一個廢鏡頭！剪接滿分。有腦商業片的極致典範！不能喜歡更多。
木由,看过,力荐,2019-07-25 02:20:33,7,吕克. 贝松的片子一直都很带感啊！莫斯科双面女间谍的题材也很符合我对夏季大爽片的期待。第一次出任务的莫斯科饭店打戏干脆利落，看超模甩着长腿击杀目标很酷。不过混乱的性关系真的有必要吗，尤其不要虐短发女友啊！真是越漂亮的女孩越会骗人。
寒狐传媒,看过,推荐,2019-09-14 07:54:22,85,女间谍：我不要放假的啊？！
巴伐利亞酒神,看过,推荐,2019-09-26 22:51:03,63,世界上最了解女人和LGBT的导演是阿莫多瓦，世界上最了解直男的导演是吕克贝松。
芦哲峰,看过,还行,2019-09-11 09:48:02,627,看性感超模在美苏之间，在男女之间，在生死之间，纵情打枪与打炮。若为自由故，情人皆可抛。
狼矛,看过,推荐,2019-09-17 04:09:12,42,片中女主大段打戏看着特爽，反转就像俄罗斯套娃；反倒片中的男性角色都挺单纯的，果然男性都是用下体思考的生物么(笑)。
狮与羊,看过,较差,2019-06-21 15:30:07,235,每次廉价大反转之后都用冗长闪回毫无新意地重述观众知道的事，这策略实在是蠢到家了！！！
凌睿,看过,还行,2019-09-16 16:04:44,388,"克格勃说，她干满五年就能退休；
中情局说，一年之后她就能去夏威夷生活；
女上司说，保证让她重获自由……
所有的承诺从来都不会兑现，所有的保证都只是为了安抚你的说辞，因为他们知道还没到那个时候你就死了。
他们利用她，所以她以其人之道还治其人之身。
他们把她当成一枚棋子，其实他们也是她的棋子，是她通往真正自由的垫脚石。
千算万算，最后把自己算了进去了。
还是那个道理：
女上司、中情局探员，这些看起来很聪明的人其实很愚蠢，因为所有人知道他们想干什么。
安娜表面上看起来很蠢，其实才是真聪明，因为你不知道她是扮猪吃老虎，不知道她做了什么、想做什么。
真正聪明的人是不会让你感觉到他很聪明的，当你发现的时候已经晚了。"
本初老儿,看过,还行,2019-06-22 10:39:26,177,Flashback太多，略显烦人。
内陆飞鱼,看过,还行,2019-09-11 01:54:37,135,虽然是无脑动作片，没有“黑寡妇”主演的《超体》好看。曾经传出米兔新闻的吕克·贝松真的是一生只爱一种女人，波波头，模特身材，少女相貌……这一部女主92年的俄罗斯超模萨沙·露丝，跟年轻时的安娜·帕里约、米拉·乔沃维奇有些像，不知道跟双鱼、直男导演是什么关系。
派翠克,看过,较差,2019-06-24 11:18:56,207,本来故事在吕克贝松最近的几部电影来看已经算是不错了，尤其后半段还算是有趣。但我这人最受不了各种显而易见的bug的：87年的苏联普通家庭用笔记本电脑连着wifi上网登记注册当兵？？？90年已经开始用体积这么小的手机了？？还USB插口？？U盘？？？这是哪个平行宇宙的科技大爆发？？？
_witch2,看过,很差,2019-06-21 08:13:42,61,我服了，吕克贝松现在堕落的和吴宇森一个德性了，先不说故事又多稀烂拖沓无聊，开场快一个小时好不容易等来第一场动作戏，结果剪辑中庸疲软的一塌糊涂，这素材拿给我剪都能剪的比这好………………难怪连宣传都不宣传，片方自己心里都有逼数
