用户,是否看过,评分,评论时间,有用数,评论
阿珂,看过,还行,2019-12-30 23:55:47,1947,票房不会太差，口碑不会很高的合家欢电影。钟楚曦的狗狗最赚人眼泪。钟汉良杨子珊与宠物之间的搞笑戏份最自然，于和伟的猫咪最美貌。张子枫最青春。郭麒麟最能跑。最后一对最没存在感
桂花树下做酒酿,看过,还行,2019-12-31 00:15:55,1155,应该是个定位明确的爆米花电影，钟汉良养的宠物居然是一只猪，而且是真正的猪！😂不是那种小香猪，印象深刻，很有喜感。
我只是我,看过,还行,2019-12-30 21:41:29,1013,六段故事，有笑点也有泪点，猪最可爱（想不到钟汉良竟自带喜感），狗很催泪，算是合格的合家欢电影。
凌睿,看过,很差,2019-12-31 13:37:15,1749,"打着宠物电影的旗号，本质上仍然是人的视角、人的思想观念、人所理解的宠物。
导盲犬要培训18个月，江楠2个月就成功了。
罗华为了追安英竟然把已经救出来的猫重新塞进车底。
他根本不爱护小动物，却给自己塑造一个爱护小动物的人设来博取好感，这不就是PUA套路吗？
安英非但没感到被套路了，反而还接受他了。
一部以宠物为主题的电影，竟然宣扬利用小动物的价值观。
还有猫能听懂人话，知道每栋每单元怎么走；高铭能听懂猫语，可以和猫顺畅地交流；猪会看动画片，甚至还会看监控……完全是以人类的思想观念来拍宠物。
这哪是宠物，这就是外形是猫/狗/猪的人。
希望未来有一天狗也能做导演，去拍一部电影，讲述一条母狗谈了恋爱，要和公狗亲热，但它养的宠物人却三番五次阻止它们，因为宠物人觉得他才是母狗的男朋友……看看人们看到这部电影是什么感受。"
艮艮,看过,较差,2019-12-25 20:27:22,2406,这片编剧到底是谁啊，都快2020年了，居然还能一次性写出这么多俗套的剧情！再加上互相穿插的魔幻剪辑，将故事全部打碎，您还不如学学《我和我的祖国》，保持每个单元故事完整，可能还不至于全部烂成一团。看点的话，只有各位萌宠了。演员方面，没有什么特别突出的，吴磊演的盲人期望以后能更好吧；陈伟霆在豪七去世那一段，演的异常尬
DC,看过,推荐,2019-12-25 02:36:12,1098,好烦人啊，我又哭了……说实在的这么多条线都能平衡且把故事说好蛮不容易的。瑕不掩瑜吧！ps陈伟霆真的好性感……
Nutplanet,看过,推荐,2019-12-24 00:44:05,1169,实拍宠物电影，还是这么大量很难。应该是杨子导演最好的一部，温情暖心，每一对关系都处理的很有代表性也很戳心。重点是选角做的太好了。吴磊就像小扎特别温柔和暖心，陈伟霆就像小黑特别野性但是帅痞，看宠物看帅哥美女都养眼
喵喵喵喵喵,看过,还行,2019-12-22 21:53:55,805,吴磊好帅！全场颜值最高！而且有一段讲独立的带着导盲犬出门，鞋子跟袜子都不一样，这个细节印象特别深刻用心了，但是没有特别的惊人的地方吧属于温馨的电影，适合情侣看。
阿盐,看过,力荐,2019-12-30 16:12:32,945,看的是路演点映场，结束之后有满场的掌声。作为合家欢类型的电影相当合格了，节奏紧凑，故事完整，人物丰满，笑点和泪点都非常密集。个人最喜欢的是张子枫和吴磊的片段，青春感满分的少年少女太招人疼爱了。吴磊的表演在其中格外出彩，没有借助美瞳，演出了一个很真实的、后天失明的、骄傲的、不甘的盲人男孩形象，能看得出来是下过苦功夫去了解学习的。
奔跑的红辣椒,看过,还行,2019-12-29 18:24:44,509,陈伟霆和钟楚曦太养眼了！最帅最美的一段也最好哭
海哈哈,看过,推荐,2019-12-29 18:05:28,820,"原本抱着看热闹的心情去看，结果没想到会是这么可爱可笑又可哭的片子，太喜欢了。六个故事，于和伟老师喊着木子洋我爱你的时候，又想哭又想笑，太可爱了。然后是钟楚曦和陈伟霆，太欲了，感觉随时可以开战，太厉害了。几个泪点：医生我要打针，狂犬疫苗，最狂的那种！孩子第一次出行，他想变勇敢。你是我的好兄弟，你比我更man，你妈妈说我长得像你，才喜欢我。你都能接受做一只导盲犬，我为什么不能接受自己是个盲人呢。"
等钱等房我等你,看过,还行,2019-12-31 09:53:15,368,不够合家欢。如果家长想带孩子看萌萌的宠物，还是免了吧，钟楚曦陈伟霆那对新婚夫妻开车欲望太那啥了，儿童不宜。
诗然,看过,推荐,2019-12-31 00:37:33,737,陳偉霆演這個人設真是太靈了，請賜給我一個這麼可愛又寵妻的主編好嗎。很難得拼盤電影的故事線可以如此流暢，推薦給所有鏟屎官和云擼貓黨。
丢了的心,看过,还行,2019-12-31 00:04:40,288,徐老板鼎力加盟的片，已经提前看过点映了。子枫妹妹依旧表现亮眼，钟汉良杨子姗意外地养眼，郭麒麟自带喜感……宠物明星们更是可爱异常，挺适合这个档期的，三星半。
南国最相思,看过,推荐,2019-12-31 01:09:56,536,各大明星以及各大萌宠的正确使用方式。喜欢小叮当的那个part，又苏又萌的钟汉良“我太难了”意外笑点满满。ps：他太适合演白手起家或金融或法律的富一代都市精英。
哪壶不开提哪壶,看过,还行,2019-12-31 00:19:29,270,什么是宠爱呢？假如杨子姗还是不要你，带着你的猪来我家！我来宠你，钟汉良～
喵老师2333,看过,较差,2019-12-22 15:44:34,1633,今年看过前三烂的国语片。观众眼泪真不值钱，养的也不是宠物是妖精。要不是猫猫狗狗们实在太可爱了，真的一星赶紧滚吧，简直是在侮辱电影。噬元兽爱了。
正义B胜,看过,较差,2019-12-22 17:08:55,1589,如坐针毡，毫无触动，我真是老了
