用户,是否看过,评分,评论时间,有用数,评论
西楼尘,看过,推荐,2019-07-12 13:28:47,220,儿子的喷枪下是不能幸免的罪人，社会的尿瓶里是无处安放的废液。赚钱买来好吃的咖喱饭，却错过了陪你吃咖喱饭的时间。投递给用户的签单上，写着对家庭说的话。涂鸦的大嘴里有那么多问题，我却都不知悉。你愿意当包裹，当钥匙，当扫码枪，因为它们都陪伴更长时间。我们像仇人，像陌生人，唯独不像家人。
brucas,看过,推荐,2019-06-20 10:30:41,104,"好久没在影院哭那么狠了。想想现在欧洲的nationalist wave, 活那么苦真的太容易被煽动了，“都是移民抢了工作，害我们工资那么低”。其实特么都是黑心资本家。"
LORENZO 洛伦佐,看过,推荐,2019-05-17 06:56:53,88,肯洛奇稳定发挥，这一部更贴近生活不免看的时候背脊发凉。堆叠起来的压力渐渐满溢，滚雪球一样压垮了这个普通家庭，反思却在戏外：究竟是哪个社会保障环节失职竟让人拼命工作却越来越穷？寒心是寒心，然而下一秒就想滚回去好好工作拼命赚钱。
MR.CHarles,看过,推荐,2019-06-20 17:34:01,62,比电影还要残忍的是，这部电影中的故事却在全球各处上演着。责怪穷人很容易，很多人热衷将贫穷和社会问题归功于底层中下人民的好吃懒做。殊不知，工人阶级和下层中产阶级，可能付出着最多的努力，却一步一步陷入更深的困境之中。肯洛奇拍片来说已经无比流畅和成熟，在不过度煽情下激起观众的反思和同情，目的就达到了。
寒枝雀静,看过,推荐,2019-06-18 12:33:00,46,B＋ / 远好于金棕榈前作吧。除了结尾的强转折之外，几乎所有的手法都朴素且自信地专注于人物所处的社群文化及其细腻的互动关系。哪怕剥开血肉看到的可能是相似的模板，但血肉又怎能剥开呢？
[已注销],看过,力荐,2019-06-18 12:30:41,315,#siff#比电影更残酷的是，只有肯洛奇肯为这些人作书立传，但这些人根本不可能第一时间在电影院看到这个片子。能有钱有时间看到的，即使像我这种挤出几滴不值钱的眼泪，也不可能真正知道这种生活。
翻滚吧！蛋堡,看过,推荐,2019-06-20 18:34:53,43,《我是布莱克》黑看了都忍不住流泪
徐若风,看过,推荐,2019-06-20 18:52:05,40,年度十佳。对于这部电影，四星及以上是我这种观众必须要给的分。但还是不得不说：电影不如前作《我是布莱克》。被路过的歹徒狂奏、作天作地的儿子，有点丧失案例的典型性，反而模糊讨论焦点。肯·洛奇是反资本主义社会/消费社会，但不断地拍摄苦情情节剧，并不能做到彻底的反对。但如果方向是“体制改良”，那么这类扎实的创作倒是能体现出泛化的社会意义。
朱马查,看过,还行,2019-05-17 07:48:10,52,3.5资本主义发展阶段文件综述还是要看你无产阶级斗士肯洛奇爸爸。电商物流996与劳工法之死，真的是太会抓题材了，尤其当下很难不引发感触，然而剧情发展到结局其实是失控的纯粹情绪宣泄，人物也就此僵化。当然你说他不高级，他不在乎，因为你又不得不承认，看完对996的愤怒再多了一分，完成了今天的忧国忧民份额，在豆瓣发了一条广播“这个世界会好吗”，然后他便欣慰地擦了擦眼镜……
黑狗成,看过,力荐,2019-06-20 10:36:19,162,不要唧唧歪歪的，中国没有这个级别的导演，我就吹了。
jj73浅之,看过,推荐,2019-06-18 17:10:53,37,非常超出预期的一次观影，肯洛奇作品里与国内观众情感共鸣最强的一次。即使配乐微乎其微依旧理智克制冷静写实，但现实残酷暴击下家人亲情的温暖支撑实在太动人太柔软了。社会劳动主力中年人之痛、青少年对父母关系的反思都得到了很好的表达，大师级的一次谆谆教诲。导演对非职演员的调教真是到达了炉火纯青的地步
