用户,是否看过,评分,评论时间,有用数,评论
人家不是猴哥啦,看过,力荐,2019-12-25 12:43:00,3279,还有人能拒绝甜茶？！我一个男的都想答应他
同志亦凡人中文站,看过,推荐,2019-12-13 16:34:21,1972,这么多神仙颜值的人儿聚在一起太画美不看了。虽然是皆大欢喜的结局但还是心塞了，毕竟初恋才是白月光啊！甜茶和罗南青春洋溢，银幕上全是胶原蛋白的气息。当女性不再通过抗拒爱情来证明独立，这样的社会只能算是具备基本的公平吧...
骞千仟,看过,力荐,2019-12-25 10:26:54,1933,最喜欢的一段戏是甜茶和罗南在party上相遇，我不爱社交，你的裙子坏了，我们躲在外面也可以快乐的跳舞，那时候真好啊，一切都不如跳舞。
Dreamer,看过,力荐,2019-12-25 00:10:18,1678,你只要非常有钱，就可以不用结婚。剧情不单单局限于女人的婚姻嫁娶，也关注了个人成长，她们独立，有自己热爱的事业：写作，绘画，音乐，表演。你可以嫁给你爱的贫穷的男人，也可以拒绝你不爱的富有的男人，也可以选择单身热爱自由。婚姻不是每个人人生的必需品，有些人就是热爱自由。尊重人类选择的多元性。女主写作的纸张平铺了满满一屋子，令人动容，我与学霸/大师的差距。甜茶太美了，谁不想嫁给甜茶。
云杀,看过,还行,2020-01-01 13:36:49,882,Emma Watson演技被一众演员吊打，没看过原著但是感觉有媚女权主义者的嫌疑？Amy究竟啥时候爱上Lori的？Lori啥时候爱上Amy的？这有点一头雾水啊……女主Joe的变化线也缺乏连贯性，总体来说就是，可能片长限制了发挥，但是演得还是不错哒
Lynchman,看过,还行,2019-12-25 01:17:04,357,很难说这是一部现代化的古典电影还是复古式的当代电影，或许在油画质感及欢脱感觉间，主创自身也并没厘清相对统一的思路。罗南的古典气质在片中得以完美呈现，曾被乔·怀特激发的灵气重现。
-,看过,还行,2020-01-15 06:52:36,130,Underwhelming 剧本很不错，但是鸟小姐的葛韦格完全消失在了叙事结构、角色和表演中，没有任何值得称道的导演技巧，像是执行了一次合格的打工任务，难怪没能提上最佳导演。
鲸息深海,看过,还行,2019-12-30 10:44:27,182,还是比不上49版。首先剪辑太碎，少年和成年时期尚可区分，但成年后以Jo去纽约为分割点的那几段插叙就略炫技了，不仅迷惑观众，而且毫无意义。其次这个版本太注重这个故事悲情、无常、冲突的一面，甚至Jo和教授的感情根本没表现出来，导致我没看过原著的朋友们一头雾水以为Jo是被逼的。再次小妇人真的不是Beth的死Laurie的渣Amy的婊和Jo不断的逃跑，而是这些表现之下相互爱护的大家的可爱和温柔啊。本来想两星，但这打包销售的卡司真的很优秀，Saoirse的Jo太灵动出彩了，特加一星。
Monica,看过,还行,2019-12-29 03:11:24,109,艾玛……是个演员吧？
Cherry樱桃之远,看过,推荐,2019-12-27 11:22:59,1611,看到有友邻这么评价这个故事，觉得非常恰当。“当一个女性不再通过抗拒婚姻来表达独立和自由的时候，这样的这个社会才算达到基本的公平吧。” 卡司们都非常棒，青春无敌，虽然非线性叙事有一点overcomplicate整个故事，整体感觉还是很轻快。
大海里的针,看过,力荐,2019-12-25 10:11:58,1024,"最大的感受就是，我们现在的生活水平很高，而流行的居然是丧文化。19世纪的美国陷于内战，人民生活贫困，女性地位不高，但是即便如此，主人公们依然保持着积极乐观的生活状态，邻里关系也和睦慷慨，一定是哪里出了问题。
影片保留了那种名著的厚重感，当然也有19世纪名著常见的狗血，甜茶在这种女性电影里总是沦为渣男工具人，罗南饰演的女文青经历了由“恐婚”到“恨嫁”的“真香定律”，其他几位女性角色则各有特色，表演都很令人印象深刻。"
XYeah,看过,还行,2019-12-31 12:20:55,87,真的过誉。虽说糖水片，对感情的理解也太想当然了吧。大家撺掇Jo去追教授那段好恶心哦。伯德小姐的小委屈加佛朗西斯哈的姐妹情等于Jo被温情打折了腿的女权。
无恨可诉,看过,推荐,2019-12-28 10:52:46,1170,看得出来这家子七年以来保养品没少买
amie我乐苦多,看过,力荐,2019-12-26 11:25:10,969,"“Women have minds and souls as well as just hearts, and they’ve got ambition and talent as well as just beauty. And I’m sick of people saying that love is all a woman is fit for. I’m so sick of it! But – I’m so lonely!” 【一个哭到崩溃的我】"
翻滚吧！蛋堡,看过,推荐,2019-12-25 12:20:35,853,相当娴熟的一次改编，非线性平行剪辑打破传统的流水账式叙述，在时空切换中不自觉地感受到美好和怅然若失。Greta用独立、成长等议题将这个古典故事做以现代性的注解。罗南妹子太优秀了，在这样饱满的女性群像中呈现出的灵动和层次感也几乎是碾压式的。
NarvikAustin,看过,推荐,2019-12-26 11:06:31,604,罗南和甜茶的功力已经羽化登仙，就连黑寡妇妹妹的表演都张力十足，而屈臣氏小姐再次巩固她花瓶界一姐的地位。
室内滂沱,看过,推荐,2019-12-25 18:58:45,430,看到格蕾塔·葛韦格为罗南找到了一套这么具体又适合的戏路，她俩以后无论是否还继续合作，都能预见到肯定能成为好导演和好演员——在这部电影中，葛韦格已经完全证明自己是可以为演员塑造形象的，罗南则证明自己是可塑的。看到这个题材，本来想拿索菲娅·科波拉的《绝代艳后》、《牡丹花下》作比较，但发现这部《小妇人》除了加入元创作（关于创作的创作）元素，其余部分是古典味道十分浓郁的。最喜欢片中劳瑞对几位姐妹们那种特别绅士的距离感，热情似火容易，这种带着礼貌、拘谨的疯狂爱恋却很少有人能拍得准确，葛韦格《伯德小姐》里表现的那种人与人带些陌生感却又离不开、想要尝试但又不太敢的人物关系，借《小妇人》这个古典婚恋主题又讲得更细了一步。皮尤小姐姐以后会很厉害。看到劳拉·邓恩演妈妈，好想爸爸是尼古拉斯·凯奇演的啊。
세븐,看过,推荐,2019-12-25 07:59:37,235,相较lady bird是更加完整多面丰富年轻的女性jo  greta自然地把观众带入了jo与女孩子们交叉的世界 罗南的表演自带煽动力 写作遭到批评生气 无法原谅心爱的作品被烧掉的妹妹 拒绝Laurie的求婚 无法战胜孤独的自白 失去亲人的痛苦又焕发出新的生机 啊真好 可惜包被锁了 没法拿出纸巾 就反复眼泪汪汪然后哗啦啦地流下来 花茶真好 劳拉真好 加瑞尔真好 btw遗憾的是不管原著怎样在我心里讲真烂尾了哭T T
噗通女孩,看过,力荐,2019-12-25 10:06:21,638,最开始非常非常不喜欢乔，跟当时看书时一个感觉，不喜欢她说话带刺，她是很不按世俗做事，但她也没必要鄙视别人的，甚至觉得她对梅格和艾美都太苛刻，就像梅格说的，“不要因为我的梦想和你不一样，就觉得它不重要”，是啊，她不想要婚姻，可有人想要啊。她不稀罕爱情，可有人稀罕啊。她不痴迷漂亮华丽的裙子，但很多女孩子喜欢啊！到后来，我反思我自己，如果她不是那么坚决，不是那么矛盾，可能她也成不了她自己。最喜欢她的妹妹，有梦想，知道自己爱谁。想到最近有些过头的女权运动，真正的女权不应该是捍卫所有女人的吗，那我们这些想拥有爱情和家庭，想做个普普通通的女人的梦想也算是梦想吧。另，最后的结局太善良了，让所有人都和解了，还是以爱的名义，想到自己，爱情里出场顺序和时机真的很重要！那个沙滩是不是《布鲁克林》里面也有的？
谋杀游戏机,看过,推荐,2020-01-07 12:40:29,225,一个很温暖的家庭群像，神仙卡司。最打动我的改编是乔和病重的妹妹贝丝在海滩上，贝丝说我不害怕死亡，人生就像潮涨潮落，潮落是阻止不了的，乔抱住她说我阻止过一次。同样从睡梦中惊醒的镜头，当乔再次冲下楼梯时，却再也没有贝丝的身影...
