用户,是否看过,评分,评论时间,有用数,评论
Z星驰007,看过,力荐,2019-07-06 21:51:44,735,全程气的发抖！！！韩国电影拍现实题材真是太大胆了，惊悚程度直逼《熔炉》啊！！！比起父母对孩子的暴力，邻居、老师、儿童福利院的冷漠和遇事就躲的态度更让人气愤！！！！中国电影，你醒醒吧！！！睁眼看看世界吧！！！邻国的电影在控诉法律的漏洞，帮助法制进步，而我们国家呢？？？？？哀我国电影不幸，怒我国电影不争啊！！！
软性飞草,看过,力荐,2019-05-29 23:31:01,549,一个敢于拍自我检讨法律缺陷的电影总会帮助社会进步。
蜷在贝壳里的猫,看过,力荐,2019-06-27 01:07:04,282,可悲的是，现实往往更悲惨，施虐者五个里面有四个是父母；可笑的是，电影里的英雄，往往只是活在电影里，多的是邻居那样装睡的人，觉得父母教训子女天经地义的人们。到底是长大让人的心变得冷血，还是冷血的人长大了呢。看电影最痛心的大多是“真实改编”。
安仔大kuma,看过,推荐,2019-07-04 02:17:11,528,可是。。。现实生活中哪里来的长腿叔叔和视频小熊呢？
永远的热泪盈眶,看过,力荐,2019-06-28 12:53:50,183,给社会提个醒的片子总是有力量的，在这里我保证，“我可以正义”，遇到虐待儿童的行为，我一定会管。
郑乔尹,看过,推荐,2019-06-27 05:16:59,388,这是我不愿意评价的一部电影。人生绝大部分恨意的来处。
午后红茶,看过,还行,2019-06-29 15:47:19,397,什么叫人文关怀，这就是人文关怀。希望有关部门能放宽对社会题材的把控，让更多的有社会正面效应的影片出现在我们的大银幕上。
又又,看过,还行,2019-07-03 17:56:31,276,短评里那位“虐待孩子和正常打孩子不同，孩子不听话打几下是正常的”？？？exo me what's your problem???
9L-ing,看过,推荐,2019-07-04 06:50:30,286,是不是要被打死了，才会被关注？否则会被认为“人家只不过在教小孩”。甚至被打死了，都会选择相信疑点重重的案件结论，而不是质疑控诉家暴，原因是“这类案件通常很难打”。父母没得选，人生该有多绝望，出生在这样残暴的家庭、冷漠的社会，所以当多彬遇到男主的哪怕是一丝丝好意，都抓住不放，那是人生最后的微光。多彬，不是你的错，是大人们的错，是这个世界错了。
PROMISE921,看过,力荐,2019-07-04 21:55:30,137,打死的是孩子 就16年？？？？？？？
tadanobu.,看过,力荐,2019-06-29 03:19:58,36,大半夜的哭成猪头了，演员们演得特别好，最近国内也是特别多的家暴事件，但是韩国的电影很多就是敢拍根据真实案件，这些电影能引起大家对社会问题的重视，看了演员们的采访特别是东辉，拍完这部以后觉得自己也像电影中的律师一样的人真的很感动，虐童真的要引起关注，多一份关怀，多一份热心，世界会变得更美好。（希望多彬以后能与长浩在一起，长浩真的是一个暖心的男孩子。）
忘川,看过,力荐,2019-07-07 17:53:42,21,"电影从开头就抛出了个问题，受害者在众人面前被活活杀死，无所作为的旁观者到底有没有罪？
在没有好撒玛利亚人法的国家，在法律上因为怕惹上麻烦，恐惧被波及而无所作为的旁观者确实是无罪的，但是在人性上呢？"
liudae,看过,推荐,2019-06-30 10:16:13,192,第一，儿童虐待与正常家长打孩子是两码事，现在的观念容不得打孩子，但是很多时候打几下孩子是正常的，因为孩子太不听话。第二，本片中关键证据是视频，如果没有视频呢？现实中将会有百分之99的案件没有这个视频。第三，为何不调查邻居获得证据证人口供。
亮仔,看过,力荐,2019-07-05 13:50:19,8,看过真的很气愤，家庭暴力的危害无法想象，银幕里只展现出了凤毛菱角，太多的孩子被继父继母虐打，这样的事件真的是让人无法忍受，久久无法平静的感觉。两个小演员太给力了，带入感强，感动人心！柳善塑造力也是真强，之前有过被害人的角色，如今强势转换，让人恨之入骨！李东辉也有了真正男子汉的角色！至少可以让我记一辈子！已经入选我今年韩影十佳之一
