用户,是否看过,评分,评论时间,有用数,评论
展颜_YangLiu,看过,推荐,2019-08-10 11:46:09,505,我在雨中等你，是我高考前半年看得记忆最深的一本书。在那个时候，花一天时间读一本跟考试毫不相关的书是很奢侈的。后来，the art of racing in the rain又成了我读完的第一本英文小说。快要十年过去了，如何能想到十年后我在美国独自看这部电影？世界真奇妙，我要珍惜每一刻。
我是大皮哥,看过,推荐,2019-10-28 20:03:40,104,"The best drivers focus only on the present. Never dwelling on the past, never committing to the future. “What if I don't win?” “There's no dishonor in losing the race, there's only dishonor in not racing because you are afraid to lose.” If a driver has the courage to create his own conditions, then the rain is simply rain."
淋,看过,推荐,2019-10-29 14:32:51,81,深深的刺痛了我们曾经抗癌的时光
曼靑,看过,还行,2019-10-30 22:58:38,100,妈呀，新出电影资源的字幕真的是烂得一塌糊涂，靠着我半桶水的英文强撑着看完了整部电影。Enzo 曾说：「我曾经看过一部关于蒙古的纪录片。在蒙古，人们相信，当一条狗死后，它的下一世将化身成男人。」Enzo 死后的很多年，某一天有一个车迷小男孩儿来到赛场上找到 Denny 要签名。Denny 问他叫什么名字，小男孩儿说我叫 Enzo。 Denny 笑了笑说，你让我想起了我的一个老朋友。我的妈呀，看到这里我瞬间泪崩！虽然犬类故事电影都大同小异 总会讲一些忠诚和成长的故事，但是不管中国还是美国，投胎转世的这种梗都实在是太好哭了。
狮与羊,看过,力荐,2019-08-15 09:33:36,159,跟这几年其他所谓feel-good实则消费狗粉的片子不一样，这一部关注的重点是生命的苦难，剧本写得很用心也有诚意，是个惊喜。
Eigagann🇨🇳,看过,推荐,2019-11-06 21:09:14,64,"不养狗的看了可能会觉得平淡，但养过狗的人一定又会嚎啕。舒缓，温情，一只想变人的狗狗，与两代人相处了漫长又短暂的一生。生命蜿蜒流长，本无太多悸动，直到结尾那个满眼含情的金发小男孩，对着男主说出自己的名字时，眼泪才会决堤。主人公说你让我想起我的一个老朋友。对啊，陪伴了10年的曾经那么亲近的一个伙伴，它就是我们这辈子遇到过的最好最好的那个朋友。
ps.奥斯卡要颁奖的狗狗演员已经快绕地球一圈了。"
Hubble,看过,力荐,2019-08-14 10:01:51,161,比起《一条狗的使命》，这片真是太好哭了…😭
贝阿朵莉切,看过,力荐,2019-09-08 12:44:57,138,此狗该拿奥斯卡 😃 很别具一格的角度看待生活 生老病死一应俱全
无敌的sylvia,看过,力荐,2019-08-13 14:51:35,86,十年前看的书，十年后电影院里哭得直抽。爱你眼中的丹尼，更爱眼中只有丹尼的你。我爱人也是醉了，老看我给我擦眼泪，就不能让我好好的哭晕过去
纯不真,看过,力荐,2019-10-30 04:15:23,80,"当我清晨醒来，轻轻走到沉睡的你身旁，默默趴在床头注视着你。这样你醒来第一眼就能看到我。我被你驯服，我们彼此需要。
对于我来说，你是这个世界上独一无二的男孩;对于你来说，我是这个世上无法替代的puppy。我和你热情嬉戏，你教我人生百态。我参与你的生命，你见证我的一生。
当我走向终章，轮回变迁，我们依然机缘相遇。
So,will u take me back to start？"
桃桃林林,看过,还行,2019-09-12 16:42:03,41,狗党煽情片，借狗狗的眼，看人类的悲欢离合。宠物嘛，最重要的还是陪伴，所以最后那段老朋友的描述，还是挺感人的。以及，赛车部分拍得也还可以。
瑞思勒之墓,看过,还行,2019-11-03 16:47:33,32,现在的狗狗电影怎么都是走人类自嗨路线？
一只掉了的马甲,看过,推荐,2019-08-11 03:30:19,53,金毛过于可爱了，最后也太好哭了叭
bobobolao,看过,推荐,2019-10-26 10:40:59,27,前半段非常催泪，后边那段略显冗余，影片整体节奏较慢，较长的片长显示出剪辑的一些短板
helloliu,看过,推荐,2019-10-30 04:17:35,22,人生，有时太长有时太短。珍惜眼前，活在当下，做一个生活的赛车手。
Panda的阴影,看过,推荐,2019-10-30 17:51:32,16,用狗狗的视角讲述它以及主人的生活，故事比较贴近现实，但狗狗的旁白于我反而有些破坏这种真实感，剧情整体偏平淡，娓娓道来的叙事节奏也有些缓慢（正片开场戏-恩佐躺在地上的段落看得想哭，本以为后面会更催泪，结果……）……我反而更喜欢把我看得又笑又哭的《一条狗的使命》第一部。—— P.S.：台灣海報上寫：【馬利與我】王牌製作團隊 溫馨動人力作。然而查了下，導演編劇不同，原著作者不同，演員卡司不同……呃呃？？就因为製作公司都有「Fox 2000 Pictures」？？……不过，想想，如果丹尼饲养的「恩佐」是只像「马利」那样精力超级旺盛的狗狗，那这个故事应该就大变样了？！
猪头妖怪,看过,还行,2019-10-29 02:46:17,17,尽管还是逃不开老套的煽情，但整体水平还是比同题材的《一条狗的使命》稍微高了那么一点。
August,看过,还行,2019-08-13 12:40:58,12,看完想养狗系列+1。后半段变成大小谎言2剧情。结尾还是很感人的。
李濛Lemon,看过,推荐,2019-11-01 23:12:28,6,又一部洗脸片ಥ_ಥ
陈先生,看过,还行,2019-12-15 20:50:39,2,为了金毛而看的，剧情方面，开始的三十分钟既平淡又无聊，男主买了狗，男主谈恋爱结婚生女儿，接下来半小时女主绝症逐渐恶化，金毛被遗忘在家里的两天看得我心里很不好受。然后女主死了，男主和岳父母打官司争男主女儿的抚养权，下雨天男主不牵绳带金毛跑步，金毛被车撞了，所幸无大碍，接下来是老狗戏份，男主夺回抚养权，开法拉利带老狗兜风，后来去做法拉利新车测试了。两只金毛的表现都很棒，但是剧情真的无聊啊。
pagliacci,看过,力荐,2019-10-29 22:03:43,14,生活质感充盈的温情日记——故事脉络在情理之中，反角也在合理的时间被加以遏制。米洛·文提米利亚的美利坚好男人滤镜实在让人无法拒绝，阿曼达美好的让人心疼。我是你的狗狗，我对你而言，是最好的；你是我的主人，你对我而言，是唯一的。（3.5，但杰克太好我没办法不加到五星。）
斯齊佐飛力尼克,看过,推荐,2019-12-04 14:21:48,7,其实我不太喜欢将狗过于拟人化，并且把狗的形象描画成无怨无悔的作品。不过这一部做得不错，至少不会过分的自以为是，把人类当成狗的宇宙中心。
帝国时代,看过,力荐,2019-10-26 21:44:05,13,让人泪崩的电影。我想到的问题是：我们的电影为什么讲不好一个哪怕是简单的美好故事，我们到底缺了什么？
同志亦凡人中文站,看过,还行,2019-11-21 00:04:52,3,狗生太短，人生太长，这才是最悲伤的吧。拍得很治愈很美剧，狗狗的配音居然是凯文·科斯特纳…
幸运+++,看过,还行,2019-11-01 12:22:56,2,一般般吧，没触动到我😂
kiki204629,看过,推荐,2019-10-31 22:10:57,5,小玩具不是我咬坏的。呃。。。
梦行30,看过,推荐,2019-10-30 15:59:44,5,狗狗演的太好了！抢文件那段好夸张，狗狗真的太善良了。米洛老了许多😂
probe,看过,还行,2019-11-15 14:27:55,2,中规中矩的温情片，对爱狗人士来说也不需要什么高潮，可能狗的一个眼神就是高潮吧
老羊,看过,力荐,2019-11-08 16:25:30,7,是该让眼睛洗澡了
人间退步,看过,还行,2019-11-12 20:01:53,1,暖心的宠物电影，不过故事太平淡了
释迦尼莫,看过,还行,2019-10-28 20:28:45,2,"看完以为是很久前的片子，因为真是老套啊，但谁叫我就是很吃这套呢. People’d  often heard the expression “ to be a better man”, but I knew no better man than you."
苏菲菲菲菲飞,看过,力荐,2019-08-10 15:14:04,5,哭惨了！！
Dita,看过,还行,2019-11-17 21:34:08,0,🐶挺感人的
女神的秋裤,看过,推荐,2019-11-04 14:39:35,3,非常好看又富含哲理的狗片+赛车片，结尾牛掰哭了。
张咏轩Wayne®,看过,推荐,2019-10-30 21:19:42,2,宠物电影真的太好哭，开场结尾两场戏简直就是大型催泪弹，一段生命的轮回转世又再次遇到，终于圆了它想说话想being human的愿望，陪伴真真是最长情的告白啊。电影以狗狗的视角观察人生百态，慢条斯理，娓娓道来，将其行为拟人化内心语言化，理解更为生动直白，戏剧更富有张力，用短暂的生命历程陪伴主人人生中几个重要阶段，虽然故事还是套路的生离死别加狗血情节，电影也是极其克制的煽情，但依然架不住此类剧情的抵抗力，将丰富的语言文字转化成动人影像，更能召唤出内心最柔软的部分，就像结尾狗狗恩佐终于坐在主人的副驾驶上，自由圆满，美好向往，如沐春风！★★★☆
feeling,看过,推荐,2019-10-26 12:04:27,3,影19305：男主生活因狗改变。
Sean长安,看过,推荐,2020-02-08 23:08:33,1,"8.0
  平淡且温情的故事。今天是元宵节，愿疫情有所好转，也愿我家狗狗能找到回家的路，已经丢了几天了，看完这片时直接哭了。观影结束后我一直在思考人类和狗真的只有友情和犬主之情这类建立在自我内心和他人眼中的关系么？
  我已经好久没写一些关于电影的小短评了，每次观影结束都想bb几句电影叙事，剧情，主题怎么样，但是为现在才发现，要是真的很喜欢一部电影，我会选择暂时性的沉默，然后去回味电影给我带来的感觉，去思考在我生命中的意义与地位。"
十个斗的眼窝浅,看过,推荐,2020-02-11 18:54:58,0,"其实有没有宠物都无法改变人生！有了宠物，它就是你心灵的慰藉，而你会改变它的宠物生。它不会说话，可是它什么都懂！
癌症和宠物的梗就是好哭！"
Dioretsa-Z,看过,还行,2019-11-04 00:30:35,3,一部剧情平平的温情电影，人生酸甜苦辣一应俱全，酷似《一条狗的使命》加长版，结尾有点意思，意大利小“金毛”，随你怎么想反正我信了。
Dmoke,看过,还行,2019-10-27 12:58:32,1,很好奇法拉利有赞助吗
西楼尘,看过,较差,2019-11-15 00:46:31,21,一只狗会懊恼自己是条狗，当主人病重时说不出一句话来安慰。也会庆幸自己是条狗，当主人难过时不必说些尴尬废话来安慰。目睹了一个家庭有生有死，有攻击也有原宥，可以听到所有人无所顾忌地议论，却无法把看到的真相呈堂作证。他们只当它是条蠢狗，却不知蒙古国的传说里它能阻挡邪恶的斑马，灵魂转生。
梵目,看过,推荐,2019-11-04 02:46:47,0,有趣人生
流光溢彩`,看过,力荐,2019-11-06 21:34:37,3,年度惊喜，比《一条狗的使命》要好不少，原著作用太大了！狗狗台词写的太棒！再加上科斯特纳这饱经沧桑的嗓音，赋予了这个狗狗角色以饱满鲜活的灵魂，也让这个以宠物视角叙事的生活小品如此贴切又充满哲理。结尾叫恩佐的小男孩更是神来之笔。“狗可以改变世界的节奏，人只能被世界左右”。“如果赛车手可以自己创造场景，那么下雨就不足为惧了”。全片最动人的一幕在海报上。
天外飞青,看过,较差,2019-11-04 19:54:33,7,在美妙的结局也不能改观这个流水账故事的无聊啊。哪怕是用可爱温馨的狗狗拟人化视点，其实这就更无聊了。
醉舟一季,看过,推荐,2020-02-04 11:34:38,0,I'm just a dumb dog
Vivian,看过,推荐,2020-02-12 19:37:02,0,一人一狗一生
LoudCrazyHeart,看过,较差,2019-11-13 00:57:41,3,好像很感人，但是无法掩盖确实只是为了人与宠物之情而作的一部言情小说。第一人称视角很多例子了，还是以同样的套路，没有任何一丁点的变动。
捏包包,看过,推荐,2020-02-03 20:58:00,0,跌宕世道中看这个让人平静
布拉德痞特儿,看过,推荐,2019-12-13 10:08:05,0,虽然从头至尾，科斯特纳都在不断地念着旁白，但片中的狗狗更像是一个旁观者，并没有对剧情产生多大的作用。不过无论如何，有狗的电影都不会太差。
不懈不戒,看过,较差,2019-10-27 20:52:03,1,略平庸。
阿稚,看过,还行,2019-10-30 10:45:47,1,在宠物视角电影中算是不错的了，剧情比较饱满，金毛守护天使和赛车线各有看点。不清楚小说背景，大龄男主最后梦圆跃马甚至赶超塞纳放现实里蛮扯的
stacy,看过,推荐,2020-01-09 10:24:52,1,结局哭瞎，狗狗和主人一起在车里一圈一圈转着的时候。
锐利修蕊,看过,还行,2019-11-01 00:57:58,0,看完电影才想到，好像看过小说。
曼特宁,看过,还行,2020-03-03 11:34:38,0,又是极速又是忠犬，愣是做了一场苦情流水帐
绿色帽子的绅士,看过,力荐,2019-11-02 02:21:40,1,或许是2019年看得第一部煽情励志片也是个人认为最不错的一部，电影利用狗狗的视角观览人的生活，生活的喜怒哀乐充分得到体现。
Whysu,看过,推荐,2019-11-01 13:29:09,2,恩佐在雨天望向窗外的画面一出仿佛穿越到初中读原著小说的时候。除了结局之外，忘得很干净了，四舍五入基本是新故事。男主角这种老好人人设千篇一律，倒是阿曼达的表演可以满分了。狗狗演的也好。
luerdelphic,看过,还行,2019-11-04 22:12:35,0,温馨，家庭向的宠物电影，剧情稍无病呻吟了。。。结尾动人😂其实人们只想听美好的谎话。
湖边の许愿树,看过,力荐,2020-01-26 21:45:07,0,在家中躲避新型肺炎与小姐姐一起看得泪目。本来就对狗狗题材的没有抗拒力，结尾带老友兜圈+父女“重逢”Enzo是神来之笔。
Chris Tang,看过,较差,2020-03-05 00:38:40,0,抱歉这部我是真不懂了，Milo Ventimiglia从头到尾没有任何缺点就算了，为什么一定要赋予一条狗一个人类哲学家的灵魂，以及一个上帝视角？你说这是人生的喜怒哀乐，老实讲我看到的只有严重过量的鸡汤，然后贯穿始终的暖色滤镜+煽情配乐真的没办法让我感动，只觉得矫情。我相信在书里，笔者透过狗的口吻，时不时透露出的人生智慧也许是真的动人，那种涓流般的文字会是这个故事好的载体，但电影化之后，居然变成了这么一本冗长死板又乏味的流水账也是让人相当吃惊。只能说不是什么作品都适合拍成电影吧。
白牙尖,看过,还行,2020-02-26 15:17:07,0,没什么特别感触，印象最深的台词是：输不可耻，可耻的是因为怕输而不敢比赛。
岁月何须溪上记,看过,推荐,2019-12-11 07:27:35,2,金发小男孩名叫恩佐，男主说“他让我想起了一个老朋友”。啊，泪奔，为你转世为人的狗狗。The Art of Racing in the Rain 这个片名真好。
浑浑噩噩,看过,力荐,2019-12-28 21:16:48,1,这是一个 男人 老狗 赛车手的故事
给你我最亲爱的,看过,还行,2019-12-22 18:49:05,0,人生太长，狗生太短，真是哭的稀里哗啦，面临不了离别。
WilliamOsborne,看过,还行,2019-11-07 17:09:47,0,7/10，有金毛，有jack，有温情，有法拉利
Valuska,看过,还行,2020-03-09 08:49:29,0,6/10
曳尾于涂,看过,还行,2020-02-28 16:26:03,0,3.75
