用户,是否看过,评分,评论时间,有用数,评论
要丸,看过,推荐,2020-02-29 11:34:06,16,"“we do not remember days，we remember moments.”
life is a mess，but i still want to remember these moments."
飞侠式拼搏,看过,还行,2020-03-03 00:48:25,35,《纽约的一个雨天》《所有明亮的地方》，两部影片中艾丽·范宁都穿了一样的内衣。
桃桃林林,看过,还行,2020-02-28 20:26:24,12,小文艺与小清新的套路爱情片。音乐还是好听的，其他就没有了。
JamieWeirdo,看过,推荐,2020-02-28 18:22:24,9,"看似治愈其实是一个很沉重的故事.‘Suicide is never an option,but a decision.’ 这本原作让我联想到John Green的The Fault In Our Stars"
柯里昂,看过,还行,2020-02-28 22:30:19,11,依旧是布雷特·海利乐于拍摄的生活流小片，但每一部都要给角色一个特殊的身份设定也从某种方面说明了导演的“技穷”吧。
梵目,看过,还行,2020-02-29 01:54:41,3,内心飞翔
基瑞尔,看过,还行,2020-02-28 20:37:54,6,精神健康的困扰，迷惘的青春，在小镇和分叉处经历着的煎熬，对于悲伤的学习与抵抗…就很老套的YA元素打包了个遍，没有太多惊喜。Elle突然回去演了个这个，比较无语。但又偏偏很吃Brett这几部都很暖洋洋的风格，借以在低温即将过去的时候认真取暖。
苏丽珍,看过,较差,2020-02-28 23:08:15,12,没有什么喜欢的地方，只有男主把女主violet叫 ultraviolet比较有意思吧，紫罗兰成了紫外线哈哈吼。
隔壁菲儿,看过,力荐,2020-02-28 19:18:47,14,我太喜欢这种题材了。有点像《没关系，爱情啊》世界依然遵循着自己的规则 而我们带着创伤要重新爱一遍这个世界。
NoDistance,看过,较差,2020-02-28 21:17:45,6,期待了半天原来是个悲剧 预告比正片好看
Enjolras,看过,还行,2020-03-07 15:43:45,1,低配版《乌云背后的幸福线》，最终却是个《泰坦尼克号》的结局，两个小年轻演员的表演终究还是比“温李”或“詹布”差一截。
Evelyn刘,看过,还行,2020-03-05 21:46:14,5,看过原著，原著把芬奇的心理描述得更加细致，让人完全能理解最后他为啥会选择自杀，电影却把更多重心放在了V的痊愈以及两人的爱情故事上，忽略了对芬奇这个角色更深刻的塑造。
栅栏间隙偷窥你,看过,还行,2020-02-29 16:51:12,4,Fanning粉红小🐷人设不倒，可爱，而且她的表演很适合独立片，随性自由。有法裔血统的男主气质好迷人。
蒙奇D,看过,还行,2020-03-08 18:48:15,0,"悲剧更动人，特别是这种从头开始就笼罩着悲伤的电影。
艾丽的好友意外身亡，艾丽在想要自杀时被男主救下，然后他们成为情侣。其实男主有更长时间的心理疾病和童年阴影，不管艾丽怎么努力，男主最后还是自杀了。
迷人的悲剧气息和痛不欲生的悲惨故事是有区别的，电影有了让我喜欢的伤感味道，但最大的败笔是男主自杀的动机不足，男主内心的折磨和情绪转变刻画不清晰。要不这电影还能上个层次。
类似的悲伤爱情故事和青春残酷物语还有很多，推荐《我和厄尔以及将死的女孩》和《消失的西德尼·豪尔》（也是艾丽演的）。"
林少夫人,看过,还行,2020-02-29 22:24:43,2,音乐比剧本好。范宁还是要演这种小片子才略有味道。
Madeoan_,看过,推荐,2020-03-01 00:07:46,3,justice跟fanning都很绝了
七姐Claudia,看过,推荐,2020-03-01 01:02:52,1,一部稍显平淡的爱情片，它注定只会被一类人欣赏而被大部分人不屑。没有经历过至亲去世带来的创伤和没什么心理问题的人可能会看睡过去；经历过这些的人看这部电影才会感同身受。台词优美，艾丽范宁第一次演这么严肃的角色，表现不俗。男主角的演员如果找更有魅力的性格男星来演效果应该会更好。
Alpha,看过,还行,2020-03-01 21:05:21,0,平缓的角色，平缓的剧情，平缓的神经病，艾莉范宁好像不年轻了
陆支羽,看过,较差,2020-03-09 00:05:12,0,2.5。
就是喜欢戳爷呀,看过,推荐,2020-03-04 14:43:30,1,"看过书之后对这部电影真的really really 期待!!!
补:看完书看电影，时隔一年。我觉得电影里芬奇对薇欧拉的意义以及最后自sha的动机都没有阐释清楚，我要是没有看过书，会觉得一头雾水强行悲剧。"
