用户,是否看过,评分,评论时间,有用数,评论
锐利修蕊,看过,推荐,2019-09-29 23:19:19,2651,居然还挺不错！算是超出预期。整部影片最强是它的节奏感，属于那种跟着剧情行经幽暗与明亮，垂直向上，然后见山，见天地，最终见着自己。两次攀登的主线一轻一重，开篇光影拉开即吊着一颗悬着的心，到最后情绪跟随人物着陆，这样观影过程也完成了一次“攀登”。这部电影的主角是那座珠穆朗玛，至于山脚下的人物，各自带着心里的纠结和遗憾，几组人物关系设置也很细腻，没想到会被方五洲和曲松林的故事打动，属于人与人之间多种缘分羁绊。群像叙事，但没有高大全的架构，是我对“山高人为峰”最好的理解。
Cycble,看过,还行,2019-09-29 22:17:21,4280,作为类型片或者爱情片，好像都差点意思，但是张译这个人物刻画得还是挺好的，先是因为自己的遗憾犯左倾冒险主义错误，急功近利，过于激进，不管他人死活都给我冲冲冲上上上，后期又因为死了人犯右倾机会主义错误，只言责任，不信科学，一朝被蛇咬十年怕井绳。多少人一生都活在错误里浑然不觉，多少人一生活在错误里觉察了却又跑偏，可又有谁的人生不犯错，犯了错能觉察，觉察了能改掉呢。人生，就是登山，早一步晚一步都是常事，难的是刚刚好，所以，山在那里，去找你的刚刚好，一览众山小吧。
郭连凯,看过,推荐,2019-09-30 00:09:30,2270,拍的最好的部分无疑是几次危机片段，镜头剪辑调度都是国产片能达到的最好水准了，几个人物写的也相对饱满，比国庆档另一部灾难题材的好上不知道多少。再吹一下张译吧，虽然他的角色一直都是在后方指挥和支援，但也就是这种没有什么戏点的戏，才能看出演员的演技，他只差一个挑大梁的主角角色证明自己早就拥有的影帝实力了。
瑞波恩,看过,推荐,2019-09-28 22:56:15,34,点映。与信念有关的生死攀登，正如那句名言“山就在那里”，他们是不该被遗忘的一群登山者。欣慰的是，国人登顶珠峰的历史终于被搬上大银幕了，而登顶的特效在国片里也堪称登峰造极。攀登珠峰的场面真实又惊险刺激，而接连牺牲那么多队友之后，换来的胜利更是来之不易。国际章与吴京都奉献了良心演技，井柏然与黑牡丹无疾而终的恋情让人感慨唏嘘。没想到编剧是阿来，徐老怪的监制不负众望，本片绝对可以称得上今年的一个惊喜。
天马星,看过,还行,2019-09-28 17:50:24,1166,按理说攀登珠峰这题材属于冒险片，但看完思来想去这其实是部爱情片，电影的基本结构就是谈谈情登登山再谈谈情再登登山，这么好的题材这么好的演员阵容想不到导演处理成这种结构，一时竟无语凝噎，我掐表算了一下一个一分钟的段落里没有超过十秒的镜头，演员刚要进入角色状态镜头切走了，情绪铺垫全靠泛滥的配乐。本片里年轻演员尤其井柏然的表演基本好于老演员，子怡不知道在演啥，对手戏中被吴京吊打啊。不得不承认吴京带不起李仁港。
💙,看过,推荐,2019-09-28 22:11:44,360,（不散2）哭点长小井身上了，真的演得很好啊，割绳子爆哭，照片更爆哭，进步很大，为他开心。世上无难事，只要肯攀登！电影动作戏主剧情都很好，副cp感情线也加分，就是主角的感情戏就emmm。最后本强迫症对嘴型对不上有点非常难受。
八 四 日,看过,推荐,2019-09-29 23:12:36,271,几位老戏骨和新生代演员的默契配合是影片的一大亮点，演员眼神里都是戏，一滴泪水和一个笑容，都是本片的加分项。影片节奏紧凑，刺激惊险，一点都不拖泥带水，感情细腻且生动，直戳泪点。影片的画面制作精良，尤其是雪崩的镜头和搭梯子攀越第二阶梯的部分，精致的特效绝对是本片的又一大亮点。
妍春,看过,还行,2019-09-28 17:18:43,436,中线附近商业片，观感上坐立不安比例较高且集中在后段，后期配音折射出的制作态度太恶劣（谁的意见，是为省预算么）。方五洲-松林间的张力与李国梁的牺牲等两处剧本是受了高人指点吧，国产片还没这么玩儿过，有趣；其他方面就老样子，缺少厚积薄发的沉淀与清明澄澈的审美。国产片这么玩，和陈凯歌自甘堕落有什么区别呢。
𝑹𝒂𝒅𝒊𝒐 𝑫𝒂𝒚𝒔,看过,还行,2019-09-28 23:55:40,1001,5.0 / 文戏坍塌，武戏生硬。本来登山题材作为职业类型片，应该给到观众相关行业的知识和技能的展示，而这部完全用简单粗暴的动作戏代替，甚至超英化。就像看完《勇往直前》你会学到灭火知识，了解灭火流程，但看完《烈火英雄》你只记得消防员如何惨烈，电影多么煽情一样。文戏也难以说服人，比如井柏然和藏族女孩莫名其妙的感情线，吴京和章子怡让人尴尬的对手戏。还有，嘴形对不上真的太影响观影效果了。加上剪辑凌乱，背景音乐强行煽情，简直目不忍视。不过还是要夸一下，张译全场演技最佳。
室内滂沱,看过,较差,2019-09-30 00:23:13,1577,带着很大期待去看，但结果令人失望，觉得是片中所有明星演过的最差的电影，而且看到章子怡在她生涯这个阶段演了她生涯最空洞角色，感觉更为糟心。主要体现在技术层面不太过关，演员们都对不上口型是怎么回事，而且剪辑中镜头的衔接也有不少纰漏，李仁港还是不太靠谱啊，特效也平平，雪山和暴雪很难做得好。所有关于吴京的戏都是夸张的，所有关于吴京以外其他人的戏都是老套的，表现两对恋人，和最平庸的电视剧里的手法没什么区别，吴京用他无比严肃焦灼的表情喊着让章子怡多喝热水，直接看笑场了，更不想追问章子怡这角色是怎么从一开始蹦蹦跳跳一下子生病的。虽然背景设在六七十年代，但并无对时代背景更多展现，更像是架空电影，直接进入吴式宇宙。面对一部不讲道理的电影，如果执意要追求道理、什么事都要问个所以然，自己就会很累心，所以不想较劲。
孔府小鱼,看过,还行,2019-09-28 18:15:09,1342,9.28点映，不应该叫《攀登者》，就应该叫《珠峰绝恋》，登珠峰的时候用公共通讯频道谈恋爱，真的没有必要，还把中国第一个北峰登顶珠峰的女登山队员拍成恋爱脑。 大规模改台词重新配音，浪费了张译和章子怡的台词功底，表情带的感情和台词语气带的感情配不上，吴京的动作戏过于浮夸，海拔六千米以上再敏捷也不是飞檐走壁那种敏捷，而且浪费太多张译的表演，和吴京的对手戏完全能撑起大半部电影，愣是半路失踪。非要横着比，比《战狼2》都不知道差了多少。
超搞笑级的？？,看过,还行,2019-09-28 17:16:07,374,二十多年过去了，李仁港的抒情基因依然没有变，甚至在配乐上有点变本加厉，电影能看出在剪辑和台词上有大刀阔斧的改编，到如今的成片来说不算差，灾难戏也在水准之上，可惜李导还是没明白，就算抒情不溢出来，我们也会发自内心地为他们自豪的
女宛心兑,看过,推荐,2019-09-28 21:20:33,49,幸运抽中超前点映，整体场面和紧张感还是有的。也因此更理解攀登的意义。整体演员是加分的，导演稍弱，组织情节和镜头运用不够自如。anyway加一星给n年之后终于见到井宝本人。
水浒三国金刚,看过,还行,2019-09-28 17:38:27,141,特效一流，攀登过程惊心动魄，那个年代国家虽处于动荡坎坷时期，但中国登山队等英雄们仍坚持数次挑战从北坡攀登地球最高峰探索无止境的科学边界，在极寒缺氧雪崩风暴等人类生存极限空间里向世界展示中国力量！吴京张译章子怡演得很感人，井柏然胡歌陈龙也还可以。说完优点说两个缺点，一个是剪辑，前半段一些情节切换突兀不顺畅，比如方五洲讲课被学生打断回忆那段应该衔接更紧凑一些；第二个是感情配乐太抢戏
