用户,是否看过,评分,评论时间,有用数,评论
Berengaria,看过,还行,2019-08-30 19:05:37,1339,还是比较平庸的。
Wallys,看过,推荐,2019-08-30 19:57:42,950,我的目標不是星辰大海，而是終結孤單。James Gray（又）醞釀了一場情感與救贖之旅。他擅長的窗框層次感的調度、濃厚的黑，這次找到一個微妙適合的所在——宇宙——鑲上他慣有的烏雲金邊。這個冒險其實像是主角說的I am pulled farther from the sun的諧音，這場之旅也是father to (from) son ：父親船上的絕望感染像是伊卡利號，而自己則是一個人的索拉力星，但不是星球映射了內心，而是更主動的在他人（宇宙）作為反射物上追尋與認識自我。不如說像是潛入內心的宇宙（父子兩人疏離穩定到非人的心），他發覺父親無止盡追尋的宇宙太過龐大美麗，而那裡愛與溫度太稀缺——比他以為自己低限需要的還稀缺。他在太陽系邊緣認識到極限，觸碰到邊界，才框限出他原來是人，折返出自己的疆域。
Peter Cat,看过,力荐,2019-09-19 00:51:44,760,站在《地心引力》肩膀上，但此刻又实在觉得《地心引力》有点俗。但从某个方面，又把狭义航天电影沿着《地心引力》反方向做到了尽头（足可见《地心引力》厉害到彻底奠定了新的航天电影语法）大概算是詹姆斯·格雷《史崔特先生》，也是近年这几部太空片最大公约数，说是平庸的极致也不为过。
谋杀游戏机,看过,还行,2019-08-29 17:12:42,762,《爸爸再爱我一次》，剧情和科幻设定都挺无脑的，节奏很催眠，靠皮特颜值强撑。与地球无异的月球和木星生活基地还算有点新鲜感，但那么远跑一趟就为发条语音？他爹打算怎么一个人在外太空生活下去？学马特达蒙种土豆都比这里更现实啊。
大聪看电影,看过,推荐,2019-09-19 22:32:54,739,"绝美克制的太空画面，克苏鲁式的故事架构，依然沉稳帅气的布拉德皮特，极度舒适的文艺配乐和节奏，这些都是《星际探索》吸引我的魅力。
很多人评价影片虎头蛇尾，相反我觉得这是影片区别于传统动作科幻片的品质，突出了太空歌剧风格，有人很喜欢，有人昏昏欲睡。
影片表达意义在于每个人一生都在找寻自己生命的答案，无限的太空可能会让你找到答案，但人类精神上的沙漠太空却无法滋养。人类很伟大，人类很渺小。"
九只苍蝇撞墙,看过,推荐,2019-10-03 23:25:52,623,感觉马力克会心生妒意：明明是我的片，怎么属上了格雷的名字，哈哈。无论如何，在好莱坞制作这样没有剧情只有思绪的片都值得无限褒扬。画面中皮特的特写和宏观宇宙交织一起，成了一体两面的超验存在。所有看似应该结构化强调的段落，月球车枪战，猩猩突袭食人，甚至太空舱争夺，都被处理成与世隔绝的头脑中对外界的困惑感知零碎片段，在隔膜而模糊的声响绝缘处理中，突然发生，没有解释，更无头无尾随星辰流逝飘然而去。老塔活到现在，要呈现太空漂流中的诗意，恐怕也就是整个样子了。唯可惜的是结尾落回了通俗的父子情深，结果被凿实而顿失飘逸的流逝感。MAX RICHTER的配乐实在是太强大了，简直是有史以来最佳太空电影交响曲。终生可以沉醉其中的影像配乐。
下吧下吧赤道雨,看过,还行,2019-08-30 19:16:08,484,有银翼杀手2049的视听效果，但是不够，好像想要表达深层含义但是又浅尝辄止
亵渎电影,看过,推荐,2019-10-02 11:37:18,772,一直在怨念詹姆斯·格雷导演上一部《迷失Z城》在国内上映的时候，被大规模的删减，对于这种反类型的作者导演，删减是最致命的伤害。这回终于在大银幕上看到了原汁原味的《星际探索》，每次看完格雷导演的电影，都想打五星，他的视听语言就是电影，很有老派电影人的感觉，但他在剧作上一直是反好莱坞类型片的，想看故事的人永远都不会在他的片子里爽到，有视听洁癖的人又很容易高潮，这就是为什么法国影评人会对格雷这种作者电影情有独钟的原因，他是好莱坞的异类。这部新片在情绪的控制上跟《降临》有的一拼，孤独的情绪从电影的第一秒蔓延到最后一秒，以一个男人内心的自我剖析讲他如何打开父亲的心结，在看过眼前宇宙的虚无之后，有勇气去面对过去逃避的身后的一切。不以情节见长，整体的故事节奏却是没得挑，可以用完美的艺术品来形容这部电影了！
R.Z.,看过,2019-09-20 09:19:20, ,189,完蛋，电影院里睡着了...从见到爹到炸掉爹期间都发生了啥（捂脸
Meng,看过,2019-08-29 22:59:31, ,123,谁此时孤独，就永远孤独。
