用户,是否看过,评分,评论时间,有用数,评论
下克上,看过,推荐,2019-05-26 02:01:12,197,十分大胆的美术风格。可惜摊上一个俗套到无以复加的剧本，挺好奇为什么请得起这么好的作画这么好的配乐却搞不出一个合格的剧本呢。离完美只差一步。
夏南,看过,推荐,2019-07-02 22:16:00,72,绝了 竟然是这样的动画电影？脑洞太大了 审美真的很好 空间设计绝了
同志亦凡人中文站,看过,推荐,2019-11-30 12:33:30,51,粉红爽片，又热血又燃还有点二，配音全是扛把子。机甲战士的冰与火之歌，俩男主在决战中接吻…人干事？
Joywhen,看过,力荐,2019-08-16 19:51:49,241,真男人就是钻穿地心也要救心爱的男人！
WeirdFishes,看过,力荐,2019-05-27 00:09:11,168,在“高考誓师一百天”下面当堂炸成一朵烟花，然后世界随之毁灭……是我儿时浪漫的梦想之一（
橘 きよあき,看过,力荐,2019-05-25 21:39:35,117,炸裂。奢华的金田流作画狂欢、各处被大量运用的雅致凌厉的正三角几何体、奇想天外的跳脱电波系调色、轻松抹去2D与3D界限的无线条平涂、澤野弘之近乎原始神明崇拜的凄厉配乐，均使这部片的时髦值和冲击力达到了Trigger史上的新高度。剧情虽则与KLK之类一样，荤腥夸张到孩子气的程度，但也偶尔有平静节制、堪称隽永的时刻，我满足了……
钉宫党的胜利,看过,还行,2019-05-26 20:15:27,71,看前面和后半部分的时候我看得快睡着了。整体故事展开飞快，就像把一整季的故事都塞进一部动画电影里了一样。讲实话剧本没有任何新意，套路的故事套路的人设。主人公的热血笨蛋人设，不知道是文艺复兴还是为什么，但怎么看都有些过时了。演出依然酷炫爽快，不过分镜切地太快，加之我坐在前排，眼睛没有跟上。而且总体来讲，对今石洋之的片子看得太多，实在审美疲劳，导致打斗的时候昏昏欲睡。亮点是最后男主男二的深深一吻，这对cp糖我表示我吃，也算是为数不多我喜欢的亮点。总体来讲风格依然独特，但放在今石洋之的片子里没有什么亮点。对没怎么接触过今石洋之的人来说不错，对老观众就差口气了。
说了我是黑无常,看过,推荐,2019-06-06 06:19:25,39,大型兴奋剂现场，偶有安静的文戏我才发现自己在耳鸣。没结束就想二刷，但我真的买不起第二张票了，有大拿安排一下SFC上影一号厅吗？PS. 悠长的人工呼吸坦荡得我没话说，从虚耗中睁开眼的リオ根本火之睡美人，按头卸下巴吃CP，全场一片死寂，可以。19.6.5 @东京TOHO Cinemas上野店
xxxOASIS,看过,力荐,2019-05-23 21:25:04,80,脚本继承天元突破和KLK的衣钵、尤其是角色原案几乎照搬天元突破。trigger这几年来的画面实验加上流行的motion graphic设计风格等等取百家之长酝酿出新时代动画表现手法。虽然机体设计并没有突破前两部的框架（本身今石可能也不在意做萝卜），但是这个炒冷饭和自我抄袭真厉害👍缺点是电影篇幅太短，剧本的反转表现力差了很多。ps：1.见面会的佐倉小姐为什么可以这！么！好！看！2.リオン为什么这！么！可！爱！（香草）2.雅人叔声音定番出戏。3.本质基番，Garo给Lion人工呼吸放了一分钟。
桃桃林林,看过,推荐,2020-02-09 16:50:20,16,画风太强
morning,看过,推荐,2019-05-26 19:39:45,21,松山健一和早乙女太一和雅人叔都配得太好了吧……！
德卡的羊,看过,推荐,2020-02-06 20:30:45,10,82/100，我的天，这是啥爽翻的东西啊？几何大色块满天飞，二维+三维结合的作画炫到爆炸，醒目的风格让人过目难忘。内容老套了一点，110分钟对这种题材和故事有些太长了（反之也可以说故事太简单）。但不管怎样，TRIGGER和今石洋之让人疯狂！
Rhodesia,看过,还行,2019-08-18 19:04:13,33,不适的点太多了，说实在的我宁可去看蜘蛛侠…听出了雅人叔的破锣嗓子我就没入过戏了，虽然个人最大亮点是江户盗贼团组合作为皮下重出江湖哈
徐若风,看过,推荐,2020-02-27 16:40:19,5,没想到最后是“真·燃烧小宇宙大电影”，官方逼死同人。二维/三维×CG/手绘之间的异质拼贴，荧光色系的大幅碰撞，以及高速率的分镜与配乐，整体完成得非常融洽，在视听层面上绝对是去年做得最好的日本动画片，甚至可以说远远超过第二位的《天气之子》《海兽之子》一大截。但故事太遗憾，几乎成为呈现视听的辅助品，为了燃而燃，也没有其他东西，虽然表面上是写了个起承转合，但其实又一直处在一个层面上打转，冗杂的元素都很老套，这也是为什么越到后面越觉得“燃得很平”。
godannar,看过,推荐,2020-02-10 23:00:48,5,实事求是，PROMARE的问题只有一个，但也致命：他明显是由一个更加十分明显大大大的原案压缩而成的。为了保全最后的决战，观众可能不得不忍受作者在电影前三分之二「左手喂你吃一颗葡萄，右手丢出去一串葡萄」的奢侈行径。不过，在某种精神状态下，即使是那被舍弃的部分最终也可以汇合成为一个伟大的绵延体验，现在我想记录的只是这个。
一,看过,推荐,2019-05-26 19:38:29,4,🐔劳紫拯救一切！！！
昏睡红茶,看过,很差,2019-06-24 11:53:48,25,"这片主角才更像恐怖分子,反派才更像正义的一方"
冷凍トイレ,看过,还行,2019-05-29 22:16:28,17,"3.5剧情没意思，中间睡着了。"
灯塔守夜人,看过,力荐,2019-09-24 07:13:15,65,"动画两大帝国的美帝近几年无限将3D动画和特效像真实与现实推进，而日本代表队则又一次把动画与现实的距离拉开，将其打造成梦幻与理想的代名词。

这部动画的艺术表达太震撼了，在整体画风上做的减法通过光效effect和配色补足了视觉冲击。这种2d和3d的效果真的是我的奋斗目标了。科幻和日本传统文化的融合也很令人惊叹。但不得不说泽野弘之的配乐的确带感，但他个人风格太强好出戏啊。另一个出戏的点就是男主的中二癌了，每次他说出羞耻台词都会感叹，不愧是日本动画啊"
蓝调,看过,力荐,2019-05-26 01:11:39,64,棒，人设欺骗我感情画女硬说男٩(˃̶͈̀௰˂̶͈́)و
团小纸,看过,推荐,2020-02-23 22:33:57,0,扳机社和今石洋之奉上的好作品，不合理的透视、几何图形、夸张的配色造就了一部风格独特的作品，不变还是机甲的浪漫，但估计是成本受限，剧情还是弱，但动静相间，静的部分深度还是可以的。
不爱画画的人,看过,力荐,2019-05-26 22:00:23,49,5刷了，感慨看这片只有0遍和无数遍，居然播了5个月还没下线，我还想看！！！！太喜欢这个美术了，角色设计很棒，战斗也爽得一塌糊涂（重点是那么高的饱和度画面和那么频繁的打斗却没有让我感到疲劳……），剧情也是从头燃到尾，扳机社惯有的高潮后又高潮；泽野弘之的配乐也不错。故事算是讲得不错，就是堺雅人的配音中气不足又不符合年龄！绝叫都破音了惹。以为被基情海报骗进来要被喂BG了最后还是搞基，扳机社诚不负我。リオ可爱！！！！！
TwT,看过,力荐,2019-05-26 14:23:47,47,票房十五亿了普罗米亚天下第一。十二刷完了。我还能看五十遍。上次被技术甩脸还是看蜘蛛侠平行宇宙的时候，没有泪点，虽然有残酷表现不过总体还是能开开心心看完，全程震撼，太爽了。音乐和画面太酷炫了，之前对泽野审美疲劳不过这次泽野发挥超好。superfly的两首主题曲好神。也因为声优犹豫过不过声优很合适。剧情可以考据的细节也很多。剧本比隔壁天气之子强太多，我个人很爱中岛写的台词。lio可爱疯了。galolio天生一对。他们俩是命运啊？引进搞快点，全人类都应该看看promare
HC,看过,力荐,2019-05-26 21:28:06,43,堺雅人告诉你一个优秀的演员来搞配音也是风生水起，无所不能。Trigger粉必看。
那朵椰菜花,看过,较差,2019-08-19 14:28:08,7,畫風特別但說不上喜歡，激昂的音樂太吵，亂叫名雖然荒謬但還是中二了點。
悲欢离合变速箱,看过,还行,2019-09-26 21:38:54,13,抱着应该就是满分的期待去看，看完心情有些复杂。从画面和分镜的角度来看，的确是满分问之无愧！这是一部不去影院看会后悔的电影，特别喜欢中间有一段静音黑幕。但剧本的硬伤真的无法忽视，雅人叔的配音也构成了绝大败笔。我是那种即使是爆米花片也喜欢探讨人生深度的人，所以真的因人而异。
塔塔君Minkun,看过,还行,2020-02-06 00:37:33,7,懂了，即使今石洋之、中岛一基甚至泽野弘之再三板斧也好，扳机这群人做出的作品最大的优势是永远能为最传统otaku的部分套以崭新潮流的衣钵展现给世人，所以扳机片再老套也不缺新观众，此乃褒贬双重意味的新瓶装旧酒。倒是视觉效果，看着看着感觉真的有种在看纯正金田片的感觉（指闪瞎眼程度）。
哼哼.floweray,看过,推荐,2020-02-12 20:13:36,2,是男人就开扎古
Wallys,看过,还行,2019-08-22 18:51:53,5,幾何色塊的堅實，一種爽快對二元論的推翻，線條是為著事物和概念已經十分rigid的狀態而存在的，一切規則定義已述明而不可更動的世界裡，人們的作為還有什麼潛能能改變世界、動搖彼此呢？電影創造了的電車難題，跟它的世界一樣分明，乍看數字構成了人類，如線條為著形狀服務，但當你不斷放大裡頭事物，成了一種碎形，這時問題已經有了答案，指向那個一致的對。當事情的對錯涇渭分明時，世界卻為自己的消極更行辯護，陷入更大的漠然，你，一個人，仍能夠堅持嗎？放大這些看似分明的「水火不容」，每個人為固著的overvalued ideas各擁其主到真的無法溝通嗎？當無法愛人的惡是如此明顯，不是正逼迫人們該選擇站在對的位置上？冷調的火，熱血的救火者，在愛與同理的神經元單位上一致，火刷上了溫柔色彩，救人的手心燃起了義憤，大膽地轉換成同義詞。
大草,看过,力荐,2019-05-29 23:41:01,19,我师父堺雅人宇宙第一
事務局長,看过,力荐,2019-05-28 17:33:07,10,リオ好美
Suito,看过,较差,2020-02-10 19:26:36,6,别说剧情了，这片就算是作画都没什么好吹的，而且整体的效果为了追求时髦毫无视觉冲击可言，从头到尾的紫色基调5分钟就审美疲劳了，简洁并不意味着毫无层次可言。恭喜今石洋之，你拍了一部trash
