用户,是否看过,评分,评论时间,有用数,评论
zavier,看过,还行,2019-10-18 02:42:35,4584,这个公主是所有童话故事中最该死的～
David,看过,还行,2019-10-18 02:02:05,1606,凤凰？…………传奇？……
飞侠式拼搏,看过,还行,2019-10-18 00:01:26,1511,"爱洛公主：我妈竟然不准我结婚。
王后英格瑞斯：我要把爱洛当自己女儿。
玛琳菲森酸了：去他妈的！爱洛只能是我的！！！
于是《沉睡魔咒2：丈母娘大战婆婆》震撼上映。
真爱之吻不是王子，而是被洗白的女巫。这是第一部最大亮点。
而这部续集是真的不行，王子依旧打酱油，俩蠢货居然能圆满，国王更是直接躺赢。
既然重点是放在几位女王身上，为什么不能刻画下男性，而不是让其他人都像傻子似的。这样岂不是更能衬托出她们的强大？
他妈打她妈，因为变黑凤凰他妈的最后双方居然就不打了。
结局的和平处理以及照常举行婚礼果然很迪士尼。大家应该习以为常，反正迪士尼真人部也就那样了，以后还多着呢。
最后，再次恭喜爱洛成为迪士尼第一傻白甜公主，第一坑货玩意。"
甲鱼不是鱼,看过,还行,2019-10-18 02:10:21,1385,因为弹钢琴那个女的给了三颗星，她弹钢琴的时候我以为毒瘾犯了😀
蓝抑郁剂 Lily,看过,还行,2019-10-18 16:08:06,1274,青梅比不过天降，真爱教母比不过傻白王子。自己种的白菜被猪拱了，白菜还帮猪全家伤害教母。教母前一秒哀怨:我没有女儿了，后一秒不计前嫌卖命救瞎眼萝莉。从没原谅过渣男的教母彻底输给了小萝莉，满满的爱全给你，刀子也全接下，爱到赔了王国还送你嫁人，一首let it go 送给卑微教母。———— 迪士尼用一部颠覆传统，又用第二部回归傻白乐。
桃子酱,看过,很差,2019-10-18 01:59:44,1551,两个啥也没干的人谈个恋爱就坐拥江山了？？？她妈和他妈打啥呢？
一口吃掉小蛋糕,看过,推荐,2019-10-18 02:28:45,1629,全程都是朱丽太美了！！！受伤苏醒后那段简直惊为天人！！！光是朱丽的锁骨都够值回票价了，何况还有大长腿。但是结尾略崩坏，虽然羊很讨喜，但是坏人变好的太突然了吧
我爱罗宾,看过,还行,2019-10-17 00:46:49,747,傻子终成眷属，国王艹到山羊，完美
一粒响指,看过,推荐,2019-10-18 09:32:58,1361,白衣亚裔精灵像从横店抓来的 有点出戏
甄甏甏,看过,还行,2019-10-17 15:34:42,534,看完电影我直接不想看第一部了……画面确实非常美，朱莉要胸有胸要腿有腿肤如凝脂格外尤物，但这个故事太傻了，12岁以下小孩子觉得好看就好吧，反正就是个童话故事。艾丽·范宁红毯照都还好，怎么电影里面看上去这么村啊……
