用户,是否看过,评分,评论时间,有用数,评论
克拉許crash,看过,推荐,2020-02-23 18:07:05,14,三星半。有动作有搞笑。但好像就缺少了点什么。
哼哼.floweray,看过,还行,2020-02-29 22:29:43,9,老实交代吧，要不是很多人说我长得像年轻时候的权相宇，真的不想暴露自己杀手的身份
kylegun,看过,推荐,2020-03-04 11:57:22,1,救援U Turn，枪包太重，单身羞辱……退休特工废材漫画家老爹，做做家务打打工，女儿嘻哈老婆毒辣；马马虎虎韩式肥皂喜剧，动画部分比真人部分好看点？
大作人家王書紀,看过,推荐,2020-03-01 17:31:40,3,干净利落，沙雕中二，非常好
207,看过,还行,2020-03-02 16:59:42,5,在车上打电话那里还是逗笑了的
桃桃林林,看过,还行,2020-03-02 13:30:14,5,反正就，热热闹闹的娱乐片。
氡氡_Rn,看过,还行,2020-02-27 02:05:52,9,差点被笑死，真的好搞笑
虎虎子,看过,还行,2020-03-01 22:19:30,7,权相宇状态还是很好，果然要从年轻的时候就开始锻炼啊！老帅哥演喜剧更有魅力了嘻嘻
Hwon♡,看过,还行,2020-02-01 23:19:32,9,有点儿无厘头，不过男主真的是十年都没变样啊，也算在韩国看了最喜欢演员的电影啦~
梵目,看过,还行,2020-03-02 05:22:57,2,有趣啊，“老”男人权相宇，我可以了
谢谢你们的鱼,看过,还行,2020-03-03 19:45:13,1,和几年前薛景求的那部《K先生》风格很像，都是那种很反智的特工喜剧，很好笑，很粗俗，很欢乐，故事基本上就是胡来，但是可看性和娱乐性都很强，而本片还有很多成龙电影的影子、笑点设计也是真的好玩，热热闹闹毫无负担，看着挺好，要是前戏别这么啰嗦就好了。
小瓣生🌈,看过,还行,2020-03-01 20:36:05,5,"余生的奇迹只在童话故事里发生，折断的画笔只要有心就能复原，暴力中摔打并不能弥补童年的缺憾，直升机一跃反而才寻回平静的灵魂。神枪手也有无法命中的人生目标、大魔王亦有迈不过去的阴影魔障，观众都艳羡漫画世界里无所不能的超级英雄，而主角想要的无非也是日夜寻常的三餐一宿。
即使是间谍也要摸爬着生活，普通人怎能还不倾尽全力。权相宇的演技和【侦探】系列有些雷同，反而配角们更加出彩。"
有心打扰,看过,很差,2020-03-01 20:38:19,6,一无是处，剧本不行——人物不行，搞笑不行，动作戏不行。
