用户,是否看过,评分,评论时间,有用数,评论
亵渎电影,看过,较差,2019-07-28 22:47:50,4055,看了点映，片方真勇敢，什么货色都以为自己是哪吒。导演的能力就在那里了，触到天花板也就这水平了，公益广告式的拍法特笨拙，为了生猛的节奏，导演狠起来连他自己都害怕，早就没精力兼顾整体的叙事节奏和各种细节了，强煽赚眼泪才是他唯一的目标。配乐老师全程戏精，无时无刻不再给电影跌份儿，灾难级现场，就像是随便贴了一条生硬的配乐音轨，连带着把混音老师和音效剪辑老师的劳动成果都给毁成噪音水准。值得一提的是，大反派烈火演的真不错，秒杀所有演员，知道自己什么时候该猛，什么时候该消停，黄教主演的是新时代的董存瑞黄继光邱少云。导演拍的挺努力的，仿佛时刻掐着你的脖子喊，我都煽成这样了，你不哭还是人吗？经验告诉我们，人一哭成傻逼就没有思考能力了，不信等着瞧。
使君子,看过,还行,2019-07-28 01:20:38,5712,导演不行，浪费了这么好的题材，换成林超贤应该会拍的更好。电影一味的煽情，如同口号化的英雄宣传片，人物塑造也很脸谱化。
诸葛若见,看过,推荐,2019-07-27 15:20:13,1487,"《烈火英雄》挺催泪的，有点沉重，但很感人，用真实的画面和质朴的镜头语言，讲出动人的故事。火灾现场太震撼了，烈火迅速蔓延，爆破不断，人在火龙面前好像显得特别无能为力，灾难性的事故看得人毛骨悚然。

这次比较惊喜的是黄晓明，表演自然，能从角色身上感受到了一种真实的感动，那句“就想完成任务，活着出去见我老婆孩子”，应该是很多消防员的心声吧。他们不想做英雄，更想做一个能守护住自己心爱之人的普通人，只是消防员这份荣誉，让他们需要面对更危险更可怕的火海。这次的江立伟，让我们看到了不一样的黄晓明，不耍酷，不扮帅，甚至脸上有疤。但这样的人物才是有血有肉有力量。始终满脸血迹、油渍的江立伟面目模糊，而他的勇气与信念却格外的真实动人。"
着迹,看过,很差,2019-08-01 00:01:53,2944,"正式上映，封印解除，说一下我真实的感受，（让说吗？）：

除去字幕几乎仅剩高潮，就是场面一定要大，火势一定要猛，血肉一定要模糊，煽情一定要足，音乐一定要主旋律，慢镜头特写一定要到位。集这些鸡血、肾上腺素于一身便足以堆砌出这部毫无情感、毫无情节可言的但又赚足眼泪的自我感动式奇观。20 颗原子弹爆炸的威力试问能毁掉多少个《釜山行》。消防官兵是我们最可爱的人，是人，不是神，更不是木头、石头。全戏除了火就是火光滔天一样的口号，声响震天。《烈火英雄》大概是一段用不着编剧的视频影像，论真实赶不上纪录片；比剧情不如电影，道具师当属导演之外的核心灵魂人物，只要一通乱炸管够。真后悔没带上耳塞，居然把我看困了。撤掉《八佰》就拿这么个玩意儿糊弄，侮辱谁呢，“电影事业不能这么搞”。"
桃桃林林,看过,还行,2019-08-01 14:28:47,3301,非常勉强的三星片吧，挺遗憾的一部电影。题材是个好题材，消防员的故事也非常值得一说，如果搭配成功的类型片元素，以灾难片或英雄电影的方式来做，应该会很好看吧。可惜，导演水平实在是太……全程尬煽，还有那从头到尾铺满的配乐，反倒让这部本该成功的影片有些廉价感。包括演员的表现，也太硬了。整体，是部特别遗憾的电影。
无垠地平线,看过,还行,2019-08-01 00:15:06,2682,想来想去还是给了三星，就是把场景展示给大家看，你们哭吧哭吧，使劲儿哭！虽然煽情赚了大量泪水，但也仅限于此而已。
凌睿,看过,还行,2019-07-27 18:53:54,674,"因为一次意外，大人们诋毁他，小孩们也唾弃他。
你救了人们无数次他们一次也不记得，你犯了一次错他们就落井下石。
做英雄很难，背负着误解和污蔑继续做英雄更难。
领导说他应该退役，但他选择与火灾战斗到底。
因为消防员不仅是一种职业，更是一种精神。
马卫国曾经只想抢头功，正是战友的牺牲让他明白所有工作都很重要，终于明白了死守化学罐区的意义，也赢得了父亲的肯定。
郑志因为即将退役而消磨时光，最终证明了自己的价值。
徐小斌为了保障远程供水，不惜清理海洋垃圾。他干的是最脏的活，但他的人是最干净的。
出现火灾，不管你正在拍婚纱照，还是在安抚哭泣的儿子，你都必须立刻到岗。
所有人都在逃难，他们也要战斗到最后一刻。因为从他们成为消防员的那一刻就做好了牺牲的准备。
“我们在这里住一辈子了，要不不走了吧”贡献年度催泪瞬间。"
what'swilliam,看过,还行,2019-08-01 00:16:01,541,3星半。1.玩命煽情催泪，目的基本达到，但让本片丧失了一定的“真实感”，这是此题材最重要的。2.和银河补习班一个毛病，为塑造英雄狂加巧合悲情狂立flag。主角一次失误不仅丢工作还得和继任者碰面顺便巧遇烈士母亲哭泣，去学校不仅被儿子同学瞧不起，还被亲儿子捅一刀。3.为营造悲壮感强行让角色牺牲，降低配角智商，只有主角队伍冲锋，其余人是空气。火场救火第一，请停止类似“看警徽”“自拍”等行为，演讲口号式发言过多。4.黄晓明这一ptsd角色可能会拯救部分人“黄晓明ptsd”症状，但很遗憾没治好我的，对他演技巅峰印象停留在《风声》。杜江哭戏颇有代入感，泪汪大眼会说话。5.火焰特效偶有“失真”。6.大银幕对杨紫的脸真的不友好。7.最催泪的其实是片尾真实的录像。8.很会营造紧张感，火场抽烟那段不错，演得好，有人味儿，顺带缓了下节奏
熊升树,看过,推荐,2019-07-19 16:43:03,571,知道会燃，但是没想到还这么好哭，特别是黄晓明那个角色，真的让人都是心酸，不剧透了上映了都去看！黄晓明这次真的可以！
m89,看过,很差,2019-07-29 21:55:02,1385,只奉劝路人观众一句啊，买票前记得先点开豆瓣的导演影人页，看看他以往的辉煌战绩，你就对影片的成色心里有数，能猜个八九不离十了。不是歧视啊，有些事整定既。还有记得选靠边的位子，便于离场。
薇羅尼卡,看过,还行,2019-08-01 08:54:39,351,看看这片现在俩标签“主旋律+烂片”你就基本能get全片了，就跟央台屏幕上滚动播放的消防员宣传片一个调调。演员拍下来应该真蛮苦的，可是这个本子真是让人无力吐槽，没水了也要人肉盾牌站在火前，还说什么这是为了死去的兄弟？？对不起，这种廉价的感动不要也罢。谁愿意做这种烈火中的英雄？想想大凉山的兄弟吧。
杨浦小囡,看过,还行,2019-07-27 19:12:30,395,点映观看，首先向奋斗在第一线的消防战士致敬，再来说一下电影本身，本片剧情紧凑有瑕疵，场景真实，台词不够严谨，还原度挺高，我注意到几个细节和剧情格格不入的地方，黄教主在诠释当孩子对其提出质疑的时候，双膝下跪，左手食指有轻微的颤动，表明其看似坚强的外表，但内心仍有一丝不安与焦虑，这段戏我个人觉的给电影加分不少，唯独不解的是着火现场乱入的自拍场景，不知是否为了缓和气氛还是刻意而为止，综合打分3.0到3.2之间
