用户,是否看过,评分,评论时间,有用数,评论
杨方方🌈,看过,还行,2020-02-27 04:36:05,1552,"法国，诗人，多角恋，看了这些就知道除了肉体没啥值得多看的了，毕竟剧情就像时不时穿插的诗一样矫揉造作的，还是那句，AV再高级也只是AV。
21:00－22:30 28:35－31:00 33:30－35:40 36:20－37:16 42:00－44:21 45:21－46:21 52:40－54:00 56:25－57:30感谢某热心市民。"
九只苍蝇撞墙,看过,较差,2019-11-13 11:17:08,285,法国女青年们还能不能先穿上衣服再表达爱意了
WALL•E,看过,还行,2020-02-27 15:14:57,820,"道理我都懂，不过能不能把衣服穿上好好说话。看得我都怀疑是不是片头跳过了FBI  Warning之类的。
另外感谢热心市民提供这些神奇的数字21:00－22:30 28:35－31:00 33:30－35:40 36:20－37:16 42:00－44:21 45:21－46:21 52:40－54:00 56:25－57:30"
Rachel-,看过,力荐,2020-01-10 12:03:45,136,五颗星都给糯米 她好美 美的令人动容 不馋她身子的都是太监
linkeroever,看过,较差,2020-02-26 02:05:07,70,看之前一堆短评夸女主裸体有多美。然而，看了之后完全就一普通妇女啊，两点都不对称一高一低，一颦一笑还没演她妈的女演员有魅力，也就唐顿庄园女主角那种类型的长相和气质，她穿上衣服还可以夸夸气质，脱光了就算了，我都吃不下饭宁愿去看恐怖片。你们粉丝可以夸夸演技啊她穿上衣服后的气质啊什么的，非要夸硬件，我实在不想违心说假话，我是个女的但欣赏不来这种类型的，既不美丽也不性感。我要是蕾丝，我会选择法国90新生代女演员Lou de Laâge，还有同为80后的Roxane Mesquida。这叫什么糯米的女演员以后还是穿着衣服演戏好吗，别脱了，脱了还不如穿着呢
Kilig,看过,还行,2019-12-20 17:48:16,361,三星給劇情，五星給糯米姐姐的美好肉體（是的我下賤我饞她身子
芦哲峰,看过,推荐,2020-02-28 10:58:12,348,男主真牛逼，上过床的女人有几百个，光是有照片和文字记录在册的就60多个；女主更牛逼，把老公调教成绿帽奴，把情夫调教成妹夫。先后搞定了老公，搞定了情夫，搞定了情敌，搞定了妹妹。说到底，性解放才是真解放，性自由才是真自由。没有性，哪有你。禁性的人，都是变态；爱性的人，才是珍品。人如是，国亦然。（人有爱性的自由，也有不爱性的自由，但我反对的是禁性，你可以不爱，但你凭什么禁？即使公权力也不行，拿自己当神吗？你们这些站出来骂我的人是分不清，不爱性和禁性的区别吗？）
喜儿喂鸭正经地,看过,还行,2020-02-26 06:40:27,292,我哭了，糯米实在是太美了，想看她和蕾雅赛杜演拉拉
住在0153的小玉,看过,推荐,2019-12-09 09:41:16,255,大家都是来欣赏糯米裸体的吧，我只能说非常完美，非常！！女生见了抹泪，男生见了......
一槑,看过,较差,2020-02-27 16:19:05,76,能出现在豆瓣热门榜单的唯一原因就是糯米
野蒜,看过,还行,2020-02-27 17:31:21,202,海报让我想起《年轻气盛》，女主角在这里面比烧女图里好看。也不知道她喜欢皮埃尔这个渣男什么，只许你拍艳照不许我拍。她老公怕不是个绿帽奴。被那个说AV再高级也是AV的那个评论骗了，这种尺度也配叫AV。
乍暖,看过,较差,2020-02-27 15:53:56,15,4.5/10。绿帽奴让妻子与好友偷情。男演员并没有给我花花公子的感觉，虽然他露了很大的下体。这种兼具传奇性和艺术性的题材，怎么会拍成这样？脑补的是《戏梦巴黎》。整部电影就像憋着放屁，越憋越臭。
木可流芳,看过,还行,2020-02-24 14:57:08,92,居然是真实信件改编？看完最深刻倒不是糯米的胴体，而是她在心上人旁，腼腆的笑。
喜先生眉头一皱,看过,2019-12-18 20:57:19, ,50,诺米的身材：珍品。
Enjolras,看过,还行,2020-03-03 23:02:21,54,1、吃瓜型观众：小黄片、出轨、裸照、文爱、绿帽、乱伦、双飞、哇好刺激……2、影迷型观众：摄影很美、构图古典、充满印象主义美感，诺米·梅兰特粉嫩饱满的肉体如肆意绽放的水仙一般令人如痴如醉，可惜剧情三观炸裂却又浅薄敷衍了些。3、文青型观众：法国人以最坦率勇敢的姿态看待爱情，自由的激情和肉体的欢愉是爱情最真实的面目，在这种原始的热情面前，婚姻和道德反而像微不足道的愚蠢累赘。4、考据型观众：故事发生在1895年的法国，彼时传统的社会道德无法再束缚登上权力宝座的大资产阶级，及时行乐的思潮泛滥在贵族之中，种种不伦的偷情盛况空前。另外，1895年正是卢米埃尔兄弟祭出《火车进站》之时，电影正式发芽，而摄影也正是时髦的新鲜玩意，再早一点皮埃尔可能就不是摄影师而是画家了。5、撕逼型观众：摄影师渣男狗！人妻渣女婊！丈夫卑微贱
Pury,看过,2019-11-13 16:46:11, ,32,Noémie Merlant人体大赏……
