用户,是否看过,评分,评论时间,有用数,评论
本初老儿,看过,还行,2019-05-14 09:21:17,748,看的点映。这不成喜剧片了么？//墨菲斯终于又见到了尼奥！🥰🥰🥰
风中李子树,看过,力荐,2019-05-18 00:31:12,1111,新华社消息: 西装暴徒魏约翰又杀一百一十二人，另外轻伤两人
菜刀暗夜独行,看过,推荐,2019-05-15 20:05:42,2323,"年纪还是大了。当基努叔说出那句自己在黑客帝国里的经典台词""Guns. Lots of guns""的时候，影院里除了我，几乎没人有反应"
Alan,看过,推荐,2019-05-17 12:40:39,675,so fucking awesome！！这个系列的剧情只是拍动作戏的借口而已。三条真理：别惹狗主人；打架打jj；john永远不会死！
红豆♥,看过,推荐,2019-05-16 19:59:08,606,太装逼了，所有人都在全程装逼。基努里维斯戏如人生，孤家寡人，所有留斯内普中分油腻发型的男人命运都很坎坷。
桃桃林林,看过,推荐,2019-06-04 13:33:23,385,7分，剧情上其实有那么点逻辑不顺，感觉一群人在原地转圈。好在，，，这个系列谁踏马关心剧情啊！花式杀人大法依然刺激，尤其前面的飞刀大战，帅死了。这个系列一直保持在写实动作的基础上，增加各种观赏性。打得非常吃力的同时，仍保持快感。世界越做越大，下一部要开始复仇了。
临兵斗者,看过,还行,2019-05-19 10:44:37,331,"John Wick化身李寻欢使用刀的时候还是很有创意很飚肾上腺素的,其他的打斗已经审美疲劳了; 日本迷弟是有政治隐喻的吧, 尤其对狗狗说sit stay的那一段,不得不让人多想,连动作片都有政治隐喻了......"
蔕,看过,力荐,2019-05-17 18:25:08,495,全年最精彩动作片，最值得一看的动作系列片，John Wick的宇宙世界。啊我爱基努里维斯
同志亦凡人中文站,看过,推荐,2019-05-15 18:24:27,424,举世皆敌，一路通关。依然弱剧情，但拳拳到肉枪枪爆头真TM爽。都说暴力美学，然而无节制的暴力怎可能美，倒是系列拍到现在终于拍出了杀戮的仪式感。爱狗无罪，造反有理，笔芯~~~
芦哲峰,看过,还行,2019-07-13 14:56:34,104,杀人可以，杀狗不行。
文森特九六,看过,推荐,2019-05-16 21:02:27,271,把John Wick，不，把所有角色都写成了蠢货，无法相信他们与前两集中的那些角色是同一个人，卡萨布兰卡部分异常无聊乏瘪，哈莉·贝瑞这个人物近乎鸡肋却占据了不小的篇幅，上一集拓展开的惊艳世界观也在这一集走入了机械般的死胡同，然而放下这些缺点，它仍然是为巴斯特·基顿、成龙、李小龙、莱昂内、约翰·韦恩这些伟大的动作类型功臣喝彩致意的，尤其是在对决“突袭”二人组那场戏中，东西方格斗的身心之别于交手间亦流露出了某些禅意之趣，希望第四集能修正回潮。
