用户,是否看过,评分,评论时间,有用数,评论
始终不入门,看过,还行,2019-12-20 11:07:13,191,"河正宇求求你别再拍这种片子了。
典型的爽片，反映了韩国脱离大国控制，人民独立自主的美好愿望。
韩国现在也太腐了，连影帝也要搞cp吗😂️
不过养尊处优的韩国兵这个设定很有新意了，连李秉宪都被河正宇可爱到了😁
还有开头的现代和片尾的起亚汽车广告也非常精彩😅️"
伊夏,看过,较差,2019-12-29 21:32:48,142,答应我，以后能用奥特曼解决的问题，请不要用河正宇。本该在出场十分钟就死掉的他，跑赢了地震！他老婆，怀胎十月，游赢了海啸！他那个长得像辛芷蕾的同事，开辆破公交，比军方的车还屌！你们这么屌，长得像王学圻的韩国领导知道吗？知道还要搞死李秉宪！人家女儿就不配有个活爹？
桃桃林林,看过,还行,2020-01-02 19:44:47,98,其实从娱乐性来看，还是不错的。基本涵盖了所有大片元素，灾难、动作、枪战、追逐以及大量的惊险场面。两个男主李秉宪与河正宇也是发挥特别好，各有各的妙处，最后的兄弟情谊还挺感人的。不过情节不合理的地方也挺多的，只能从无脑大片的角度看。反正是中美一路黑，韩朝兄弟情。马东锡这个角色有意去跳出过去的角色套路，有意思。
YancySung,看过,较差,2019-12-20 16:19:16,80,剧情冲突几乎完全说不通，灾难电影背景，却充满了对其他国家的偏见，继美国超级英雄和我国战狼之后，韩国人终于研发出了属于自己国家的个人英雄主义电影，所有扮演中国人的演员操着一口稀碎的韩式普通话，毫无说服力的设定果然受众人群只是自己国家，民族教育式电影。
椒小胖,看过,还行,2019-11-27 16:36:22,105,明星太多，马克一下。韩国人是没题材了吗，把长白山都拿出来拍，再往后会不会继续拍什么东北题材了
共青团中央,看过,力荐,2019-12-19 13:15:41,77,比天火这垃圾强1万倍
瓦力,看过,还行,2020-01-12 15:35:43,72,韩国版《2012》，只不过灾难戏份只占全片10%不到，其余大部分时间在各种枪战追车搞笑搞基，黑遍中美朝（“伟大领袖终于躺下休息了...”）说是抢时救援，怎么看却都像把火山晾一边看河正宇李秉宪搞基到相拥入眠...当无脑大片乐下还不错，漏洞大到毫无可信度，长白山（白头山）地处中朝边境，算是朝鲜半岛这火药桶上的一座天然火药桶，它要是喷发了祖国不倾力救援还想着去夺取朝鲜的核武器...救世界还要靠一支韩国蠢蛋小队，这是为毛啊？不过这题材在祖国也只能拍成类似《天火》那样吧，算了还是给韩国人拍韩国人去救吧...
自己として生き,看过,还行,2019-12-23 10:40:31,34,6.9/10 作为现今韩国票房榜的领头羊，这部电影的火爆是理所当然的。巨额投资下极其具备视觉冲击力的灾难场面，紧张感满满的枪战动作戏，笑泪点皆有的故事。可以说作为一部商业电影，此片是合格的。然而同时不可忽视的，是故事整体的老套，人物刻画的不力，存在价值不够的部分剧情，在不停的拖后腿。同时在这样一个惊天危机中，没有充分展现多国的角力与合作，更没有发挥团队精神让牺牲更加感动更有价值，实在是不得不叹可惜。
凌睿,看过,还行,2020-01-28 14:10:01,13,"韩国电影的特效真是越来越精良了，而且成本才200亿韩元（1.18亿人民币）。国产片动不动就投资7亿、10亿，真不知道花到哪儿去了。
地震、海啸、火山爆发层出不穷，枪战、飙车、跳伞应有尽有。
韩国高楼坍塌，朝鲜末世景象，断桥逃亡，长白山的岩浆如流星雨般飞溅……这些桥段都很震撼。
偷核武器来阻止火山爆发、拯救世界的点子很新颖，再次不得不说韩国人真是什么都敢拍。
遗憾的是剧本太平庸了，功亏一篑，沦为普通的爆米花电影。（河正宇帮李秉宪抚养女儿这一段稍微挽救了一下）
原本有机会打造一部佳作，可惜剧本太拖后腿了。"
少言,看过,还行,2020-01-26 14:59:11,10,"看似个灾难片，其实还是个三八线故事，塞的东西太多导致有点影响主题。但理解为什么在韩国大卖，夹在中美两个大国之前的那种屈辱憋屈感完全拍出来了。这类片近年最好的还是黄政民主演的《特工》。
白头山天池火山爆发，忽然想到如果当年毛要不送给金家那些个山头，也就没这些故事了。"
daangel,看过,还行,2020-02-01 00:20:41,9,对于朝韩来说真正的灾难不是火山地震，还是那点夹在大国间的小怨念，总觉得不大气。
沙宣,看过,还行,2020-01-28 05:25:59,4,看过铁雨和共助后，对这种朝韩合作题材有点脱敏。朝鲜就像未被开垦的新大陆一样被一次次迫降，满足全世界各个地区哈姆雷特的想象投射寄托。中韩美三足鼎立，日俄销声匿迹。这完全是对东亚形势的误判，霓虹作为正统东亚代理人的缺席是对远东秩序的任意剪裁和歪曲。朝方总是被设定为老一辈可以去死了，新一代交给我们来教育。如果真取消三八线，叶公好龙的江南社区更奢求维持现状。片中老公跑赢地震，老婆游过海啸，公交干过军车……都让我……想大飞踹！
IMG_2006,看过,较差,2019-12-23 02:29:28,31,就……韩国的逻辑不通低配版流浪地球？？？真的很多地方说不通呀喂
千代悅子,看过,还行,2020-01-02 00:57:04,14,正所谓期望越大，失望越大。在韩国的电影院看的我昏昏欲睡，我的韩国朋友也是。阵容过于华丽，没必要，剧情不饱满，特效过于夸张。（说实话，那辆公交车和出租车真的牛逼）
无鬼斋,看过,还行,2020-02-10 21:09:18,5,“做个好父亲。”朝鲜的牺牲换来韩国的发展。
诛言,看过,2019-12-23 13:07:13, ,10,別拍這種電影了吧河正宇？一年一部我頂唔順。
Hallie Jin,看过,还行,2019-12-25 04:01:48,4,伤疤总是被遗忘得太快太彻底，这便使伤疤蒙上了一层更深的阴影。李秉宪和河正宇的对手戏，还有最后一分钟李的独角戏都是值得一看的点，只不过剧情有些理想化，没有达到预期。
豆友208244050,看过,推荐,2019-12-20 07:54:13,101,"#白头山观后感#
1.河正宇和李秉宪是真的很帅了，两个人快谈恋爱吧。
2.秀智这个女人真是让人嫉妒，刚和李胜基谈完恋爱，又和河大伯结婚生子。
3.特效是挺好的，黑我阿中哥和美国也挺会。
4.靠韩语字幕来辨别电影里面的英文台词的时候我以为是自己英语太差，直到中文台词也需要韩语字幕才能辅助理解时，才知道原来我中文也不行。
5. 马东锡叫机器人是个美国人。"
