用户,是否看过,评分,评论时间,有用数,评论
🖤,看过,还行,2020-02-12 02:57:55,59,大猩猩砸商店和骗钱男友去动物园是全篇高能
薑蓉飯,看过,还行,2020-02-07 23:43:22,34,笑點的確很開懷，但一到文戲就兩個世界。
发条饺子,看过,还行,2020-02-12 21:11:12,18,韩国人的长相很适合拍这种一本正经胡说八道的喜剧，以后无法直视楚巴卡了。
m89,看过,还行,2020-02-14 14:59:45,21,只有扮动物的段落能看，剩下的都是超级大俗套。
大草,看过,推荐,2020-02-10 20:43:40,171,都说这个片子烂，但我在动物园做了一份兼职的工作，真的很喜欢动物园啊！！我们动物园现在经营的也很艰难。2019年因为瘦瘦的狮子还上过一次微博热搜，这件事我们动物园真的很委屈。再加上这次新冠病毒疫情，现在更是难上加难了！希望我们动物园可以扛过去！因为动物园，我给4星！
glim,看过,还行,2020-02-11 21:05:59,15,后面有点乱糟糟，cos动物那些挺热闹，。话说有人说安在洪是莲花童子真是很贴切啊
MAGGIE_嫚,看过,推荐,2020-02-13 17:38:06,57,便利店的渣男报警说大猩猩砸店还把摄像头仪器拿走了，狂笑！哈哈哈哈哈哈哈
budaphin,看过,还行,2020-02-11 23:53:40,17,之前看预告就被这个概念吸引，看到片子居然实现得挺好，我真的有觉得像真的动物！！这点我觉得不可思议，让片子还是有几个爆笑瞬间的，比如树懒姐姐。但片子整体还是挺无聊的，收尾也很模式化。
蒙奇D,看过,还行,2020-02-11 18:26:27,4,正峰就是正峰，是不可能变成一个坏律师的。新人律师被派去经营倒闭动物园，这个动物园最大的问题是大型动物都被卖掉抵债了。没有狮子、北极熊和大猩猩的动物园谁会去呢？现买动物也不现实，那就员工来装吧，躲远一点，一动不动，游客基本看不出来。动物园好不容易喘过气来，却要被大集团关闭开度假村，律师正峰需要怎样应对呢？前半部分人装动物有几个桥段很好笑，后面对抗财团就很一般了。可以看，笑一笑没问题。巨型树懒很像楚巴卡。
苏小拗,看过,推荐,2020-02-10 17:47:23,32,四星半，一群人假扮动物园动物的温情故事，能想到这个创意已经不错了，加之温情和有爱的主题，让人觉得值得被拍出来。
战斗少女,看过,还行,2020-02-12 00:45:14,6,有几个笑点真的搞笑，整体笑点不太够。剧本真不怎么样。
桃桃林林,看过,还行,2020-02-11 22:35:56,2,喜剧部分勉勉强强吧，主要靠卖那个梗。走心部分并不突出。
雲語荷棠樾,看过,还行,2020-02-15 14:06:38,3,Tsks凤凰天使字幕组
非魚,看过,还行,2020-02-17 17:38:05,1,即使有再多零散的笑点也弥补不了剧本先天的不足~
谢明宏,看过,较差,2020-02-12 17:08:54,23,小朋友：我想看狮子的屁股，老师：我们绕到背面去，狮子：对不起我没有屁股
曼靑,看过,还行,2020-02-21 14:13:14,1,资本家社会下的保护动物主题电影。玩弄资本的老板强制收购了一间动物园，派了一位实习律师去做动物园园长，要求是确保动物园在未来三个月的正常运营，让一间已经被搬空动物的动物园运营就是电影要讲的故事。但是人类套上动物套装来假扮动物的脑洞，真的是让我既服气又好笑。黑猩猩打砸便利店、树懒在动物园狂奔、北极熊喝可乐，哈哈哈哈哈哈哈哈哈哈。算是中规中矩的韩国喜剧电影，最后还点题般的建了一个生态动物园，不过 生活嘛本来就是应该这样 开开心心、没有脑筋。
城南草木生,看过,推荐,2020-02-12 01:07:01,13,树懒太可爱了
扰扰,看过,推荐,2020-02-17 21:57:45,5,三星半。明知道这个故事太虚假，可还是被逗得哈哈大笑，简直太搞笑了。安宰贤一本正经的帅就有喜感，再加上大猩猩树懒狮子和喝可乐的北极熊，导致忽略了电影想表达的人与动物的关系，只剩下了开心的笑。
口袋_肥力士,看过,推荐,2020-03-03 21:29:26,0,预告就很有趣，虽然起承转合都很好猜，虽然中间有些拖沓【要是能剪短30分钟压缩下就好了】但好几段真的好好笑，白熊喝可乐笑出眼泪w还有保护动物的主题挺好
神哥,看过,推荐,2020-02-20 15:52:20,0,哼哼，行吧，扯呗。挺好。
张劳动,看过,还行,2020-02-28 02:38:08,0,好想看真北极熊喝可乐啊啊啊，编剧为啥不编进去嘛。哈哈~~
令希丰,看过,推荐,2020-02-14 23:59:04,0,可乐广告不错！哈哈哈，大猩猩把监控也抢走了。
枯藤和老虎,看过,还行,2020-02-17 21:36:52,0,剧本和表演还是在开场15分钟，不招人讨厌、设置足够的动力、角色讨喜就成功了一大半。后面在意料之中，也可以说是满足观众的期待。商业电影大概就是这样吧。
谢谢你们的鱼,看过,较差,2020-02-12 23:15:09,6,一个很好的创意，结果拍得非常无聊，故事的套路非常陈旧，情节的带入非常慢，作为核心的假扮动物部分又着力太少，非常缺乏想象力，不论从笑点还是情感上都很难吸引人。
克拉許crash,看过,还行,2020-02-16 19:19:06,0,大概只有二分之一的部分亮眼和有趣。剩下的，可能要遵从一般电影的套路和格式，变得有点闷。像一开始的源头，很无聊，收尾的部分，也很普通，没办法做到一气呵成，有点可惜。不过，还是可以去看看，大笑一场的。喜剧的点的确蛮有创意。
Vince♫,看过,还行,2020-02-24 22:26:09,0,谁不想有一只白极熊当宠物呢
梅岭藏殊梅长苏,看过,较差,2020-02-14 13:07:39,1,不怎么好看
一实,看过,还行,2020-02-19 18:11:27,0,奔跑的树懒，大长腿的狮子，喝可乐的北极熊承包了全片笑点，其他部分就弱了。
地铁里的季风,看过,还行,2020-02-16 20:17:14,1,可口可乐有没有出广告费？
付玲,看过,还行,2020-02-25 15:49:24,0,哎哟，我的正峰没吃斋饭饿成了这个样子，摸摸头。
小天狼星星🌟,看过,推荐,2020-02-14 20:07:01,0,人扮动物挺无聊的，但是北极熊真的，值得北极熊观赏爱好者看一下！
梵目,看过,较差,2020-02-14 20:54:44,1,拍的很是无聊，按照韩国电影现今的开放程度，和此片的孤僻的北极熊、员工扮演动物被人观看的剧情设定来说，理应拍成更有深度的圈养动物关怀、拒绝动物表演的题材的，那样也会拍成韩国很拿手的前面笑死后面哭死，结果现在只是一出流于表面的闹剧，就很没劲。
WIKI魏,看过,较差,2020-03-07 23:58:37,0,全剧节奏特别的慢，唯一好笑的就是大家伙儿傻傻装动物那段，最逗的是狮子，因为短。PS：正峰欧巴瘦抽抽了
熊能能脚不沾地,看过,还行,2020-02-10 15:00:29,3,整体比较弱，但是树懒做的真好~
Silvara澈,看过,推荐,2020-02-15 22:30:50,0,扮动物的片段真的太好笑了，站在路中间的树懒，看不到屁股的狮子，喝可乐的北极熊。笑完之后又回到残酷的现实……动物园这个切入点蛮好的，世间温情和残酷一面都有折射。
溺水小哈,看过,较差,2020-02-21 00:43:39,0,cos动物努力生活那段真挺逗的，其他一般
小瓣生🌈,看过,推荐,2020-02-13 17:26:32,1,"动物园里没有动物，人类社会缺乏人性。期待一张不用更新的门卡，就要换上一张不露声色的脸孔；经历三个月摸爬的生活，不愿这一生滚打在浮华的阶下。
爱情善变，不如做一只树懒、永远拥有自己的树干；利益牺牲，就化身成长臂的猩猩，对喷涌的物欲发出怒吼。困在笼中，才明白北极熊为何在围观中倒地不起；坦诚缺憾，懂得放手才能过好往后的人生。被谎言和权力压弯的脊梁，却被无望又破败的生活簇拥而起。钢筋水泥中也能种上森林，而我还是愿意回到当初无需掩藏的人生。"
不懈不戒,看过,较差,2020-02-12 20:51:06,1,国字脸的正峰哥是不可能甘当无良律师的。
在月球上荡秋千,看过,还行,2020-02-16 21:56:11,0,还行
徐内向,看过,推荐,2020-02-22 13:02:01,0,优秀傻屌剧
素人冯,看过,还行,2020-02-21 00:17:48,0,节奏太慢
rodge,看过,还行,2020-02-27 09:25:09,0,扮演动物的喜剧部分真的很搞笑 笑惨了！可是正常文戏却还是有点无趣！
kiki204629,看过,还行,2020-02-17 10:03:28,1,大猩猩背着树懒真的很有爱啊。北极熊戏真多！如此有“人气”的动物园太好笑了
