用户,是否看过,评分,评论时间,有用数,评论
Peter Cat,看过,还行,2019-09-19 04:38:49,522,我宁可和甜茶在一起，也不要艾丽·范宁。这样身材和颜值，那么多电影当女神捧，呕
Lauren,看过,还行,2019-08-24 16:31:56,463,可惜了那两张宽街Hamilton的票
诛言,看过,推荐,2019-08-26 21:20:15,1245,啊，想給艾麗范寧的臉上來一拳。
谦卑不醉,看过,还行,2019-08-21 21:28:54,300,伍迪艾伦三分功力的轻喜剧…口水片，剧情里偶尔里藏着一点小心思。范宁有点overact了，引起不适。赛琳娜中规中矩。看点全在甜茶身上。清爽干净的男孩真好看呀！
哼哼.floweray,看过,还行,2019-12-06 21:54:37,236,巴黎，巴塞罗那，罗马，麦哈顿，开罗，纽约，老爷子天天在西半球溜达。东半球不让你拍咋滴？
Mr.Moonlight,看过,力荐,2019-08-22 01:21:16,2220,中传校报女记者采访王小帅，竟被吴秀波诱拐回家。东城区富二代甩云南女友，因喜爱雾霾胜过蓝天白云。
苏娃,看过,推荐,2019-10-04 01:08:14,937,范宁演活了晚晚，说话那个表情姿态太像了
parachute,看过,还行,2019-08-22 01:00:37,211,“你适合亚利桑那的阳光，而我则喜欢阴沉沉的纽约的雨天。”又是一个喜欢在雨里散步的男主角。尽管个人感觉甜茶还是和伍迪话痨片略不适配，但17年真的很美，他叽叽歪歪的碎碎念一点都不讨厌，所以对他我也无法多刻薄哈哈，能在大荧幕看到很满足了。#hksummeriff#
zitsunari,看过,还行,2019-12-08 22:44:14,216,甜茶和赛琳娜戈麦斯太像两个未成年了，范宁倒是凭夸张的蠢劲承担了一半以上的笑点
惨绿,看过,还行,2019-09-08 09:09:41,223,带伞的人不如和你一样热爱淋雨的人。
张熊熊,看过,较差,2019-12-09 16:25:30,145,老爷子每年花钱雇小鲜肉cos自己系列。看得我想拳打艾丽范宁，脚踢赛琳娜。
凌麦儿,看过,力荐,2019-08-21 23:12:40,438,老爷子近年作品浪漫之最～本来觉得甜茶的颜too sweet too cute for老爷子这些神神叨叨的男主角，但这集男主的“古怪”少了猥琐添了浪漫，甜茶的演绎更让角色魅力翻倍无数。人生最大的浪漫，就是和那个真正能听懂你笑话，看懂你眼里的光的人在默契的时刻出现在同一地点，心照不宣地开启新世界。配合熟悉的爵士乐和雨中的街景，整个人都被融化了。结束后和头同学相视赞叹，好的电影真的会令人充满幸福感啊。祝老爷子长命百岁，希望他能一直拍出这么可爱的电影。🎬
LORENZO 洛伦佐,看过,推荐,2019-08-24 06:15:13,387,伍迪艾伦五成功力，高于《咖啡公社》低于《蓝色茉莉》。这次用的小演员都很新潮，但故事依然还是伍迪艾伦的：那些上流社会里的鄙视链和白月光，那些电影界的潜规则和绿茶婊，爵士乐和抖机灵，连甜茶的驼背也像是伍迪。觉得范宁表演太过，甜茶则太收，都不够好，幸好伍迪的剧本够有趣。小老头脑内剧场又多了一个渣女，这可能是亚利桑那被黑得最惨的一次。
-,看过,推荐,2019-09-10 07:57:22,268,3.5 一开始很糟糕，但是越往后竟然越好。以及没想到三个年轻人里面演技担当竟然是范宁。
女权战士小十一,看过,力荐,2019-08-03 18:53:52,119,甜茶一如既往的甜
