用户,是否看过,评分,评论时间,有用数,评论
阿树,看过,力荐,2019-09-04 10:09:09,4002,"不好意思，我不赞同评论里说的卖腐之类，我在他俩之间感受到的是师徒之间的真挚情谊，无限对待小黑即为严师，但更多时候是温柔的兄长。从小黑对无限一开始的偏见与敌意，到最后与无限一起共同作战，充满了热血与感动。
千万不要腐眼看人基。"
OCT IO≯,看过,还行,2019-09-01 19:35:31,1882,一开始以为和番剧一样是日常风杂糅玄幻题材，看着看着变成了环保片，最后变成了禁断爱情片……较剧集版正篇散发出更浓的中二气息，出圈还是有门槛，粉丝向属性太重了！…… 这个剧本相对剧场版的体量还是稍微有点弱， 其实作为废萌番剧集版已经把卖萌耍宝用到极致了，而到了剧场版还在反复的贩卖这一套，不是说不好，只是没有惊喜，也可能是我太贪心了，想要更缜密的剧情、更深刻的人物、更宏大的世界观和神展开……制作还是一如既往高水准，这个没话说，希望票房能高一点，有了预算正片开始月更吧……
二十二岛主,看过,推荐,2019-09-03 20:20:45,2912,第一次看这个IP，还挺意外的，小黑的角色设计很独特，而环境打破了地域和年代的界限，很多场景天马行空不拘一格，这是一部好的国漫应该有的素质，带领观众不断拓展想象力的边界。整体走的是软萌＋中国风的路线，深入探讨的则是信任、成长、自我突破的主题。生活中可能也会遇到在无限、风息这样的人之间徘徊寻找归属感的情况，当你真的能辨明是非的时候，也就是真正成长的时刻。我们需要像《哪吒》那样颠覆的动画，也需要像“罗小黑”这样温暖的动画作品。
桃桃林林,看过,推荐,2019-09-02 11:37:06,1362,7分，主打萌系、吐槽与角色设定。看完电影版之后，又第一时间去补了28集剧集，整个世界观设定也更加清晰了。一开始不是特别能接受这种粗线条的画风，但是看下去还挺好玩的，吐槽和卖萌是两个主要看点了，有些吐槽还挺好笑的，个别情感细节也挺用心，看到最后场内好几个妹子都在抹眼泪。动作戏多少能看出些日漫的影子，应该也是受过影响吧，加油吧。另外，我还挺吃这些什么妖精会馆、灵质空间之类的中二设定的。以及，剧集版请继续加油！
天才朱青大人,看过,力荐,2019-09-06 15:53:31,3574,"明明是很庞大的世界观，展现出来的却是非常细腻的动作戏和非常温柔的风景。所以熟悉的佐料，出来原汁原味的罗小黑。
不尴尬的笑点大概源于导演木头本头实在是太搞笑了，映后对话↓
1️⃣
“我觉得这个分数虚高”“你自信一点”“好，我很坚信这个分数虚高”
2️⃣
“你是如何做到让山新一个人配十个人这个艰难而有挑战性的任务的？”“因为穷”
3️⃣
“在场有很多你的好朋友”.“是的”“让他们说说观后感”..现场沉默..“刚才说错了，我没有朋友”
4️⃣
主持人：“所以这次电影一做这么多年blablablabla”
木头：“emmmm..你怎么每次问的问题都不一样，上一场的刚想好怎么答”
5️⃣
“这种超能力和中国风造型的结合，你是怎么想到的”“因为我是中国人，也没去过别的国家，所以也画不出来别的国的风..”"
王大根,看过,推荐,2019-09-10 13:50:39,282,虽然我不太能吃这种简笔画风格，但是看日漫长大的人肯定会喜欢这部多过which you know 吧！轻轻柔柔的夏目友人帐风，白龙+娘口三三式的主角组合，角色与氛围都很舒服，故事简单节奏却好，最最最关键的是没·有·屎·尿·屁·和·网·络·流·行·语！我看这个系列输就输在名字上，以前听这名字我总以为是什么那年那兔之类的东西……
影志,看过,推荐,2019-09-10 15:30:45,153,迷路会迷一个省、吃霸王餐时值钱的玉佩…哈哈哈，里面的笑点全部get。灵质空间、领域、吞噬、执行者、会馆…独有的电影设定，让这部中国原创动画更立体。哪吒一副事不关己高高挂起的姿态，也算惊喜。原番追起！
小爱,看过,2019-08-31 17:07:15, ,680,6.5分。我对罗小黑没有情怀，除了被猫形态的小黑萌到瘫软以及个别几个笑点，基本整部片面无表情看完。技术不如魁拔，剧本乏善可陈，笑点逊于哪吒，在这种情况下还让我看简笔线条动画看一个多小时我接受不了。妖之会馆与千与千寻油屋的设定太像了，还没人家的精致华美。它的品质破不了圈的，感觉就是二次元的又一次自娱自乐。
法兰西胶片,看过,推荐,2019-08-28 08:38:32,156,对原TV并不熟，以为剧场也就是一室内卖萌高频段子集，然后就被翻滚打脸了……昨晚刚看，这片在人设、世界观格局、体感战斗和脱力冷笑话上都超出所想，至少在当前2D国漫里是开挂碾压的，有一场地铁大战，那酷炫逻辑，看傻眼了，2D的想象力全开后就得是那样的。当然，它可能共情力还不那么通透，在“种仇恨”和“说谢谢”这类桥段上过于套路，但最后还是风格赢了一切，虽然人与妖的二元对立听上去如此简单，可你就是能通过一个喝酒的细节感到这个世界里还有很多编织，真不是所有简约都能随便说是作者创作，它确实达到“因陋就简”的燃斗终极。最神巧合的是，这片还有年度最强国漫角色掉粉客串！当场笑翻啊！
SleepWalker,看过,还行,2019-09-01 17:29:17,494,画风糙一点没事，剧作问题才是硬伤，不管了解不了解番剧都一样。世界观不由分说一上来就强行灌输给观众，这是极为失败之处。核心命题借角色的台词进行极为幼稚的输出，主创太偷懒。动作部分的分镜更是灾难，避重就轻。海上漂流的段落还算不错，可也有少年派的影子。唯一亮点的哪吒歪打正着沾了热点的光，提升了些许观感。
