用户,是否看过,评分,评论时间,有用数,评论
铅纸鹤,看过,还行,2020-03-03 18:24:37,165,罗恩，这玩意可比魔杖好用多了！
同志亦凡人中文站,看过,还行,2020-02-29 07:20:34,33,有时候我越来越分不清电影和电玩的界限了。虽然是冲着e世代拍的血浆爆头爽片，但剧情无脑的地方有点儿多。蛋妞也没能逃脱童星长残后只能拍喜剧的定律，废柴人设蜜汁贴身~
雨苔思音,看过,推荐,2020-03-01 11:35:30,71,键盘侠终于被顺着网线制裁了一番，可不是所有人都能用键盘为武器的。
谢谢你们的鱼,看过,力荐,2020-03-01 12:11:47,15,Crank系列之后最具游戏感的B级Cult动作大片，键盘侠被超级杀手追杀的逃生之旅，满满的黑色幽默和极具想象力的动作设计，又好笑又爽，导演前途无量，而矮矬的丹尼尔贼适合如此的衰仔角色。
高级动物,看过,推荐,2020-03-01 15:46:48,16,挺嗨的本质上还是一个屌丝逆袭的故事！
"Bind, Torture",看过,力荐,2020-03-02 01:35:50,17,我爱死这电影了，漫画加游戏风的血浆大战，最后化身惩罚者是让我意犹未尽。
波提切利的天使,看过,推荐,2020-03-04 00:16:03,14,新奇
淋,看过,推荐,2020-03-07 23:33:14,1,没什么大志向的低成本B级片啦，爽就完事儿了！导演估计也没想要完善世界观，细节基本不管后续麻溜收尾，好在调色和运镜极具个人风格，特效不好剪辑凑，丹尼表演没啥突破可也稳稳在优等生之列，总体超出预期的动作血腥和恶趣味佳作
gegemoon,看过,还行,2019-09-10 11:45:07,17,难得终于抢到一张首映票，为了看眼Dan来的，没想到这部片这么好笑。片子当然有很多不成熟的地方，但是这个创意太有趣了，全场大笑不断。Q&A也很有意思，这个剧组整个都很好笑。
利涉大川,看过,力荐,2020-03-03 00:35:08,6,2020年第一大爽片 哈哈哈哈哈哈哈哈
桃桃林林,看过,还行,2020-03-02 13:29:27,9,游戏感与玩出来的电影，其实小人物意外卷入危机并反制邪恶组织这种设定非常常见，只不过用了点游戏的元素和荒诞暴力，就稍微不同一些了。
子哉,看过,推荐,2020-03-07 01:57:41,2,刘承羽说自己非常喜欢哈利波特，然后就去演了这部电影里哈利的女朋友。翻译有瑕疵，例如butt plug不是肛门栓而是肛塞。
程小挑,看过,推荐,2020-03-07 18:46:28,0,自动修复的车身，晃荡的弹鼓。
YthguaN,看过,还行,2019-09-13 01:36:49,7,应该叫“双手钉抢”？有点类似爱死机的那种糖果色硬核爽片 维文很帅 没有营养
glim,看过,还行,2020-03-07 09:47:37,9,雨果维文的侄女真是新一代cult爱豆
陆支羽,看过,还行,2020-03-01 13:45:02,5,3.0。
张咏轩Wayne®,看过,还行,2020-03-02 09:39:49,6,哈利波特再营业，他跟指环王的伊利亚一样，卸去经典角色的光环，好像只能演一些风格浓郁的非主流电影，这部电影可谓把涂鸦式的脏乱差发挥到极致，偏游戏内视的色调，流畅又机械的视觉呈现，主题也是关于网络世界的废柴逆袭，宗旨实名揪出键盘侠被迫正面生死硬刚，困于安置好的杀戮游戏里，从开始一味逃窜的衰鬼，到接受现实开始对决，最后干翻非法网络体制的幕后班底，完成人格独立和心智成长的双重蜕变，过程铺满热血沸腾的追逃杀机，不仅尺度大开脏话连篇，而且血浆漫天，充满游戏和漫画风格的形式逻辑，死扣节奏，发挥想象力的动作设计，集黑色幽默和cult一体，借时下热门的AR和直播元素，给死宅一次二次元世界的狂欢。本片导演是做视效出身，其实是借作品的一次放飞自我，除了出挑的外化风格，还是有本质上的缺陷和瑕疵，很没营养但会意犹未尽
w2jmoe,看过,推荐,2020-03-07 03:18:34,1,"【Quite Shock！】这片总体看下来居然还挺爽！堪比多年前看《歪小子斯科特对抗全世界》时的震撼——

酸性色调、电力音乐、意识流反套路随心所欲的剧情走向！... :q"
昭和惊弓鸟,看过,还行,2020-03-06 12:57:25,0,丹尼尔的后哈利波特时代十年总结，在各种类型上放飞自我的集中发泄，这种血浆片该有的元素一个都不少。导演看来是动作片死忠，墙上的史泰龙和州长，电视上爆枪的尚格云顿。
老罗Lazzaro,看过,还行,2020-03-03 01:03:36,1,Daniel又来一部WTF，这次是游戏体验式嗨cult片。“当键盘侠被拎出来社会生存”真实案例，一通胡打都能逆袭很游戏向。
luerdelphic,看过,推荐,2020-03-03 19:13:22,2,蛮好看的，虽然游戏猎杀也不是什么创新了，但前半段睡衣虎头鞋花内内，真是蛮eatable的。。。
