用户,是否看过,评分,评论时间,有用数,评论
無知なせとか,看过,力荐,2019-08-09 20:26:16,677,剧情还是老套路，出现了个大boss然后大家一起干boss，最终由路飞揍飞boss的剧情！但是太爽了！！！想看的人物全上场了！（艾斯出现的一瞬！！老眼一湿啊）还是一样的配方！！还是一样的热血！！你们就是我心中的ONE PIECE啊啊啊啊啊啊啊啊啊啊啊！！！！！
下克上,看过,推荐,2019-08-11 18:04:17,1396,电影狠狠的吹了斯摩格一顿，居然能和萨博五五开。
秀的菇,看过,力荐,2019-08-10 20:15:29,559,這一部絕對粉絲向！登場人物之多不愧是20週年作品！好多懷舊的人出來連歌都是初代！最後一個鏡頭暴風哭泣😭😭😭我不管劇情如何鏡頭如何我就是要打五星😭😭😭
A_amazing,看过,较差,2019-08-25 15:12:33,121,"这新剧场版真的傻逼
巴雷特前期那么屌就这么开开玩笑地输了？
路飞不愧是主角前期有最恶全体助攻加持都打不过后期残血还缺蓝的情况下单挑把巴雷特干了？
烟男这菜比强行变一线了？
鹰眼装完逼是不是找个地喝小酒去了？
藤虎特么这么多自己人在扔个陨石下来干什么 脑子呢 正义呢？
强行煽情 强行玩套路 
最后不忘消费下艾斯好棒棒哦"
Rui,看过,力荐,2019-10-18 11:15:45,541,海贼王三个字不值五星吗？？？？？？
雷吹雪丸,看过,力荐,2019-08-09 09:35:37,472,比黄金城好看100倍。热血沸腾
桃桃林林,看过,还行,2019-09-19 16:22:49,645,7分，从头打到尾，打到有些审美疲劳。不过，亮点还是挺多的。尤其这个客串阵容，也是太亮眼了。女帝、萨博、鹰眼等等等等，甚至还有艾斯出来了一小下下，满足了。
阿琥,看过,较差,2019-08-12 22:55:48,33,总觉得看的很审美疲劳.剧情太简单.一路打打打..感觉再玩啥大乱斗的游戏...
RINGO,看过,还行,2019-08-11 12:17:41,451,几百个主角配角一顿哐哐哐 最后放首歌
深夜声噎,看过,还行,2019-10-17 22:23:11,206,2良心加一星。实在过了看这个的年纪。旁边一对男女，男的试图牵女的手，被甩开了，估计还没谈多久，后来男的不声不响跑出去，以为上厕所，回来抱了一大桶爆米花，女的嫌弃表示没有想吃的意思没问老娘想不想吃就跑去买…只接过水…男的自己努力啃了半桶爆米花，尬。
有心打扰,看过,推荐,2019-08-25 22:30:26,490,作为动画电影而言，确实存在很多问题，普通观众可能看得意兴阑珊，但是对于海迷来说，这片就是一部从头嗨到尾的全明星超级派对。虽然影片的人物关系、主题内涵等等基本都是复刻连载漫画的主线剧情，但是依旧会被燃到、被感动到。路飞的超大大大猿王枪超炸裂、女帝对路飞的爱太有趣。
Hidee Moocher,看过,2019-08-25 23:56:26, ,138,cp0，真实酱油。人老沙好歹贡献了全片唯一智商，你路奇啥都不干怎么好意思来抢夺胜利果实（当然，帅还是很帅的.
大糖蒜,看过,还行,2019-10-20 15:08:35,111,请问警察为什么要抓捕航海家 这种翻译简直就是抹杀了op的灵魂
玉君,看过,力荐,2019-08-09 10:38:22,339,20周年大作，Boss变身之后堪比哥斯拉，然而还是打不过路飞小拳拳……最后艾斯出现泪目，十分献上！
一曲吟逍,看过,推荐,2019-08-09 12:31:06,264,比较特殊的一部，海贼群战从头打到尾的感觉。我个人虽然很喜欢看打戏，但是打戏成分太多，这作品，我真的不知道怎么评价了，也不知道这样做动画好不好（不过，可以学习的镜头还是挺多的）。至今为止的《海贼王》打戏最多的作品，没有之一。海賊王、俺になる！（2019年8月9日观影于上野）
.Beauty,看过,推荐,2019-08-09 15:31:46,164,"卖情怀到极致,特效真的优秀"
吾亦烦,看过,力荐,2019-08-10 09:37:00,215,登场人物有七武海、最恶世代、草帽大船团、海军大将中将、黑胡子、革命军、CP0，加上新角色，阵容豪华。20周年纪念看来要搞大事情啊！！！
修万年,看过,还行,2019-08-26 22:54:02,43,跟龙珠一样，海贼王每年一部剧场版也彻底沦为打打打的水准，情节几乎可以忽略不计，打斗也就是那样了，喜欢的粉丝肯定五星好评，但客观来说也就值三星了，唯一比龙珠好的地方是龙珠已经沦为两个人的动画了，而海贼王至少能战斗的人多了去了，这也是海贼王比龙珠精彩的一点。从票房看无论是龙珠布罗利还是这一部海贼王都是很可观的，观众也很吃这无脑一通打的电影，看来只要票房高，每年一部这样的作品几乎没跑了，编剧也不用费脑子想太多，打就是了。
我爱罗宾,看过,推荐,2019-10-18 13:40:55,164,真丢人，艾斯出现的时候不争气地哭了
风满蜃气楼,看过,推荐,2019-10-18 23:12:09,126,3.5 剧情不新鲜，但各种老熟人出现让人怀念。字幕太无语了，很多人名跟大家熟悉的翻译不一样，这就算了，海贼翻译成航海家，海军翻译成警察（明明那么大的Marine当大家都不认识吗），革命军翻译成正义联盟……你国特色也是搞笑。
wingwing,看过,力荐,2019-08-13 11:54:32,205,全员集结是二十周年的惊喜！不管是打斗场面还是各角色的出现，实在是太戳了！从少年到青年，   唯一不变的还是他们！！！！我墙裂推荐！！！！希望国内能引进！！！这样回国还能再看一遍！！！！
Logan wayne,看过,力荐,2019-08-26 01:00:21,148,彩蛋最多的一部剧场版，个人觉得剧情还是没有Z好，但是视觉冲击很强，和z并列第二吧（强者世界第一）
嘟嘟熊之父,看过,较差,2019-10-24 18:24:31,12,每天打打杀杀是为了啥？就算成为了航海王又怎样？还不是继续每天打打杀杀。路飞你扪心自问，你有过人的体温吗，有过心跳吗，闻过花香吗，看得出天空的颜色吗，你流过眼泪吗，世上有人爱你情愿为你去死吗？但话说回来，我真的好羡慕路飞。
赵启辰,看过,推荐,2019-08-27 00:00:51,62,史上最强电影版，人真的齐，齐人就开饭那种齐，齐到那么多响当当的名号也只得机会发一招，好久没见的好多角色也前来露脸，情怀满满，粉丝得到极大满足的一部
妙蛙背上的大蒜,看过,推荐,2019-10-19 16:27:28,60,革命军翻译成正义联盟，可以的
戚少商,看过,推荐,2019-09-01 12:50:12,24,从头到尾打了个爽！！！全程可以无脑看下来。除了四皇，最强战力几乎都登场了，连隐居的鹰眼都出来刷了一波存在感。女帝也是久违了，还看到了她的主动攻击。（虽然并没有派上什么用场，但）合体技她还是不可或缺的一环。新时代海贼团跟不要钱一样都安排上了，再加上搞笑担当巴基和巴托洛米奧，热热闹闹很有祭り的气氛。可惜的是角色太多，草帽海贼团这边出场时间就被挤压了，除了路飞挑boss其他人戏都不多。尤其熏疼索隆，上映前导演信誓旦旦表示他戏份很重要，结果就给我看这个？boss设定不错，一根儿筋变态强，轮船吞噬果实能力拥有者。第一形态高达机器人，第二形态3D哥斯拉（？），两个造型一出来差点笑死。总之很爽很开心，希望国内尽早引进。
Doublebitch,看过,力荐,2019-08-14 12:06:33,136,燃就完事儿，最恶世代海军本部七武海革命军各种新老熟脸集结从头打到尾，一场非常契合二十周年纪念的嘉年华大乱斗。最后萨博（艾斯）为千阳号护航，旁边带孩子来的日本老哥直接飙泪，太太太太太感人了！！！另外推荐正在大阪USJ上映的OP PREMIER SHOW，是万博剧场版的前传，也很好看。8.14@Namba City Cinema
恶猫的步调,看过,推荐,2019-10-19 21:00:27,20,有谁在一起数熊猫人彩蛋……最后是真·回忆杀
