用户,是否看过,评分,评论时间,有用数,评论
此木为柴,看过,较差,2020-03-05 22:53:26,13,散了散了，当年的那个糙叔河正宇回不去了，现在不光拍爽片拍的找不到北，烂片也开始接了，还顺带浪费了个金南佶!
维舍斯✖卑鄙香波,看过,较差,2020-03-10 23:37:26,0,河正宇：我没看过与神同行
AllonsyHiddy,看过,还行,2020-02-26 16:14:45,27,老河一次次让我失望，但我还是一次次掏钱看🍋
小瓣生🌈,看过,还行,2020-03-06 10:47:20,21,"用白纸设计摩天建筑，却不知如何重建一个家庭。在卧室布满昂贵玩偶，却无从发现心底那处贫瘠空洞。男人用药物获得片刻安宁，女孩以灵魂交换永恒陪伴，生活有千万种缘故将身畔的双手放松，地狱只需要一个理由把孤独的生命抱紧。生与死原来在同一个空间，爱与憎从来都只隔着一道界限，鬼故事只是其中的一处缺口，在两个世界凿出同一个未尽的缺憾。早夭的孩童只在衣橱背后才能拥有乐园，深渊的厉鬼失去母亲指引也无法走出迷雾。如果冷漠的悲剧还未停止，那么闹鬼的衣橱仍将继续。
本质上是一部超现实惊悚的《小委托人》，金南佶表现优于河正宇。"
U 兔,看过,还行,2020-03-09 14:36:55,1,完全不恐怖，除了一个地方被突然出现的脸吓了一跳这种物理惊吓之外，心理上毫无波澜，为了我家帅河，聊着天就看完了。原本不喜欢恐怖片就是怕看不清帅河的脸，没想到这个连脸上的坑都看的一清二楚；制作算是挺精良的，别墅装饰、人物衣着打扮、布光、“那个”空间的布置等等都像是清晰而线条硬朗的cg画，但就是太精致了显得一点都不恐怖。故事也比较俗套，基本铺垫刚出下面就被我猜到，但是由于孩子们实在很可爱而且演得也很好，后来还是投入情感在看的。确实很多孩子都要过早面对成人世界的残酷，父母的怯懦、不担当确实是一个问题，但影片没有试图更深探索一下更别提解决了，河爸爸的怀抱虽然8错但也显得单薄。
林林clice,看过,还行,2020-03-04 10:32:28,10,"做轴的时候看的，不是很吓人也不血腥，但是里面的小孩还是有点让人心疼的。剧情简单不烧脑，金南佶演技发挥正常也很适合这样有点皮、傲、颓、狠的角色；河正宇演技突然变差了怎么回事，恐惧吃惊的表情相当的假，出戏；金喊河“大叔”也很奇怪好嘛，而且两个人最后莫名其妙地就“在一起”的感觉。
可能因为小孩在里面，恐怖度下降了好，配乐不恐怖反而有点搞笑，金问河看没看过与神同行，也很搞笑hhh"
无耻不混蛋,看过,较差,2020-03-10 16:04:47,2,片荒时期，冲河叔看的这片，做为恐怖片迷，还是有点失望。有温子仁《潜伏》的影子，却没有学到《潜伏》的精髓。做为恐怖片，却丝毫不吓人，主要原因还是恐怖气氛营造方面太欠功力。说到底，只是一部披着恐怖片外衣的家庭片。其实影片立意还算不错，缺乏关爱受到来自社会或是家庭伤害甚至虐待的孩子们，只能去“另一个世界”寻求安慰，因活着可能比死去更痛苦。
zhang 2nd,看过,还行,2020-03-07 08:08:37,1,男配出彩，有一场拍出了紧张刺激，不容易
刘瑞业,看过,还行,2020-03-07 10:02:16,3,可以看出河正宇负债累累
张咏轩Wayne®,看过,较差,2020-03-04 18:55:20,9,真没啥意思，都是欧美玩剩下的梗，后半段甚至直接拿温子仁《潜伏》的桥段来用，小成本投资，不恐怖也不吓人，衣橱是通往阴界的门，被掳走的小孩大都是家庭关系里失爱的代表，主题还是探讨亲情关系，电影用极其简陋的的耸动方式来回归主旨，不仅没有多少恐怖的场面，还穿插了诸多没必要的喜剧色彩，看了一半就发现是部不伦不类的烂片，全片最有意思的应该是男二追问河正宇有没有看过“与神同行”的情节，冷不丁拐着弯致敬自己，剩下那些阴界的场景和所有人物的内里纠葛，要么似曾相识，要么就是描写的单薄如纸，故事没有深度，角色也没有厚度，论恐怖程度还是小儿科水准，质感粗糙情感落俗，差不多等齐国产恐怖片的标准，除了河正宇的个人魅力外，这片子真算是一无是处。★★
