用户,是否看过,评分,评论时间,有用数,评论
格里高尔,看过,很差,2019-12-18 15:50:18,6,非常难看，幼稚，迟钝，陈腐不堪，不胜其烦。张楚很多年前的歌词：姑娘不该是肥皂，姑娘不该是肥皂，为什么这些傻逼国产直男癌电影永远在把女性角色设置成肥皂，又安全又杀菌的，专供男性角色洗涤灵魂自我感动。
m89,看过,推荐,2019-12-13 15:06:06,5,黄渤青年导演助力计划，开场就是田壮壮暴击。一道圣光降下，审判来临，爱情从主观变成客观。生活的无奈，困惑，不甘，妥协，出乎意料地细腻，真实，接地气，有种看台湾新电影般的特别感受，虽不完美，废戏有点多，节奏有些拖沓，但肯定是今年不容错过的国产电影。全员神演技，没有一个拖后腿的，结尾的长镜头说明一切，就是文淇好像变丑了…我突然觉得以后李诞要是拍电影，大概就是这种调调吧，爱笑的人都是孤独的。
绝命纸牌,看过,力荐,2019-12-18 04:22:24,0,线索众多不免有剪辑略碎片化的问题，但没想到导演召来这么多熟脸后竟任性地拍了一部节奏如此平缓并极具有实验性的电影，很是喜欢这种能够保持自己作者特性、故意与大众快节奏审美相悖的电影。圣诞节快要到了，总有人会在这个时候提起来那部《真爱至上》，然而一直没什么兴趣，倒是这部同样是众多线索交织的关于爱情的电影应该留到圣诞节再上映，就像一把尖锐的刀剖开所谓真爱的虚伪表象，一旦爱情被外物所干扰所定义，那还是真的真爱吗？最平淡最幸福的，还是最后那段长镜头，父亲母亲安慰着伤心的女儿，父亲母亲互相打下手切菜做饭，女儿坐在餐桌前等着开饭，一家三口摆好碗筷开始吃饭……真向往这种平淡日子……
胖官赵,看过,还行,2019-12-09 15:17:35,3,开头完全凭“白光抓走真爱”这个概念吊着一口气，土到我以为在看《走近科学》。往后光照影响之下的人物状态改变了人物关系反而渐入佳境，四组人物设定非常有代表意义：中年夫妻的围城、同性之情、妻子小三小四到底谁是真爱、小年轻的爱，基本包含了当下最普遍的中国人的情感问题，很雷人很荒诞又很现实。尤其是王珞丹黄璐那条线，完全是对《浮城谜事》的戏仿。最可惜白客那条线，混混直男和gay圈天菜的纠缠，脑补一下简直爆炸，然而着墨太少。剧本非常扎实，但缺少一点灵气，没有彻底利用好城市景观。所以，爱到底是什么啊？
轰洪哄烘,看过,很差,2019-12-14 13:22:32,13,这“灵感”的来源，我大概也就看过40遍吧，不算很多
无糖沙琪玛,看过,2019-12-13 13:22:00, ,1,被光抓走的人。深情催泪中带给我们向前的勇气和力量。人生很苦，但我们必须坚强。爱，总在背光里最明亮。杨宗纬演唱之《背光》，又给我单调生活中添一抹明亮的光，于是不再害怕与彷徨，而是更加坚定了脚下的路。词好听，旋律美，演唱动人。好作品！
SebMia,看过,推荐,2019-12-13 22:26:02,11,看完总有人会问：“那道光是怎么回事？”我不知道，导演也不知道。但我们知道，隐藏在那道光背后的问题是一直埋在我们心底。对影片里的人来说，那道光的作用不过是把人们的伪装撕开来，暴露在阳光下任人指点；而对观众来说，本片就是那道光，揭开了我们对自己的伪装。观影过程中，有多少被“爱人”关系绑架着的人手里冒着汗，心里冒着光，想着：“我要向他（她）坦白，做回真实的自己”，就有多少人走出影院就决定继续虚伪下去：“去他的坦白，去他的真实”，电影是电影，生活是是生活，毕竟，生活中哪会出现那样的光？8.0/10
顗礼,看过,推荐,2019-12-14 17:45:22,4,其实是“编剧电影”，即使镜头语言很有想法（大量的前后置景、长镜头、对称构图都挺有设计），文本依旧凌驾于一切之上的存在；“白光抓走的都是有爱情的，那留下的就没有爱情吗？”全片其实就是围绕着这种“反推逻辑”的成立与否作文章，开篇是时间线倒叙蒙太奇，结尾是给出“似是而非”解答的长镜头，爱情是量子纠缠状态、艺术家是站在哲学维度看爱情的“反乌托邦”战士、白光是婚姻坟墓的掘墓人，撕破伪装、审判众生；是科幻片、是现实主义、是实验、是作者，用一个看似“虚”却“实”到不能在“实”的意识形态通过审查，高概念和众生白描都不是重点，导演本人都没明白的、无解的爱情本身，才是重点。
KK Green,看过,较差,2019-12-13 12:35:44,23,本子太矫情，台词没文化，实在入不了戏，20分钟体量的短片填充成长片，堆砌可想而知。至于怎么解释那道光，“行深般若波罗蜜多时，照见五蕴皆空，度一切苦厄。舍利子，色不异空，空不异色，色即是空，空即是色，受想行识亦复如是。”
色烈芬_,看过,推荐,2019-12-16 15:33:39,4,看到谭卓就知道这电影稳了。
