用户,是否看过,评分,评论时间,有用数,评论
哪吒男,看过,还行,2019-08-16 21:55:45,247,哈，哈，哈，油腻有时，清净有时，被辱时时，这是写给世界上最后一个聪明人的打脸诗。骄傲没什么了不起，低头，足够轻盈，就能飞起。
汪金卫,看过,很差,2019-06-18 14:03:28,583,【上海电影节展映】又一部女性主角、母女吵架撕逼主题的国产片，很烂很雷，五雷轰顶。角色设定简单粗暴而奇葩。不屈权贵的记者女主身患癌症一心求欢做爱，力扛女性独立大旗而不得方法。五大渣男配角（掉书袋弱男、见钱眼开男、枯木逢春男、恶臭大款男、为父不尊男）竞相献丑，加上一个嗲声嗲气惹人厌恶的跟屁虫母亲凑成欠抽六人组。台词矫情扭捏得让人一边起鸡皮疙瘩一边笑出声。时而卖弄文艺上青云，时而脏话连篇接地气。观感坐立难安。锅在编导剧情设定，连少部分亮点金句也被淹没。姚晨演得越努力，越显得尴尬。看完大笑三声，如释重负。P.S圆周率不是这么背的
大奇特(Grinch),看过,推荐,2019-07-27 12:35:50,65,三星半，剧本首先是写人物，对女性内心的欲望有较为全面的展示，拥有女性视角和关怀，也得益于女导演执导。以生死之门打开情欲之门，角色由浅入深丰满，越往后越入佳境。同时，以戏谑和黑色幽默来化解影片自带的感伤，这个度挺难掌握的。很喜欢那个演妈妈的演员吴玉芳的表演。
57,看过,推荐,2019-06-23 23:09:34,52,生活在今天这个温吞社会中的人应该能从这部电影中找到共鸣，不论男女。它讲述的不是一个女权主义的故事，而是更普遍的一种困难，简单说是那种怎么只要做点正确的事就哪哪都不对的哭笑不得，更深刻的版本是，人对自我实现的期望和肉体存在本身的欲望局限，永远地在我们身上拉扯。
木卫二,看过,还行,2019-08-18 17:27:46,139,"时下+86们叫嚣的“我们有钱了""，被这部经济下行、人生寒冬电影，敲得粉碎。但片子最大问题，好像是风格杂糅不统一，不少台词干涩生硬。以开头疯子一脚、结尾哈-哈-哈三声，本片应该是带黑色荒诞意味的轻喜剧，如频频起跳的脏话粗口。可在切入家庭内部关系时，电影又变成批判色彩。贵州外景的云水缭绕，又自带艺术片腔。横空飘来的斯文眼镜π，更是想要尊严，就让你看看尊严被踩的样子。还有粉红西装男，单凭“别跟我啪，啪了之后，你的余生会永远回味这棒棒哒性爱”之类的台词，真乃新油田之子。当然，其他男性角色也没有好到哪去。"
影志,看过,推荐,2019-08-23 00:56:56,22,“只有走的远，才能看清世界” 我想和你做爱、多少钱才肯做、背圆周率到后一百位…不少笑点让这部电影更心酸。然而这么直白的女性表达，在华语环境应鼓励多于挑剔。结尾的“哈！哈！哈！”才是人生真谛。笑一笑，十年少啊，哈哈哈…
暖,看过,推荐,2019-06-18 22:39:25,83,在一种浩劫的状态中展现女性在人生面临坍塌之时那种逻辑溃散的状态，喜剧而轻佻的语调正是这种溃散的本质，处处散落的意像在最后皆有收尾，正如好风凭借力般轻盈，也有种若重的沉甸甸。笑点非常之多，大约人生也是如此傻逼。
杨立青ylq,看过,力荐,2019-06-19 00:26:26,190,像不像每个人一团混乱的生活，盛男像极了每个人的缩影，只不过她比大多数人更加的不幸，经历了特殊混乱的家庭，一份不是想象中的工作，甚至还疾病缠身，有几幕看起来挺荒诞和讽刺，但是盛男却做到了大多数人不敢做的勇敢，试扪心自问看到了所谓扒手又有多少人敢站出来，甚至冒着被报复的可能。电影的命题很宏大，无论是亲情，爱与性，死亡和轮回。每一个命题都无比宏大，只是看起来轻快是否又真正的就是轻盈的呢？电影里并没有给我们答案，而每个人心里都也有一个回答，这个回答也不是答案。因为人生不是一个问题，所以更没有答案。结尾那一句我爱你，还是让人有所触动。每个人的不同即是特立独行，所以每个人都是疯子。
王大根,看过,较差,2019-08-16 19:50:14,357,太做作了，真的太做作了，里面每一个情节、每一个人物、每一句台词都感觉是只可能发生在文艺青年真空世界里的，离真实世界三十万公里，怪不得叫“青云”。很多台词放在美国文艺片里没什么问题，但是用中文口语说“你还没有体会过真正的性爱”，是不是就感觉哪儿哪儿都不对？姚晨真精明啊，连着三部女性题材，纵然难看，也会让人觉得“但是能在国产片里看到这种主题还是很难得对不对”，但是就算再难得，难看还是难看啊……
法兰西胶片,看过,还行,2019-06-17 19:36:30,98,7分。我觉得这部戏最棒的地方就是创造了很多罕见的人物，除了梁冠华那个角色不够对称之外，其他角色都非常有趣，挖苦即关照。但缺点也很明显，人物经常被梗带跑，对梗的依赖，会造成人物的仓促，另外结局要是拍得再形而上学一点会更好，这明明就是一个无解的结局，它不应该还留在这世上，一定要飞起来的，不然上不了青云。
凌睿,看过,较差,2019-08-16 12:12:26,293,"和“女性电影”没有任何关系，就是一部职场片而已。
“职业操守”完全是伪命题，盛男拒绝写自传也和职业操守无关。
她不是一开始就拒绝了，是大纲都写好了，要签合同了，李平一句“甲方都是衣食父母”让她不高兴了。
哪有工作不受气的？哪有当乙方不被甲方侮辱的？
李平在甲方中都算非常好的了，又不要你一直改，又没有过分的要求，她听了一两句难听的话就宁愿损失30万也要纠正对方，简直就是典型的职场反面教材。
电影对金钱和名利的探讨太肤浅了，先把毛毳塑造成财迷，然后得出结论：不要做财迷，还是刘光明那样的不与世俗同流合污的人更好。
先把李平塑造成暴发富，然后得出结论：不要追求名利，还是李平父亲更朴实无华。
你不喜欢毛毳，就一定要去喜欢刘光明吗？你不喜欢李平，就一定要以李平父亲为榜样吗？就没有第三个选项吗？"
酸奶熊妹,看过,较差,2019-06-14 10:50:57,131,前后矛盾，不知道想表达什么
HarperDie,看过,很差,2019-08-11 16:37:17,122,半星。如果用粗制滥造来形容影片的质素，我都会觉得很对不起姚晨。但就公映版来讲，真的令人诧异。一个很有发挥空间、关注女性个体状态的题材，被处理得很空洞。叙事的完整、通俗化的口白并没有缔结出优质的果实，相反，很多桥段如同隔靴搔痒，感受不到角色本身的灵魂。即便是姚晨的表演、曹郁帮了很多忙的影像，也呈现出段落上的良莠不齐，七八个星天外的自如感消散不见。
是乌乌呀,看过,很差,2019-08-12 00:14:43,106,真的是太烂了，一星都多。要不是冲着映后姚晨到现场交流我根本忍不了了。故事讲不明白，台词说不明白，连电视剧都不如，想不明白大姚为啥演这片难道就是因为是“电影”吗？求她别自毁前程呀，导演太差了。交流时说的话很明白就是个爱装犊子的文青（贬义词），主持人也是没招，只能往意境上靠。观众也是傻逼，以为自己看不懂就是牛逼就是艺术嘛，可别逗了。电影史上那么多厉害的艺术片，电影该有的基本要素都很完善，基础做好了再拔高。在对谈中，大姚自己都不看好票房。真的是太烂了，不仅浪费我时间还在侮辱我的智商。
