用户,是否看过,评分,评论时间,有用数,评论
柳三行,看过,还行,2020-02-24 13:06:11,29,我在想是不是很多恐怖片导演其实是拍喜剧的料，反之亦然。
kakakarl,看过,还行,2020-03-02 19:21:59,11,女儿因为和女生所以不算处了，女主因为曾经那个男的太短所以还是处……哈哈哈哈哈哈哈哈哈又尬又搞笑～
大奇特(Grinch),看过,推荐,2019-07-14 05:37:33,7,在爱尔兰的高威电影节上看到的一部爱尔兰恐怖喜剧，现场观影氛围特别好。以鬼为背景，女主和一个不断被亡妻灵魂困扰的男主之间的关系，半开玩笑的把无厘头喜剧和恐怖结合，开始以为是低成本，岂料后面越来越多的CGI效果浮现，包括一个暴躁的恶魔，一道地狱之门和一只乌鸦。
赱馬觀♣,看过,还行,2020-01-17 22:55:02,7,通灵与司机的身份组合会让人想起大巧局，但这次不是虚借通灵兜售犯罪惊悚，而是真在通灵并极尽恶搞。只是自我冠名为“极其普通”就不怕这四个字成为热门短评？
同志亦凡人中文站,看过,推荐,2019-08-11 07:50:34,5,通灵老姑娘+鬼附身鳏夫=驱魔二人组。并不平庸的恐怖喜剧，用廉价特效贡献连串恶搞，有香港无厘头时代的遗风。
無 念。,看过,推荐,2020-02-27 03:46:57,6,没进去是什么鬼，也太好笑了吧，这是什么一本正经的胡说八道？
谢谢你们的鱼,看过,力荐,2020-03-01 09:43:13,1,哈哈哈哈哈哈哈哈，有毛病，太可乐了！
黄色动力伞,看过,还行,2019-11-21 00:02:56,2,猜想应该是好笑的吧，但爱尔兰英语没有字幕真的听不太懂
feeling,看过,还行,2020-02-24 21:04:13,3,影2095：勿饭后观看，哈。还不错。
方枪枪,看过,推荐,2020-02-26 10:01:49,5,又惊悚又搞笑的恐怖片，英国人拍真是娴熟
fire,看过,还行,2020-03-09 18:45:28,0,蛮好玩的，好可爱，不过看久了也有点腻
影愈者,看过,还行,2020-02-25 23:35:47,3,小成本电影，一本正经的恶搞并不让人讨厌，观感还是不错的，最后的解决方式也是真是够恶搞了，完全让萝丝自己用手指就可以了，马丁还真是个老实人....
梵目,看过,还行,2020-02-25 03:59:03,1,很酷哦，冷幽默+魔鬼圣灵
亵渎电影,看过,推荐,2020-02-24 01:53:46,4,如果SNL有英国版，估计就是这样吧。英国人的笑点一如既往的诡异，味道很正宗，只是多了一点屎屁尿的美式风格，故事线看似漫不经心，但编剧什么细节都没落下，连闹鬼都变得这么欢乐。
B仔,看过,还行,2019-09-18 05:27:43,2,三分钟之内我要知道片中鸡的来历。
张咏轩Wayne®,看过,较差,2020-02-26 09:33:09,2,爱尔兰口音真的是嚼不烂，各种梗也是英国人最擅长的，一本正经的胡说八道，倒是小成本的恐怖轻喜剧，还算拍出些花样的，驾照女教练还有通灵驱魔的隐藏天分，围绕这一特质，展开男主一家的灵异遭遇以及一个过气歌手的阴谋，电影节奏缓慢，一直在简单的剧本上做文章，冷不丁塞满了各种英式幽默，严肃处理荒诞的忍俊不禁，好像一位叼着香烟的中年大妈在胡诌，听的人只取一分就好。沉寂慢步调的前60分钟，电影在后半段开始发力，极尽恶搞还要玩血腥，那场恶魔要汲取处女之身的灵力，男主合力当场破处的戏也是没谁了，从优雅的黑色荒诞到最后变成屎尿屁的沙雕喜剧，也是英国人民骨子里最后的癫狂和纵情。★★☆
宇宙真理猪大肠,看过,2020-03-07 12:11:07, ,0,汉译名有点儿怪，通灵'车教 = 通灵的个体驾校师傅…… 前半段很赞，后面略水（埋伏和包袱太容易猜到），挺好玩儿的片子，可以看看～
PortaBubbleJoe,看过,推荐,2020-02-21 01:52:17,5,悍妇附身和猜猜谁是处女笑出猪叫，no anal哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈，谁还管剧情漏洞。
二货云,看过,还行,2020-03-08 23:41:43,0,封城第46天。很British，幽默惊悚都恰到好处
素人冯,看过,推荐,2020-02-27 23:19:08,6,当场破处真的妙啊！
影子,看过,还行,2020-02-25 18:10:39,2,我怎么觉得这电影好无趣。
Dioretsa-Z,看过,还行,2020-02-25 03:17:42,1,挺正宗的无厘头英式喜剧，捎带恶搞了几个恐怖片，笑点不够多呕吐凑一凑，女主角跟炸叔是不是有什么亲戚关系？
luerdelphic,看过,还行,2020-03-03 13:27:19,0,还不错，特别是大决战也是狗恶搞的了，有个疑问，马丁嘴里的xx究竟是谁射的🌚。
维恩B,看过,还行,2020-03-04 21:50:08,0,有笑到！一本正经的内涵段子+自黑，超有病~
有心人。,看过,还行,2020-02-29 14:51:51,1,欢乐无厘头驱魔片，捉鬼过程还是很有趣的，以及，“只进去了一点”这是什么👻啊，哈哈哈。
glim,看过,推荐,2020-02-27 17:24:10,4,秃头的都得下地狱
邻舍的老花猫,看过,还行,2020-03-07 17:35:40,0,类似  捉鬼敢死队  ，很贴合片中这句台词
kylegun,看过,推荐,2019-11-01 23:36:16,4,垃圾桶薯条皆附体，异次元水洼把狗吞，满城阿飘道早安，着魔龟速凌空飞，私驾教练驱魔人对决美帝Newage黑魔法过气歌手，傻傻蠢蠢挺可爱
