用户,是否看过,评分,评论时间,有用数,评论
惨绿青年,看过,较差,2020-02-23 01:08:21,8,看过美版，日版真的不好看，表演太尬了，挺受不了小百合奶奶那种睁着大眼睛，好像什么都不懂的无知表情的，跳伞、演唱会、吃冰淇淋几场戏里老海和小百合的表演真的尬到不行…唯一能看的就只有光妹了😓
EMO,看过,力荐,2019-12-10 00:36:38,23,这是我飞去东京 看她的第一部电影 真希望自己现在是贵妇 已经退休 随时飞去日本看她
颜落寒,看过,推荐,2020-02-22 23:50:58,18,"虽然是翻拍，但看桃草live，吃超大芭菲什么的还是很日式，尤其最后依然把重点落在亲情上。天海part:一向强势的女王由于癌症难得流露的脆弱一面，光头形象（假发质量真好2333)，翻单杠，被父亲摸头，就算在电影里也是到死也没有结婚生子啊😂吉永part:和光妹师生（《北方的金丝雀》)变母女，不得不说日本女性真的太难了，温婉又忍耐，男人真的到老都不会长大😓婚纱姿还是很美～光妹part:出场不算多，衣服你最多，职场，探病，和服，居家，幸福地结婚生子（我也想做光妹的孩子😭（你够。muro桑真实工具人，人太好了，其实我超想看他和光妹两个人来段“大恋爱”的,感觉会有火花hhh 。嘛，总之要热爱生活，有想做的事情就尽量去做，一定不要给自己的人生留遗憾（好敷衍的立意总结（难道不是因为光妹才这么多废话😉"
一天天的uccu,看过,推荐,2020-01-04 06:20:00,12,吉永小百合阿姨好好看，看完最大的感想是我也想要一个超有钱的朋友！！！
kiki204629,看过,推荐,2020-02-23 16:17:02,7,好治愈的故事。虽然是翻拍，但绝对是接地气的改编，天海佑希女王大人的气场太适合这个女强人的角色了，吉永小百合演技一流，敲儿子房门那场戏，手的颤抖，浑身都是戏啊。还有很多喜感的地方和温情的地方，都很有爱
Morning,看过,较差,2020-02-25 09:07:25,3,走马观花之作，吉永阿姨连滑翔在天上都是一副优雅姿态，我确实有些审美疲劳，我想看她俩调换角色，天海做家庭主妇，吉永做雷厉风行女社长，大概也是将原版转换了性别，所以这个电影免不了在性别话题上讨论，两位女性真正人生的遗憾还是一些爱啊家庭啊之类的东西，略微有些平淡，毕竟原版和妻子吵架也要去旅游，这版里吉永面对宅男儿子的一句答应就感动的热泪盈眶做到了爱的表白。遗愿清单是很难写的题材，清单有计划感，死亡又是不可解决的矛盾，电影在这个题材上遇到双重难题，这部将清单转换成少女的清单，所以出现了看演唱会吃最大的冰淇淋这样的有点无聊的情节，不像原版那些有个速度上的冲击力，另外最后天海羡慕吉永一天天和家人生活过来很珍贵，我觉得也是很掉自尊的，她当上社长拼搏的一天天就那么没有意义吗
陶者无缰,看过,还行,2020-02-24 10:48:03,38,這張單子告訴我們，人生關鍵時刻，還是得認識一位壕朋友才行。而我，算了，還是爭取實現安樂死自由吧。
天籁💤,看过,还行,2020-02-23 23:49:01,11,你说它水土不服吧，可它确确实实是日本本土化的女性视角，看完感受不到原版带给人的那种潇洒无憾，只觉得心疼憋闷，这种不适源于东亚女性难解的困境。浅层的“都挺好”没什么说服力，日式家庭哲学我就服是枝裕和。改编有瑕有瑜：两个不知道该干嘛的失意女性捡到“亡故”小姑娘的遗愿清单，终归实现的是她人的愿望；但最后一条宇宙旅行用花不完的身外之物得以实现，还是略略升华了一下整部片的段位。ps 看到50代和70代的双Yuri在桃草演唱会上重回少女的应援服look实属难得（muro桑打call也太熟练了点？
夏季的天空,看过,推荐,2020-03-07 23:29:48,1,"日版《遗愿清单》改编成为很有本土特色的女性电影，改动比较大；与原版的洒脱、睿智兼小幽默的风格不同，日版的重心放在家庭关系哲学上，尤其是沟通、宽容和表达爱意方面。
家庭不单是身体的住所，也是心灵的寄托处。
高空跳伞、“桃色幸运草”演唱会、特大号“芭菲冰淇淋”、迟来的西式婚礼、最后的宇宙旅行，一个个桥段形成了连绵不断的情感轰炸；结尾部分家人吐露心声和友人之间独白的催泪弹典型日式。
一个人为寻求他所需要的东西，走遍了全世界，回到家里，找到了。
与剧本相比，天海佑希+吉永小百合+满岛光的秀演技卡司更有看点。影片的取景很是不错。
最后补充一句：“有钱，真的可以为所欲为。”"
桃桃林林,看过,还行,2020-02-23 12:02:15,14,常规翻拍，整体新意不多，但是两个女主真是各有各的闪光。
bliteness,看过,还行,2019-11-03 14:18:48,12,"11-03@Grand cinema sunshine
放到高潮时电影院哭声四起，中间有个去演唱会的情节好像是真的在演唱会上拍的，足以见得这两个主演的号召力。但是情节上还是有点单薄的，不管是事业有成的女高管，还是平平淡淡走过一生的祝福，在绝症的弥留之际都是如此的没有梦想，如此的苍白。反要靠一个小女孩的寄语来找回活着的意义。实在是让人比起感动更是悲哀。小女孩的未来肯定不想成为他们俩中的任何一个。
やっぱ僕もお金持ちの友達がほしいな。"
vivi,看过,推荐,2020-02-23 15:16:00,4,3.5 和吉永小百合一起跳伞，感受演唱会，吃超大芭菲……翻拍换了地点和性别，少了狂野，多了细腻。最后一项可能是我的唯一清单。
不良生,看过,还行,2020-03-06 18:54:14,2,一生像这样满世界旅行完成心愿，只要有很多钱就可以完成了；可是要找到另一个一起陪伴义无反顾出走的朋友，这太难了。
暗地妖娆,看过,推荐,2020-02-24 15:05:38,2,本片证明，有一位土豪病友是多么重要，可以助你在有限的余生实现全部梦想。以及，天海女王太美！
陆支羽,看过,推荐,2020-02-23 15:50:50,1,3.5。
萌发奇想,看过,还行,2020-02-24 23:00:37,2,翻拍的很本土化，但是整体太平淡了，亮点不多。虽然两位演员都非常喜欢，但还是有些失望。
荆棘,看过,还行,2020-02-26 09:33:09,0,天海祐希走哪都是帅炸
阿落,看过,力荐,2020-02-05 21:17:55,5,哎呀这个电影看得我在飞机上一直哭到吸鼻涕 前排的大叔一度以为我是需要隔离的家伙…很适合在这个瘟疫蔓延时刻自己独自欣赏 是啊 人生就是这样了 没有一种人生是可以被看低的
风中奇缘,看过,还行,2020-02-23 20:10:05,3,表演有些浮夸啊，不过跟着两位到处旅行，看看风景也不错
谢谢你们的鱼,看过,推荐,2020-03-05 21:03:29,0,虽然没有看过原版，但是可以感觉日本版肯定更现实，更催泪也更细腻，改编上性别的转换非常有价值，吉永小百合的角色很能代表东南亚的老年女性，而天海佑希也赐予了女强人不一样的形象。影片并不追求好莱坞电影式的起承转合，而是用更生活、更日本也更平淡的方式诠释着人生中那些弥足珍贵的快乐。
anne 小兔子🐰,看过,较差,2020-02-24 20:48:28,2,"要不是因爲這卡司，要不然真心不會看《遺願清單》日本版

故事本身很有意思，但導演敘事手法、拍攝方式，都太有問題了。害我一邊看一邊刷遊戲。

覺得這種慢節奏又說教又無腦的作品，實在太像日劇拍法了。昏

聽說原版很好看，但我已經疲憊了"
镜中猫|51neko,看过,还行,2020-02-23 21:32:38,2,副标题改成有钱真好吧！我好奇我海是真剃光头了吗？百变发型+高级时装秀我可以！以及主妇阿姨恕我直言，真是有点喜欢给别人强加幸福呢。
匡匡,看过,较差,2020-02-23 18:58:17,2,忍住胃里的翻滚。表演尴尬到牙碜。抄作业都抄不整齐。
翦瞳儿,看过,推荐,2020-02-25 15:07:18,0,2020-02-24、25
昆虫学家,看过,较差,2020-02-25 01:31:33,2,卡司优秀也拯救不了日式翻拍的通病。
鬼腳七,看过,还行,2020-03-02 22:00:22,0,犬童一心还是老一套，（自以为）看似不露痕迹的狂煽情。不过说到底，为啥要翻拍这个片子呢？估计金主只是想看小百合和天海女王合作一出戏，这片唯一精妙的也只有选角。这么来看，也算完满完成任务了。
梵目,看过,还行,2020-02-23 04:02:27,0,同样泪目
Lu,看过,推荐,2020-02-24 12:20:02,2,七十多的小百合穿上婚纱眉眼里还是那温婉而坚韧的昭和美人，被硬邦邦气场的天海女王带着装逼一起飞，故事背景移到日式语境还是很有话题性，只是编导水平和原版差距较大。每个人都难逃一死，可是死之前又有几个人有条件任性一把呢？就算身体允许，贫穷才是限制梦想实现的最大障碍。
大魔王脆皮儿,看过,推荐,2020-02-28 18:34:34,0,看过原版之后，觉得日本翻拍可以的，一起去宇宙吧！
m89,看过,还行,2020-02-27 17:04:26,0,全员素颜。想给两星来着，但觉得不太对得起小百合老师。流水线剧本，十分行货，受够了你们这些中产阶级矫揉造作、虚情假意的无病呻吟。如果我明天要死了，今晚请给我来两碗吉野家的牛丼，要大盛哦~
Dita,看过,还行,2020-03-10 22:53:52,0,东亚三国手牵手，谁先平权谁是狗。女人太难了！天海是女强人最后醒悟普通人也挺好？另一位就是女儿啊，家人还要你照顾啊。太难了！最开始感觉两位主演在一起很尬也没什么冲突就一起打卡遗愿清单了，原版一张破破烂烂的纸到了日本果然是精美的手账本，本土化的不错。原版就觉得有点温吞一般般，不知道为什么要翻拍。
柯里昂,看过,还行,2020-02-25 19:39:47,1,两星半。华纳又来糟蹋自家片库了…与原版比很多地方都显得相当违和，天海祐希的角色也看着别扭。
prost,看过,较差,2020-03-10 22:28:35,0,融入了本国特色，算是成功翻拍，但是剧本和剪辑都很无趣，后半主旨不错成片几乎垮塌。最好的是主内玛利亚的片尾曲《无尽的旅程》+★
风舞狂澜,看过,还行,2020-03-07 15:00:56,0,太过主旋律，有点适应不良……天海女王还是这么帅气
东北洪常秀,看过,较差,2020-02-26 14:35:52,0,有钱有闲+想啥干啥=日版「遗愿清单」
变形的文科生,看过,还行,2020-02-27 23:11:14,0,天海sama真的光彩照人，与生俱来的个人魅力存在感太强了。满岛光白领范儿很对味，都市干练OL很适合她。总体蛮失望的，尤其吉永小百合一家最后强行和谐大团圆正能量也是很尬。天海sama这个角色的遗愿不应该这么空泛，超独立的绝对女性，一定有自己的想法，而不是借助一个小姑娘的日记来填补人生遗愿啊！
瓦力,看过,较差,2020-03-02 06:40:27,0,美国版成功的地方在于俩老头是互助对方实现了快乐，这个尴尬的日本版则是放大了强调：没有遇到这样的土豪病友，啥都别想实现。何况此二人连遗愿清单都没有，实现还是个陌生人的清单...之前看新闻日本有许多普通老人有惊人存款就是不舍得花钱，如果真要翻拍其实这是很好的切入点，为何一定要照搬原版的一贫一富设定呢？父女和解那段可以理解，婚礼那段真恶心，下辈子继续你妹啊。
飞鸟凉,看过,较差,2020-02-23 16:07:26,0,一切为情节服务，敷衍生硬的改编，遵循情感和道德上都绝对正确的原则，要大爱，要美好，要和解，反正也不顾人物逻辑，假假的
