用户,是否看过,评分,评论时间,有用数,评论
skysunny,看过,推荐,2020-01-25 20:37:47,4537,菜头最后一支烟，没有在车里点。
seabisuit,看过,力荐,2020-01-05 22:33:11,1490,這個世界，最公平的是太陽，無論緯度高低，每個地方一整年中，白天與黑暗的時間都各佔一半。前幾天我們去了動物園，那天太陽很大，曬得所有動物都受不了，它們都設法找一個陰影躲起來，我有一種說不清楚模糊的感覺，我也好希望跟這些動物一樣，有一些陰影可以躲起來，但是我環顧四周，不只是這些動物有陰影可以躲，包括你，我弟，甚至是司馬光，都可以找到一個有陰影的角落，可是我沒有，沒有水缸，沒有暗處，只有陽光，24小時從不間斷，明亮溫暖，陽光普照。#金馬56#獲獎前後台北院線二刷都爆哭。裡邊的人物和關係很代表台灣ASun，都有被舍弃后的委屈，做错事后的改过，宽容谅解乃至再次交恶，承担责任为别人付出，离开谁也要很顽强，正好也与本届奖项完美契合。他把所有的好都給別人，忘了留一點給自己。我們都曾受過傷才能成為彼此的太陽。
Jo-King,看过,推荐,2020-01-25 00:42:23,2095,有人得不到阳光照耀，有人找不到阴影躲藏，新年就这样开始了
低端youyidifi,看过,力荐,2020-01-25 05:17:17,971,"当一部电影刨除掉心机和算计，真诚的表达哪怕笨拙都是极度动人的。
我最喜欢的一点在于《阳光普照》不是什么教人走出阴影，必须和解的正能量电影，它恰恰是在直面阴暗，崎岖破碎的人生，从第一个镜头开始就有不可消除的悲伤洋溢其中，一直到最后阿和带母亲骑车的尾声，传奇总是在经历重重磨难艰难险阻后活下来，改变什么。但《阳光普照》不是，生活里就是有人生，有人死，有挽回不了的遗憾，有无法改变的命运，然后我们承载些什么，继续活着。
在焦虑，愤怒和恐惧重重压在我们心头的时候，等待的时间里，可以看看《阳光普照》。救赎哪怕在电影里都不是百分之百的事情，但我们比较容易知道怎么去面对歧路纵横的人生。"
Jeannels,看过,推荐,2020-01-25 19:00:59,1975,除了结尾的剧照，这一家人从未同框过。
面包面条面饼,看过,还行,2019-09-07 18:24:29,783,"TIFF, 换票的时候我说要换A Sun 员工问A Son? 结果映后倒真提到了这个双层含义 林生祥音乐加分"
后自愈,看过,推荐,2019-11-07 21:39:33,1266,阿豪讲的不是司马光的故事，而是他自己，真实的他其实一直躲在阴影里等待别人发现，可他终究被自己的阴影吞没了。前半部分极好，可后半段就变得冗长拖沓。阿和要出狱，狱友齐声唱《花心》莫名泪点。
哪吒男,看过,推荐,2020-01-24 20:14:11,1182,生命必须要有裂缝，阳光才能照射进来。谢谢台湾电影这几年持续挖掘华人家庭的恶之面，是这些软弱、凶狠、无奈、绝情，为爱赋予了真实的温度。日不落终将毁灭，阴晴圆缺才是生命常态。
海哈哈,看过,力荐,2020-01-25 13:52:41,865,"年度十佳备选。沉浸在故事里，人物被隐藏的每一种情绪都找得到来处，也能在自身找到依存，是为数不多的新的观影体验，不知是自己成长了，还是影片给了这样的思考。故事里的菜头和阿文都是全新的，没别描写过的人物，是在千万人海里找到的新的灵魂。菜头为了阿和，切掉了黑轮的手，却被阿和将所有的矛头指向自己，最后死了也只是得到阿和的一句「他一直在找我麻烦」。阿文是阿和的父亲，他从来不喜欢阿和，也从来不承认有这么一个儿子。阿和入狱，他希望儿子在狱中待到死。大儿子死后，竟然为了阿和杀了人。人生就是不断地「把握时间，掌握方向」，难过的事情总会过去，也会被遗忘，反正人生就是风风雨雨。
我一直觉得人生就像是一条路，只要握紧手中的方向盘，红灯该停就停，绿灯的时候慢慢起步，稳稳地开，人生的路就会平平安安。"
夕岸,看过,力荐,2019-12-09 22:56:55,157,人物之间的张力让人忘记了电影这个框架的存在，悬疑式的展开让温情和残酷都多了层次。这么特定的故事， 却像涟漪一样漾开到不被看见的阴影处。
