用户,是否看过,评分,评论时间,有用数,评论
私~川流,看过,力荐,2019-05-23 14:09:29,1436,最喜欢的迪士尼歌曲集终于在电影院听到了，A Whole New World那一首鸡皮疙瘩都起来了。威尔史密斯版的精灵非常好玩。全片色彩绚丽而幽默现代，反正我看得很嗨森。算是成功的真人翻拍。
突然粉碎,看过,推荐,2019-05-24 02:16:55,2100,热闹喜庆的阿拉伯春晚，史皇总导演，吹拉弹唱全包圆还免费陪聊，茉莉主唱，阿拉丁伴舞，贾方负责捣乱，阿布和魔毯浑身是戏，龙妈没做到的事，茉莉做到了，Speechless真香，盖·里奇真香，迪士尼真人电影会迟到但绝不会让一位公主缺席
杰瑞的胸肌,看过,力荐,2019-05-24 12:21:20,1189,"啊，真的真香了，完全超出预期，迪士尼果真造梦工厂，开头的长镜头瞬间就带入了童话王国的感觉，茉莉公主太美了，演技也很棒，骑着魔毯游览世界那段非常惊艳，当然反应的女权思想之类的就不多说了。谁的心里没有个童话梦呢！开始期待木兰公主！

PS：之前觉得男主丑，电影里竟然还不错，最重要的是歌曲真的太好听了，回去循环去！！！"
河狸,看过,还行,2019-05-24 17:01:49,2981,估计《一千零一夜》的作者也被坑过，不然为啥反派叫甲方。
壹安²,看过,推荐,2019-05-24 02:19:44,1405,迪士尼式浪漫转变成了本我身份的认同，而女性意识的崛起也给这部爱情童话升了一个华丽丽的基调。当然最爽的还是，绚丽色彩中史皇领衔的阿拉伯劲歌热舞嘉年华，迪士尼早该祭出这枚试听炸弹啊！！
我爱多奇妙,看过,还行,2019-05-24 02:08:30,1661,"1.刺客信条：阿拉丁
2.未经雕琢的钻石是处男的意思吧
3.练习时长一千年的个人练习灯神，喜欢唱、跳、Rap（种族天赋）
4.猴，英美合拍，两开花
5.灯神就是个蓝精灵+哆啦A梦+时尚博主+健身狂魔gay蜜
6.看到瀑布的我：卧槽！！！！盖里奇你还记得莱辛巴赫底下的萝卜福吗？？？？？？
7.茉莉公主一开口我就觉得她要let it go，毕竟迪士尼公主
8.阿拉丁被放逐到极寒之地，成了夜王
9.如果盖里奇还不拍大侦探福尔摩斯3，我真的可以把他的每一部片子都看成大侦探福尔摩斯，这不，我已经脑补了上百种大腐华福的魔毯play了
10.总体一般，剧情较水，所以请盖导赶紧回去拍大侦探福尔摩斯3，谢谢。"
nakedgun,看过,还行,2019-05-23 21:04:19,1398,不功不过，就是反派贾方的选角怎么回事？gay里gay气的，从头到尾对阿拉丁挤眉弄眼，老担心他要把阿拉丁从茉莉公主手上抢走。
同志亦凡人中文站,看过,还行,2019-05-22 16:54:22,658,欢快有如春晚，跟几个月前看的百老汇真人版有得一拼。不过好莱坞公主们是集体崛起了，阿拉丁摇身变软饭男哈哈。盖•里奇拍迪斯尼歌舞片，放以前我是想也不敢想的……
占士鯊,看过,力荐,2019-05-25 13:43:53,856,賈方最後淪為了乙方。
Nothing,看过,推荐,2019-05-14 22:55:12,1287,史密斯阿姨真的是神来之笔，让索然无味的歌舞童话瞬间变得笑声不跌，盖里奇，你真的本事大！
羚羊的灵魂,看过,推荐,2019-05-15 00:49:17,854,竟然觉得比动画好看？盖里奇还是有两把刷子，自己的风格也融合到故事里了。茉莉公主那首独唱一定会大火！
tangerine,看过,推荐,2019-05-24 18:52:13,820,"哇哇，这也太好看了8！谁能想到这个怎么看怎么扑街的阵容居然鼓捣出来迪士尼最强真人电影！Suprise！完美复制了动画里的那份让人神往的魔力，当艾伦曼肯的金曲在银幕演唱时，我就知道自己已经无法去要求一部更好的《阿拉丁》了。
      我得说，我知道有些人为什么不喜欢这部电影，不是所有的人都愿意相信童话的，是啊，为什么要去相信呢？我也知道这样的故事不可能发生，所以，如果先天就对童话故事不感兴趣，也看不上迪士尼真人童话电影里的任何一部，那么你完全没必要冲着钙导的挂名去电影院里自讨没趣，你依然不会喜欢它的。
      但是，如果你是原版动画的粉丝，痴迷于迪士尼多年未减的童真童趣，或是依然挂念童话世界的美好，愿意去相信生活中不可知的奇迹，那么我的朋友，我衷心地向你推荐这部电影。"
凌睿,看过,还行,2019-05-25 01:24:31,478,"人人都不待见小偷，但当小偷摇身一变成为王子，人们又纷纷刮目相看，这也太真实了吧。
阿拉丁还是那个阿拉丁，他的内心没变，唯一变了的是外在和物质。人们尊重的不是他，而是他的钱。
这是童话，更是现实。
人们总是认为有钱人就是成功者，你再有才华，你没有钱人们就会觉得你很失败，因为你穷就否定你的一切。
这也难怪阿拉丁会“黑化”，体验过当王子的滋味，谁还愿意回去做小偷？体验过虚假的美好，谁还愿意面对残酷的真实？
反过来说，每个人都需要体验一次穷困潦倒，因为只有这个时候才能看出谁是患难之交，谁又是虚情假意。
愿人人都有一个茉莉公主那样的朋友，你落魄时她不嫌弃你，你成功时她也不惦记你的钱财，你有钱没钱她都对你一个样。
你完全不必担心她会背叛你，恰恰相反，当你遇到困难时，可能她是唯一愿意帮助你的人。"
叶枕,看过,还行,2019-05-24 22:24:39,342,美丽的公主蒙着面纱从路边小贩那里拿了两块面包给饿了的小孩吃，然后老板合情合理要面包钱，公主一脸正义，我没带钱，你为啥收我钱？？面包要给穷人吃啊？？？和着还能拿别人的东西做慈善了？？我要编剧就安排老板强奸公主并卖去妓院抵债。
飞侠式拼搏,看过,还行,2019-05-24 02:38:24,303,"1.阿拉伯风情歌舞秀，非常轻松欢快，歌曲好听。
2.比想象中的要好看，降低期望能收获小惊喜。算是迪士尼近几部真人中比较不错的了。
3.搞笑逗比嘴炮的灯神，是个练习时长千年的蓝胖子，喜欢唱，跳，RAP，不打篮球喜欢健身……最重要的是能教人撩妹。
4.宠物真的很重要，关键时刻能帮上大忙。
5.奇异博士的披风和阿拉丁飞毯是亲兄弟？
6.神灯啊，能不能不要让迪士尼这么疯狂地改编真人啊！"
栗色雪,看过,推荐,2019-05-21 17:47:50,564,可以给到三星半，迪士尼真人化中最令人满意的一部。歌舞片令人亲近的天然优势（心疼一秒拍苦大仇深《小飞象》的蒂姆波顿），盖里奇轻微的棍棒喜剧和巴格达跑酷男孩阿拉丁很有化学反应。威尔史密斯没掉链子。可惜没找John Leguizamo演贾方。茉莉公主一首原创的Speechless这是迪士尼对女性主义表态度之歌了。
Macken,看过,力荐,2019-05-24 14:19:32,710,现在都是不做公主要做女王了，能在电影院听到a whole new world就值五星，speechless也很好听
电影豆豆,看过,力荐,2019-05-24 17:51:30,445,继马戏之王之后，唯一一部让我当场就想二刷的歌舞盛宴。动画片里的经典曲目都重新演绎了，还有新的音乐加入，更有天衣无缝的舞蹈，堪称完美。但是我知道评分不会太高，除了喜欢迪士尼，喜欢歌舞片的人，估计受众不会太多，比如我旁边的小女孩，就全程冷漠脸，因为她看不懂也不喜欢这类型音乐。但是对于我来说，这就是一部满分神作，既有童年的回忆，又有新鲜的感觉。不管你们打多少分，我这里就是满分了。
Célestine,看过,推荐,2019-05-23 19:45:51,362,特别不盖里奇又特别盖里奇 最带感的是颜色实在太漂亮
异鄉者 🎞,看过,推荐,2019-05-24 12:17:22,247,烂番茄评分太低是因为要求太高了吧，充满活力的歌舞戏和明确的剧情主旨在近今年的迪士尼系列片都难得一见。如此迪士尼风格的歌剧式爆米花片已经不能太满足，甩《胡桃夹子》和《小飞象》几条街。做人，欲望还是不能太大，否则后果就像巫师一样被困在方寸之中不见天地。
Irgendwie,看过,推荐,2019-05-24 15:39:19,175,蛮有意思，男主科普特人（埃及基督徒），我觉得他们更接近古代埃及人不是很阿拉伯；女主爹是英国人，妈是出生在乌干达的吉拉特人，19世纪晚期印度人被英国人弄去乌干达修铁路留下了，但71年被阿敏驱逐；宰相是突裔荷兰人；苏丹和侍女都是美籍伊朗人；傻王子丹麦+立陶宛；侍卫土裔德国人。😂
一口大井子,看过,还行,2019-05-24 10:27:29,98,这个故事告诉我们每个人都要养宠物，它才是最忠心的。比想象中好，起码没有照搬原版，加了些心思，虽然大多是画蛇添足和强行女权了，前后两场追逐戏还挺带感的，是盖里奇的水平，可惜这届王子唱歌不太行啊，和茉莉公主一对比真心开口脆。
AshBoydSwan,看过,力荐,2019-05-24 13:08:55,108,4.5 我靠 史 皇 巨 星！加粗加斜！一人血书跪求史皇双提！！！太开心了上次在影院这么开心已经不记得是什么时候了！门肯的音乐“大片化”之后真的美到掉泪，两个主演也基本完成任务，很可以<3马苏德真好！！！可爱！Jafar太差= =|||
张小北,看过,还行,2019-05-25 22:14:49,72,迪士尼动画片真人版都有这个特点：你看到一帮人在欢乐地唱歌跳舞，你就莫名地很开心。开心完了你就忘了。另外本片大量大量地借鉴了许多经典爱情电影桥段……看到这些熟悉的桥段只能会心一笑……
西楼尘,看过,较差,2019-05-23 20:35:52,328,站上魔毯的是王子也是小偷，钻出神灯的是精灵也是巫师。抵得住诱惑的小偷才能收获爱情，付出了真心的精灵才能重获自由，不再沉默的公主可以浴火，不再说谎的王子方可如愿。在灯神帮助下，猴子瞬间学会打鼓，王子马上加入男团。再尊贵的公主也无法拒绝，月光下他站上魔毯，说跟我来吧，我带你看看世界。
Nova,看过,较差,2019-05-24 10:56:29,186,感觉看了一部20年后的印度拍摄出来的电影。。
亵渎电影,看过,还行,2019-05-26 02:08:33,52,一部部迪士尼童话电影真人版看下来，并不讨厌这些老动画技术翻新的片子，其实换了什么导演，拍出来的成片都必然打上迪士尼童话的烙印，请大导演来也逃不过工业流水线监工的命运，不过对于喜欢这些大导演的人来说，至少还有一点找导演风格影子的乐趣。大导演们挣了一笔块钱，但愿他们接下来可以拍点正儿八经的东西。迪士尼输出的价值观很厉害，美学风格也非常有辨识度，现在每次看它家出品的电影都有种逛迪士尼乐园的感觉。
