用户,是否看过,评分,评论时间,有用数,评论
小鑫,看过,还行,2019-11-07 18:45:53,200,思追还是那个思追，温宁却不是那个温宁了，受剧版影响太深，总觉得温宁应该是那个不爱说话，小心翼翼的心思单纯的小可爱才是。两个人稍微有点扛不起剧情，想念魏公子和蓝忘机啊……
野蒜,看过,较差,2019-11-07 16:19:25,71,这个开头我以为在看廉价鬼片，其实制作比陈情令好一点，毕竟时长摆在这里。同人剧情也很符合墨香铜臭的写作口味，鬼将军与思追于小不夜天大战小薛洋。
山人阿苍苍,看过,较差,2019-11-07 23:29:57,88,就是一个义城篇重写，赵忆的人物原型就是薛洋，这么明显以为大家看不出吗，好鸡贼的创作偷懒方式啊。：）））
叫啥不重要,看过,很差,2019-10-30 11:57:28,100,过度消费
二许,看过,很差,2019-11-07 19:35:56,67,"1时间线混乱 （太乱了真的太乱了太乱了 我都不一一整理了）
2萧情死的时候演技太尴尬了，竟然还放了3遍
3前期镜头切换太硬了
4配音出戏
5温宁是死人 鬼将军   怎么会有嗅觉
6转折还行"
MolllllllloN,看过,推荐,2019-11-09 12:41:13,30,看见熟悉的温宁和阿苑真好 但是回忆部分的故事很一般 后期的团战太追求效果了 而没有了亮点 配乐也差了一些 全剧的主配色不够“红”
穆子衿,看过,较差,2019-11-10 20:59:15,44,"其实不叫番外，应该叫同人。但是吧，真的很想吐槽那个能够对思追进行连环怼真的有点毁人设啊。还有是因为剧组很穷吗，思追去夜猎怎么可能独自一人，他又不是金陵那个独行侠。
还有就是赵忆那个毫无逻辑的故事，温宁和思追都和没带脑子一样的就相信了？"
芦哲峰,看过,较差,2019-11-16 15:59:04,26,赵忆爱萧情不得，一念成魔，灭门夺魄；温宁过鬼城扶风，巧遇思追，联手擒凶。蹭热度之作，鉴定完毕。
清洛枕书,看过,很差,2019-11-07 23:10:35,42,嘴上说些后会无期，身体蹭热度也是很诚实啊，勉强一颗星，魏无羡有了个背影。（时间线混乱，故事尴尬，说教意味太浓，演技太差，不过那句“叔叔”还是好玩的。<嗯，我是看了才来评分>）
你们不懂无语,看过,很差,2019-11-07 15:41:27,54,这是什么？萧情萧忆是哪位？不是原著的番外别挂原著名好吗？后会无期了宁嘞。而且演技也不行啊
雨过终究天晴,看过,还行,2019-11-08 00:42:51,107,为了郑繁星来的。配乐和陈情令差了不止一点半点。剧情也还好。但是bgm用无羁真的好吗？最后还有师姐的影子？？不是纯原创吗？？xp要点脸？？？
蓝清凌,看过,还行,2019-11-07 19:02:37,49,有点尴尬，不过思追还是很可爱的……
百里苏苏,看过,还行,2019-11-09 09:57:31,12,故事还可以，思追还是那个思追，但温宁却已经不是那个温宁了。剧版里的温宁呆萌木讷又执拗，特点个性突出，而影版的人设却相当普通。温宁觉醒以后的发挥还不错，cue魏公子，不让叫叔叔，以及温宁最后除去心魔“魏公子的傀儡”是亮点。
十八号木木夕,看过,很差,2019-11-07 21:46:11,33,这什么乱七八糟ooc的同人啊，看吐了
御烟缥缈录,看过,还行,2019-11-09 20:40:10,8,请不起夷陵老祖，请来温宁也行，只是温宁还是傻傻呆呆的更可爱一些。
空無零,看过,较差,2019-11-07 23:30:49,29,两星给温宁和思追....
落红尘,看过,较差,2019-11-07 23:50:34,11,看完了仿佛没看过，到底在讲什么。。。
九命相柳,看过,较差,2019-11-08 21:03:48,10,一星给思追，一星给片头动画
不二幸村,看过,较差,2019-11-10 21:04:24,6,整个打光和廉价的鬼片差不多，剧情逻辑也很混乱。
命运释不尽的是,看过,很差,2019-11-07 20:47:41,25,繁星小哥哥对不起，你的演技还需要在磨练磨练，主演那个真的不适合演戏了，球球放过大家吧
安仔大kuma,看过,很差,2019-11-08 12:08:59,29,看完翻了个白眼，温宁简直ooc，再不喜欢被叫叔叔，他也不会叫阿苑为思追，赵忆不就是另一个戏精boy？编剧是不是温情令没过瘾这边又来秀智商了？我承认这个特效比陈情令本令的打斗好，但是你不能吸了忘羡的血来孵这个蛋吧？而且俩主演演技都一言难尽。|我宁可阿瑶和薛洋把恶友篇演了，应该能hold住。|另，有时候你和演技只差一个男主，但更多时候男主只会暴露你演技差。
火炉围拥两粒砂,看过,较差,2019-11-10 21:37:12,5,剧情中规中矩，体感是低配版的常氏案+义城，反派低配版的薛洋+聂导，不过特效做得比正片精细，开篇简直恐怖片。但温宁太OOC了，整个低配版魏婴，但他不是这个类型的啊！结果满场待我装逼带你飞的感觉，思追简直是用来捧哏喊666的吉祥物，剧情跟正篇时间线也对不上
颜浅,看过,很差,2019-11-07 16:13:39,18,剧情逻辑混乱，特效五毛
龙虾,看过,很差,2019-11-07 20:59:55,23,剧情弱 演技尬 特效五毛 可以衍生 但请先用点心
风,看过,力荐,2019-11-07 22:09:00,34,这是小天使，两个人第一次自己主演的电影必须好评。以示鼓励。尤其是后面有一段。我无限出来的，即使，我们知道那个不是肖战。我们也感觉到了很激动。
醒醒大白熊,看过,2019-11-23 17:21:28, ,8,鬼将军说世界上没有鬼？。。
梦思雨,看过,推荐,2019-11-09 19:46:48,18,这部电影大赞于斌的演技，把懦弱的温宁成熟了，可以独挡一面，故事不错，但情节还可以在细腻一点，郑繁星的思追也要有点进步吧，还是老样子！温宁的成熟转换，有点过快，剧场本影响太深，有点转不过来！对于演员演技来说，非常不错！加油↖(^ω^)↗加油！于斌郑繁星
Lunar C.,看过,还行,2019-11-26 03:17:31,2,制作和特效都算有，但演员演技还是可惜了一切。
Desenrascanço,看过,很差,2019-11-07 23:57:49,11,辣鸡 简直侮辱陈情令和温宁小天使
白無硯,看过,2020-03-07 00:05:31, ,0,叫前辈 叔叔 显老
马克西米利安,看过,很差,2019-11-10 00:18:16,5,太尴了，但凡换成景仪思追组合，听蓝怼怼吐槽，也能多一星。
幸运+++,看过,较差,2020-01-15 03:59:00,0,打着陈情令的旗号，温宁也太OOC了，故事也和主线很多不通啊，阴铁哪来的，手稿哪来的，温家照理应该没了啊，萧家怎么还在向温家供灯。打斗和特效有好一丢丢吧，故事很像义城篇的感觉，以至于我刚开始还猜反派是不是薛洋。
胡桃园咔嚓女王代表老柴咔了你,看过,较差,2019-11-13 02:40:47,1,画面很好，最后一场打斗竟然莫名搞得很热血，结束前各种反转再反转……= =这么长片其实讲的内容不算多（就是女主和某男配的相爱故事……）虽然思追和温宁还是蛮可爱的一对，但是……终局打那么辛苦仿佛圣斗士星魂锁链+火影配乐般的即视感（违和的热血电吉它音乐……）是怎么回事？然后你们的羡羡其实连头都没有出现哟，啊哈哈哈哈哈哈（RIP）这个片其实是为温宁思追CP粉设的。
灃湮。紀。南城,看过,2019-11-26 08:18:28, ,1,也就场景特效和片头动画是亮点
疯狂橙子,看过,很差,2019-11-08 16:56:58,4,尴尬啊 到底这讲了个啥
Santorini,看过,很差,2019-11-08 13:38:01,0,圈钱太明显了
Saber宝蓝,看过,较差,2019-11-11 12:25:00,2,非常套路的一部电影，到中期基本能猜到结尾，人物有薛洋、师姐和聂导的影子，没太大新意。
🐼🐰🔥⚓🔱,看过,还行,2019-11-09 21:09:03,5,番外篇与陈情令没有太大关系，剧情太简单，温宁突然变得好厉害，思追成了衬托和辅助，赵忆的表情演技还行，三五个人撑起来一部电影，实在不容易。特效比之前好点，但勉强凑合看的剧情有消费了陈情令的感觉。
你家贰哥,看过,较差,2019-11-07 22:31:54,6,对不起我真的想抱着客观的态度去看，但我尽力了……
草地滚狐,看过,很差,2019-11-09 20:35:53,4,有这时间拍拍原著番外不好吗哈哈哈。一星给思追小可爱。
静泽蕾拉,看过,很差,2019-11-07 22:01:25,4,滚
娟子*,看过,力荐,2019-11-07 19:11:04,22,我的温宁，我的思追，我的陈情令，必须五星。
柳千寻,看过,很差,2020-03-05 09:53:26,0,biss
熊能能脚不沾地,看过,较差,2019-11-26 10:13:34,0,我一头雾水
顔雪涯,看过,很差,2019-11-13 00:47:00,0,"“魏公子说：别叫叔叔，显老！”
……
妈耶！
你们这出义城篇翻版演的挺好吖
小可爱温宁也能把铁链玩儿出花儿来了
可是，为什么要拍这部电影呢？
白白砸了陈情令的招牌"
十七君Tanya,看过,较差,2020-02-28 15:12:48,0,要不是思追那张脸我真的看不下去
沫哥,看过,很差,2020-01-23 22:40:49,1,什么垃圾，啊啊！！
margaret,看过,较差,2019-11-10 10:48:02,4,多一星⭐是给思追的
Amon,看过,很差,2019-11-24 22:46:12,1,烂片有烂片的好处，适合做影视基础教材，作为反面案例。
大面,看过,很差,2020-01-10 01:37:52,0,？？
柠柠,看过,较差,2020-01-28 14:51:22,0,鬼片不像鬼片，恐怖片也不像恐怖片，时间线也和陈情令搭不上，唉，一言难尽
somebody,看过,很差,2019-11-08 12:32:13,3,名侦探温宁，一星给郑繁星
竹小息,看过,较差,2019-11-08 17:11:07,3,嗯……看完了，有点小阔怕，思追仍旧是呆萌小天使，温宁好像成长了，总之温宁不再是那么懵懵的了，毕竟没有魏公子了，温宁要独扛大旗，但他们俩的武力值有点弱呀，温宁是谁呀，温宁可是鬼将军啊，手狠话不多，现在就pk一个练邪术之人pk了八十分钟，总之，人设没有太立住，剧情……emmm很熟悉，没太大新意，就酱
jiangjie,看过,很差,2019-11-07 20:46:21,5,我为什么想不开要看这个
