用户,是否看过,评分,评论时间,有用数,评论
掉线,看过,还行,2019-11-12 17:20:23,393,【C】“复古”的像一个出土文物，希望伊丽莎白班克斯早日放弃编剧与导演事业，梗比迈克尔贝写的都难笑
惘然,看过,还行,2019-11-12 18:17:46,255,"也只有美国人敢这样写，情节反转反转再反转，好人坏人好人坏人好人坏……
#电影中有玲姐的惊鸿一瞥#"
甄甏甏,看过,还行,2019-11-12 15:19:30,267,比想象的好看哎，小K也tm太美了，无论是金发大胸还是短发飒爽的造型都好适合她5555；看之前不看好黑人小姐姐，片子里面维密天使一样的身材直接让我说真香；相比之下茉莉虽然很可爱，比前两位就稍微逊色点儿了。
西楼尘,看过,还行,2019-11-12 22:31:56,99,天使的衣帽间除了华服高跟，还有枪支迷药。既能装扮马桶头，也能驾驭晚礼服，既能高空跳伞，又能骑马追车，既能破解缠斗杀手的招式，也能深埋并肩战友的追思。如此才敢淡定说出，男人昨天还在说爱你，今天就会想要杀了你的心得体悟。预知了门口即将被电死的保安，并不打算上前拯救，浑身是甜蜜的危险。
鹿鹿酱 ♪,看过,力荐,2019-11-15 14:42:10,71,这两年越来越多女性电影啦，真的每一部都是女性爽片！长得又好看身材又好，衣服和妆容都好漂亮，又能打又聪明，我都会爱上！电影好多熟面孔啊！！女子监狱的美容师也在！哈哈哈哈
YthguaN,看过,还行,2019-11-05 21:22:02,92,视听效果还是很不错的 美女养眼动作利落 我A掌权制作的原声带是超大亮点 但剧情方面来说就是完全没有剧情 最后所谓的女权宣言意淫更是莫名其妙 槽点太多 总体评价大概进厅两分钟后就可以直接睡觉了
乌鸦火堂,看过,推荐,2019-11-14 19:38:14,232,3.5星，肉眼可见的“好看”。果然女导演最适合这类作品，而且拍得真美真飒！放弃打女路线而是谍影重重范儿，更不是如老版让天使当“工具人”，是真正的让女性角色完成男性的职能，这处好评。只是故事陈旧，毫无出彩，过场转折用歌来凑。所以包装方面下足了功夫，天使造型多变，超级养眼，尤其舞会上的跳舞，美不胜收。A妹的主题歌太好听！小K不错，但我最爱“茉莉”。
倪克斯,看过,还行,2019-11-14 13:33:45,51,姐妹开心爆米花电影 以及说没有亚裔的…Naomi印度裔算亚了 所以其实只是更zzzq而已 虽然她的脸完全white passing
Lanita,看过,还行,2019-11-15 14:26:17,37,我这个feminist看的尴尬死了，无聊的故事还漏洞百出，主打women power结果只有光鲜靓丽的外表。同类电影被讽政治正确，女权被妖魔化，这些不走心的人要负一部分责任。另外，那些质疑亚裔却鄙视黑人的快别双标了，都是有色人种露怯了不是？
Stiles,看过,较差,2019-11-15 12:37:21,478,上周看帅哥空战，这周看美女特工，看得我弯来直去的真累。
影志,看过,还行,2019-12-21 03:24:25,11,穿粉衣骑马的小K太帅，还是个表情包。有个小男主，简直法鲨附体…最后的天使荟萃、男士倒地，倒是过瘾。“喜欢电影的人不分年龄”
无耻不混蛋,看过,推荐,2019-11-13 11:40:56,171,每个时代，可能需要的是适合每个时代的“霹雳娇娃”。预期不高，看完，第一时间想说的是：咦，居然还挺好看的啊。并且，可以负责任的说，这是一部无论男女观众看完，都会觉得爽的大爽片。而且这一部，最让我惊喜的是，影片除了时尚、轻松、好笑、好看的“生理爽感”之外，还顺带在结尾部分，营造出“每个女人都是娇娃”、“都是查理的天使”的“心理爽感”。
桃桃林林,看过,还行,2019-11-21 07:56:08,15,大概能理解这部电影为什么叫时装动作片了。另外，本以为最吸引我的是小K，不过看过之后反而对埃拉·巴林斯卡印象最深，一个个子很高的黑人美女。
匡匡,看过,还行,2019-11-15 21:24:06,21,漫长。难看。
徐若风,看过,推荐,2019-11-14 12:35:35,60,比预期好，观感“轻松+愉悦”的时尚动作喜剧，编排了不少有趣的地方。继承老版精髓的同时，又做了新时代的新表达。小K、娜奥米、埃拉，三个角色在外貌、性格人设上都截然不同，在负责美貌的同时又充满活力。
sam,看过,推荐,2019-11-12 21:08:07,35,悬念和剧情都中规中矩，不过看小k疯狂换装真的蛮爽的，而且在面瘫之外居然还有鬼脸和四肢协调的热舞，完全是从土豆泥一下子上升到豪华全家桶啊！动作戏不多求，但喜剧性很强，虽然大都是卖萌嘴炮。不过对#片名完全不想看系列#来说，真的是很好了。结尾看得出是刻意拔高女性高光，但全员助攻也太蠢了吧。
what'swilliam,看过,还行,2019-11-15 20:02:07,24,3星。华而不实花里胡哨。1.说句政治不正确的话，长发的“贝拉”很美很性感，短发的她实在太“攻”了，略接受无能。2.全片很像成龙逢年过节的6分商业贺岁动作片，全球可哪啪啪走，就像肯德基麦当劳的新品，颜值看着挺高，吃起来emmm。3.莫名其妙的调情，女主莫名其妙的成长，计划都莫名其妙的儿戏，还有莫名其妙的女权，反转也很无聊。4.说到女杀手还是日常想念刘玉玲和Maggie Q。5.男配都是熟脸，新版有致敬老版的段落，我好像眼花了，最后看到了黛米摩尔？6.Donna Summer的disco很好听。
凌睿,看过,较差,2019-11-15 17:26:19,309,"导演是不是以为女性英雄打败男性反派就是女权电影？你是不是对女权有什么误解？
女权是勇敢表达你的观点，而不是屈服于领导的命令。
是内在的自信和觉醒，而不是简单的打个架、杀个人。
仍然是老掉牙的“抓内鬼”的剧情，而且还和《黑衣人：全球追缉》撞剧情了，刚开始以为A是内鬼，后来才发现B才是内鬼，没有任何新意。
笑点也很尴尬，很多地方你知道是笑点，但是并不好笑，看得尴尬症发作。
大BOSS买“克里斯托”是为了杀人于无形，可问题是，为了得到克里斯托他前前后后杀了很多人，而且还没有遭到警方通缉，没有任何人管他。
既然他杀了人不会有任何后果，又何必大费周章去买克里斯托、逼迫女主角把最高权限改成他？他直接用枪支弹药杀人不是更方便吗？"
OCT IO≯,看过,还行,2019-11-16 16:39:12,14,太套路了，打戏没灵魂，为了强行制造反转连基本逻辑都不要，关键提前泄了气(**前方剧透自动闪避**自编自导自演的大女主怎么可能是坏人嘛，否则怎么扛女权大旗……给一闪而过的老版彩蛋多加一星……
飞侠式拼搏,看过,较差,2019-11-15 00:00:45,172,"1.这不算什么真香娇娃，这是扑街娇娃吧。
2.老版两部最终反派都是出自“本方人员”，新版《霹雳娇娃》依旧延续着这一点。
3.动作戏勉勉强强，节奏偏慢。总体上没啥多大亮点，还给人很乱的感觉。
4.除了看看美女，听听歌，然后……然后就没啥了。
5.“迈克尔·基顿是蝙蝠侠，本·阿弗莱克是蝙蝠侠”。不不不“暮光女”小K，你前男友兼“吸血鬼”罗伯特·帕丁森才是。"
基瑞尔,看过,推荐,2019-11-15 19:57:08,10,今年有两位重要的商业片女导演亮相：Olivia Wilde之于自己的首秀《高材生》，还有一位是《完美音调》系列后努力进步的Elizabeth（明显与否先不讨论）。重启熟知IP的压力很大，但却在于当时事语境发生改变后，将旧有故事注入新的能量和注解—无论是有效的和没效的。有效在于一如既往用时装和热闹拼凑，组成了至少和《瞒天过海: 美人计》差不多的可看效果；而三位新的女主依然是非常具有个性的选择，尤其是Naomi Scott真的超级可爱。但无效在于片中充斥着浮于表面的女性主义讨论，却不及原版自然散发的“Girl Power”气息。不过片子好玩的彩蛋和客串真心太多了，还是希望Elizabeth继续加油啊。
Jules,看过,很差,2019-11-15 10:31:14,138,看了十分钟，查了一下导演和演员都是谁，撤了。一股儿童片的欢乐热闹撩骚味，音乐赶客级别的难听。
唐小万,看过,还行,2019-11-15 19:55:38,6,不算难看，Ella Balinska美
Smile铭_,看过,较差,2019-11-15 01:24:57,149,竟然是烂片气质……霹雳娇娃本来最大的魅力就是特工行动中讲女人的优势放到最大化，这部除了第一场戏的色诱有点霹雳的意思，其他的行动线其实换成男的也差不多，整体结构把握的不好，缺乏灵气的打斗只能看着更像b级片的气质
荔枝超人,看过,较差,2019-11-15 19:24:51,156,嘿，醒醒，姐姐们，这个世界上还是有少数智商超过80的男人的。
托尼·王大拿,看过,较差,2019-11-15 20:17:07,108,既然某些电影里可以把女性描写成胸大无脑的道具，那这部电影也可以把男性描写成胸不大也无脑的道具，Feminism和所有的-ism一样不过就是门生意么。另外某裹广告真硬，硌牙。
大武妇,看过,还行,2019-11-15 19:52:10,16,这个题材.....这个幕后........看到了第一波物料之后.....就已经没报什么希望了，ks还是去拍文艺片吧，这种烂商业片简直是在压榨你的光芒
谢谢你们的鱼,看过,较差,2019-11-15 21:14:21,24,真的很无聊，但是又稍微有一点点乐趣，应该是这些年到现在最没有底气的重启片了吧，4800玩得预算就是一个中低成本，演员搭配也毫无火花，平淡如水的叙事总觉得在看电视剧，其实有很多很值得展开的设定，最后还是陷入了山寨《碟中谍1》的怪圈当中，为反转而反转。整部电影文戏尚有一种尴尬的趣味但是动作戏则一塌糊涂，伊丽莎白班克斯拍拍《完美音调》挺好，整动作片真的是不灵光，很多场戏搞得像GUCCI或者LV广告也是够够的了。PS：纳奥米还是超美的，不过小K的角色明显让凯特·麦克金农演更合适。
哦豁完蛋！,看过,较差,2019-11-15 09:08:17,38,咱们是为了去听打雷姐唱歌哇！！！不如让《别叫我杨颖》的三姐妹——A妹、麦粒和雷女士来演？票房会爆(狗头)
水浒三国金刚,看过,较差,2019-11-15 14:32:10,23,查理的政治正确天使
木卫二,看过,较差,2019-11-15 22:22:30,27,比土味海报好一些，因为，她们居然会动
时间之葬,看过,推荐,2019-11-15 13:18:32,13,大概可以算本月最“好看”的电影，从演员、服饰到动作场景，各种意义上的养眼。在原版女性动作片的基础上，把原来汤森德事务所的世界观进行了升级和拓展，拍成了一部节奏紧凑悬念跌生的新式谍战片。同时还充分发挥了导演伊丽莎白·班克斯的喜剧天赋，各种高级梗和冷幽默溜得不行，全程轻松畅快。虽然不是女生，但我猜应该没有女生不喜欢看这种电影吧。
