用户,是否看过,评分,评论时间,有用数,评论
史凯利杰的渔夫,看过,力荐,2019-12-13 14:51:39,245,等了这么久，原来这不是剧场版，是TV动画的前五集……
dayday,看过,力荐,2020-02-19 17:37:12,129,"- 别纠结了, 动画 1-5, 安心等第二季吧"
caidada,看过,力荐,2019-06-23 08:56:36,71,！！！！这么快就出剧场版！
Tan90°,看过,力荐,2020-02-06 00:50:12,72,原来是合集。
骄傲的大饼,看过,推荐,2020-03-02 23:45:00,49,为啥突然被顶到首页了
元気教授,看过,力荐,2020-03-03 00:30:57,65,突然冲上热榜第一，八成是大家都对《无限列车》饥渴难耐了，个人感觉引进的概率很大。祝愿疫情早日结束，在院线看大哥！
Andy大柠檬,看过,推荐,2019-10-05 18:55:56,43,不得不说，这年头当男主惨呐！好像每个主角的身世不沉重一点，不虐身虐心虐得死去活来，再自强不息，浴火重生获得心灵上的升华一下，都不好意思当主角了似的。
瞳·莲,看过,还行,2020-02-08 16:18:47,18,热血长篇的前期都是这样不咯
野鬼,看过,推荐,2020-03-02 18:24:07,25,为什么会上热门第一啊 这不就是前五集吗
大喊一声！,看过,力荐,2020-02-24 22:29:11,56,一口气肝26话，前两集一般后面不要太热血。水火属性，加上男生抗拒不了的各种属性刀和十款刀法第一季留下了火之呼吸的迷和十二柱十二鬼月。啥也不说了好吗 等下一集 顺便说一下香奈乎爱了 像雏田，虫柱家三姐妹像血小板啊哈哈
重度青春期患者,看过,力荐,2020-03-02 15:06:02,48,还以为是剧场版，结果是tv的，但是是真好看给五星
yѧѳ⑉爻,看过,力荐,2020-03-06 10:03:31,6,记录
GIVIND,看过,力荐,2020-03-07 08:01:48,6,这种二次元大势剧集之深入人心之深入让一发入魂的粉丝比如我明知被骗都乐呵呵傻乎乎心甘情愿——啊啊啊我要攒钱买妹妹手办以及无限列车抓紧安排上日程啊不然大会员撑不了多久了啊!!
电影爱好者,看过,力荐,2020-03-06 14:22:23,3,五星推荐不解释
使君子,看过,力荐,2020-03-06 21:53:19,0,好看啊。兄妹那段被感动到，强推～
京极猫,看过,力荐,2020-03-06 15:10:08,0,太神奇了 这钱圈的
你好帅哝,看过,力荐,2019-10-28 08:55:09,10,上头了一个月
破罐子,看过,2020-03-02 08:34:27, ,2,看评论说是tv1-5 那就直接标了嘻嘻
星际旅行中勿扰,看过,力荐,2020-03-08 14:20:31,0,好笑又热血，刺激又温情，推荐一看哦。
Wilson,看过,2020-03-06 17:39:58, ,0,只是tv前几集放一起而已。等第二季
Cherian,看过,力荐,2020-03-06 16:57:41,1,动画集结也给5分 猎人OVA也是连载的重复我都看了三遍。。
Yahto,看过,推荐,2020-03-02 03:18:01,15,7.0/10，兄妹的羁绊，TV版前五集合集。
听海亦歌,看过,力荐,2020-03-07 12:57:53,0,TV前5集？
凉姑小肚瓜西西,看过,力荐,2020-03-06 20:01:00,0,突然上实时热门了那就来打个分吧...
萝卜,看过,推荐,2019-12-23 08:48:23,16,个人觉得前五集比较好看，感觉作者有仔细的思考过。后期有点赶，故事编的不是很好
小程同学,看过,较差,2020-03-03 10:02:33,1,我称这种为剪捞版
梦想家波迪Ss,看过,力荐,2020-03-06 23:00:15,1,剧场版集合的动漫前五集
早春入泥,看过,力荐,2020-03-02 22:56:31,0,tv前五集？
颜落寒,看过,推荐,2020-03-03 10:23:50,8,听说只是TV前五集，大家大可不必吹得太厉害😂
今夕何夕,看过,力荐,2020-03-03 01:55:51,0,等了这么久 竟然是前五集tv 果然质量高就是为所欲为 求求你赶快出剧场版 无限列车等不及了
Mrx,看过,推荐,2020-01-23 09:17:39,10,为什么要取TV番前五集立一个词条，但这个开头我喜欢。
冷毅,看过,力荐,2020-03-02 18:25:14,1,无限列车！ではなく…那五星意思下。
桃夭,看过,推荐,2020-03-08 17:31:53,2,白高兴一场，还以为是剧场版的出来了，但在看一遍依然喜欢，只是不知道什么时候能看到真正的剧版
"Hey,Me.",看过,还行,2020-03-06 09:21:23,0,前五集没啥好看的。
春暖花开,看过,力荐,2020-03-02 23:27:12,0,完整的世界观，不崩塌的人物设定，近年来值得一看的动漫
野寺的每天,看过,还行,2020-03-06 15:24:37,0,看过动画不用看这个
Gintama,看过,2020-03-06 12:31:31, ,0,。。。不是新内容
云城,看过,推荐,2020-03-07 23:04:06,0,原来是合集，以为是剧场版
丶晓美焰,看过,很差,2020-03-06 17:30:52,22,动画质量不错，可惜粉丝太嚣张，踩其他动漫踩太厉害，踩海贼，踩火影，过一段时间怕是要踩七龙珠了
Bloom,看过,推荐,2020-03-07 22:09:41,1,热血动漫都是需要靠吼的
yuriyuri,看过,较差,2020-03-02 11:24:54,1,矮子里面拔将军
木·子鱼,看过,推荐,2020-03-02 10:47:04,1,前几集好看！
Versi,看过,力荐,2020-03-02 21:00:17,0,太少了，继续看漫画吧
夏小萌,看过,力荐,2020-03-08 16:26:11,0,温情羁绊与视觉效果在最后几集得到了淋漓尽致的体现。无论是心灵还是感官上都得到了满足，期待第二季。快上吧。
N,看过,力荐,2020-03-08 12:25:56,0,也太棒了吧！！！人生观居然被一部番剧升华了！！！为这居然冲了b站大会员！！！什么时候出第二季啊啊啊啊啊啊！！！！
Sweet potato,看过,力荐,2020-03-07 00:37:22,0,流石すぎる！
Huikeigo,看过,力荐,2020-03-02 15:43:25,0,吓死了 原来是炒冷饭（狗头）
似曾,看过,推荐,2020-03-08 13:49:05,0,先行放送
fascination,看过,力荐,2020-03-03 23:08:39,0,那可以直接标看过了。
Allen,看过,还行,2020-03-05 14:26:31,0,你出什么合集啊
Taylor13Swift,看过,力荐,2020-03-03 17:03:18,0,五星没啥说的
中二病小亿,看过,力荐,2020-03-03 02:38:44,0,我喜欢的动漫必须五星
vanzee,看过,力荐,2020-03-06 15:56:23,0,我要看火车！
蟾宫秋水,看过,力荐,2020-03-07 20:39:42,1,有点像犬夜叉，大概是犬之后好久没这个类型的动画片了吧，很喜欢
N1chols,看过,力荐,2020-03-02 13:29:31,1,前五集也必须是满分💯
后天,看过,推荐,2020-03-02 15:29:15,1,19年霸权！
知更鸟饲养员,看过,力荐,2020-03-03 00:09:08,0,哈哈哈哈哈哈哈哈淦这个我在电影院看的> <
Rokutousei,看过,推荐,2020-03-08 23:47:36,0,无限列车什么时候来！
东西南北路,看过,还行,2020-03-06 09:09:09,0,原来就是个合集。。
赤道北极,看过,推荐,2020-03-07 07:54:11,0,用心之作
冬暮君,看过,推荐,2020-03-03 22:28:04,0,真的还原漫画还原的很棒！
，,看过,推荐,2020-03-02 07:35:36,1,听说是TV前五集，那就直接标记惹
方氏修远甫,看过,推荐,2020-03-08 18:56:16,0,漫长的前奏
Ace‘,看过,推荐,2020-03-08 03:16:48,0,🐂🍺
王妈妈,看过,推荐,2020-03-07 18:48:06,0,总集
Tommy,看过,力荐,2020-03-08 23:10:10,0,如果是前5集的话，那就是看过了。
尤英杰,看过,力荐,2020-03-02 10:29:38,0,期待后续
一般的粉红米饭,看过,力荐,2020-03-03 13:32:12,0,是真的好看，重燃了我对日本动漫的激情
红景天,看过,推荐,2020-03-02 18:19:16,0,无限列车呢？无限列车呢？无限列车呢？虽然这是个总集篇，但还是要打高分不是么……
拜拜 拜,看过,推荐,2020-03-06 17:27:55,0,不说了：）好看：）
念朝夕,看过,推荐,2020-03-06 06:10:09,0,合集差评，坐等第二季
细雨蒙蒙,看过,力荐,2020-03-06 23:08:23,0,燃
壁花少年、,看过,很差,2020-03-02 12:29:01,4,这前面的剧情水准哪来的9分？画面十分，剧情4分，综合七分。
月琊,看过,力荐,2020-03-08 16:50:16,0,特效耳目一新，看完后开始追漫画了
不度,看过,推荐,2020-03-07 14:49:28,0,何时出第二季呀，等死了
KingShown,看过,很差,2020-03-09 17:52:22,0,节奏太慢
明哲君,看过,力荐,2020-03-02 19:53:15,0,牛逼啊，这么算还能再出四个总集版
KG,看过,推荐,2020-03-03 13:59:29,0,鬼灭TV前五集整合版....
远行的猫,看过,力荐,2020-03-03 09:01:55,0,我最喜欢的动漫。
休了个止,看过,推荐,2020-03-04 02:51:21,0,制作一流，剧情松散
娄离泥,看过,力荐,2020-03-03 22:15:54,0,我希望动画能把漫画从头出到尾，剧场版来来来，出了无限列车请尽情发挥 我爱所有鬼杀队队员!
硕爷,看过,力荐,2020-03-05 06:50:02,0,虽然只是和番剧版集锦，但这个系列不满分，还想怎样～
矛老师本矛,看过,推荐,2020-03-02 20:08:23,2,这不就是第一集嘛…
横道世之介,看过,力荐,2020-03-03 21:12:52,0,第二季快来吧！
绯村剑心,看过,较差,2020-03-02 11:18:37,0,什么意思，骗人刷分还是圈钱？
bible,看过,力荐,2020-03-07 00:05:31,0,只要你也喜欢鬼灭之刃，我们就是异父异母的亲兄弟
Zc,看过,力荐,2020-03-07 07:12:57,0,动画版前五集
天上人间,看过,推荐,2020-03-08 14:00:12,0,好哥哥
有梦想的咸鱼,看过,推荐,2020-03-06 17:31:25,0,猪突猛进哈哈哈哈哈哈
初雪,看过,推荐,2020-03-06 21:06:12,0,还不错的热血番吧 成长型男主 没有金手指 纯粹靠自己后天努力变强 每一场战斗都赢的好艰难 反派也太搞笑了自己出手把下弦几乎全弄死了……
dnydlyn,看过,力荐,2020-03-07 00:34:53,0,日本的动漫做的是真的很好，很喜欢日本的声优。很久没看日漫了，这部动漫真的很让我惊喜，既热血又温柔，日本动漫很会人物感情的渲染，制作精良。
座位上的针,看过,力荐,2020-03-02 20:11:15,1,就是前面几集内容，日本动漫一贯作风
嗨、,看过,力荐,2020-03-08 00:22:02,0,…………
kyoko,看过,力荐,2020-03-10 21:31:28,0,呼吸很重要
郡君,看过,力荐,2020-03-06 19:30:16,0,舞台是大正日本。卖木炭的心地善良的少年炭治郎的日常生活因家人被魔鬼杀害而彻底改变。为了帮助唯一幸存下来的却变成凶恶鬼的妹妹隅豆子恢复如初，炭治郎踏上了为讨伐杀害家人的鬼的旅途……
顾小山,看过,还行,2020-03-02 11:48:51,2,"开幕的故事节奏像紧赶着被灭门，
配乐上乘有较多心理刻画，
至后面变得逐渐好些，
是部慢热番啦。"
小南,看过,2020-03-02 15:53:57, ,0,乖巧的坐等无限列车
hhTron,看过,还行,2020-03-07 12:21:41,0,总集篇
北极怪咖,看过,还行,2020-03-08 00:35:39,0,真的很一般，特别是有些地方非常想跳过，故意的搞笑，过分的自我鼓励，主角真的太圣母了，这个年代这样的主角，真的能走下去？
嗯哼大王,看过,还行,2020-03-06 08:21:10,0,。。。
不见丘山,看过,还行,2020-03-06 14:41:35,0,光有前五集的条目都能上热门......
洋葱,看过,力荐,2020-01-16 18:38:57,1,渐入佳境
FOU,看过,推荐,2020-03-07 19:32:55,0,复仇系列
李三叔🐷,看过,力荐,2020-03-03 15:13:44,0,喜欢喜欢
吕积极,看过,力荐,2020-03-10 14:18:56,0,简直让俺又燃又泪
黑甜,看过,力荐,2020-03-09 00:02:54,0,我太渴望列车了，咋还不出啊！
一猫眼用户,看过,力荐,2020-02-23 11:10:49,2,骗子
绫波丽,看过,还行,2020-03-08 15:53:53,0,还可以吧，第二季快来
你说呢,看过,力荐,2020-03-02 16:20:38,0,兄弟情我🉑！！！
冷冷之初,看过,力荐,2020-03-07 20:18:48,0,超爱，喜欢伱豆子。第二季什么时候来。
小鹏鹏kway,看过,力荐,2020-03-02 12:15:56,0,好看
奈奈玖哩,看过,推荐,2020-03-02 14:04:56,0,突然多了好多人哦，那我也标记一下。
中途半端専門家,看过,推荐,2020-03-04 07:27:00,0,呜呜呜无限列车你快上啊！我都快被剧透完了！！！
天无翼风,看过,推荐,2020-03-09 08:56:31,0,TV版的前五集，故事的起点夹杂着主角的温情演绎，节奏比较缓慢，不能和后面比，画面倒是真不错
zHaiRON,看过,2020-03-02 18:28:52, ,0,兴高采烈点开以为是剧场版，结果。
s.,看过,力荐,2020-03-04 12:00:10,0,力推！强推！爱！
潮沙,看过,推荐,2020-03-02 15:03:11,0,前五集啊
秋水,看过,力荐,2020-03-08 20:26:44,0,吹爆鬼灭，没有近几年流行的媚宅装逼龙傲天，就是最最热血的战斗，最最动人的羁绊。制作真的很强。
在心动的中间.,看过,推荐,2020-03-06 09:23:02,0,前五集的剧情
原来是卡尺,看过,推荐,2020-03-02 08:45:43,0,换个方式来捞之前没有追番人的钱吧
枫糖唱片儿,看过,力荐,2020-03-04 18:33:46,0,放屁追四大民工后，我还以为这样的热血心情不会在我有了。非常感谢鬼灭
兽兽蹲在大门口,看过,力荐,2020-03-02 17:05:41,0,说是tv版1-5集，直接标了
花生米,看过,还行,2020-03-03 09:43:52,0,本以为是剧场版，看评论说是前五集的合集，那就直接标记了
ZReeeeN,看过,还行,2020-03-06 21:27:37,0,合集就算咯
川香酱麦乐鸡,看过,还行,2020-03-06 09:20:36,0,"就是TV版前五集的合集嘛……
剧情真正开始成熟起来还是蜘蛛山那一段"
卖炭少年,看过,推荐,2020-03-08 22:32:36,0,热血系好久不见
间介,看过,力荐,2020-03-06 11:43:56,1,四个字！非常好看！
黎水立里,看过,力荐,2020-03-06 15:28:16,0,又被豆瓣騙了
庞贝,看过,力荐,2020-03-06 16:18:55,0,不过我煮了袋速食面
是谁的从前,看过,力荐,2020-03-06 13:57:29,0,太好看了！我爱豆子碳碳善逸一只猪忍姐姐香奈乎还有所有柱！
史派克克,看过,还行,2020-03-08 23:55:51,0,害我以为剧场版
ON1YZZ,看过,推荐,2020-03-08 18:00:42,0,如果只是前五集，我给4星半，动画质量很高，这种圈钱有点不好。
吱吱吱辽,看过,力荐,2020-03-03 23:27:14,0,五星五星，期待后续动漫，gkd鸭
可爱的徐多宝,看过,力荐,2020-03-08 14:40:15,0,？？？
VerySix,看过,力荐,2020-03-02 14:55:13,0,TAAANJIROOO！！！
啦啦啦德玛西亚,看过,推荐,2020-03-06 18:43:02,0,原来……
明洲渔,看过,力荐,2020-03-06 15:44:27,0,等
拓小云,看过,力荐,2020-03-08 11:49:38,0,等着，无限列车
苏染,看过,力荐,2020-03-02 11:35:42,0,我TM吹爆
死神丿灬黄泉,看过,力荐,2020-03-08 02:40:20,0,可以，热血！
明天ml,看过,还行,2020-03-03 10:55:40,0,我以为是电影…
Zemaro,看过,2020-03-06 12:17:22, ,0,这不就是tv版合集吗？
轻寒暮雪0110,看过,推荐,2020-03-03 17:00:49,0,还以为是剧场版，结果是tv的，但是还不错。
Timberiver,看过,力荐,2020-03-08 11:40:50,0,冲上热搜还以为有新的可看了！啊啊啊啊啊啊啊好难等啊！！！！！！！！
曲笙漫,看过,推荐,2020-03-08 22:42:14,0,还不错吧。前面比较好看，后面感觉剧情开始有点赶了。
玄黄天,看过,力荐,2020-03-03 15:27:48,0,那种爱 慕了
NANAY,看过,力荐,2020-03-02 23:11:13,0,纳尼？
杨菁,看过,力荐,2020-03-06 23:36:05,0,好看好看，前几集很喜欢
Patswifty,看过,力荐,2020-03-02 10:58:25,1,动画前五集？标上！
杜少卿,看过,推荐,2020-03-07 00:07:51,0,合集搞毛
🐂已注销🐏,看过,力荐,2020-03-02 14:19:57,0,越来越发觉这部片，讲的是金木水火土的故事，而水为五脏之母
_______曉⑩,看过,力荐,2020-03-07 05:27:58,0,不知道为什么会在第一，看到顺手标记。
  Jason.陈,看过,力荐,2020-02-11 12:49:42,2,一口气看完，很燃，有几集有泪点
一只有毒的少女,看过,还行,2020-03-08 11:58:45,0,挺好看的，但我不是一口气看完的，断断续续，每天都要积攒勇气看。因为还是充斥着悲哀的，不是单纯的热血，
